------------------------------------------------------------------------------------
导出信息：
姓名：示例用户
支付宝账户：sample@example.com
起始时间：[2026-04-01 00:00:00]    终止时间：[2026-05-15 23:59:59]
共12笔记录
------------------------支付宝（中国）网络技术有限公司  电子客户回单------------------------
交易时间,交易分类,交易对方,对方账号,商品说明,收/支,金额,收/付款方式,交易状态,交易订单号,商家订单号,备注,
2026-04-02 08:15:00,餐饮美食,示例早餐店,,早餐,支出,12.50,余额,交易成功,SAMPLE_A001,,,
2026-04-03 18:30:00,交通出行,示例地铁,,地铁,支出,4.00,余额,交易成功,SAMPLE_A002,,,
2026-04-05 12:00:00,日用百货,示例超市,,日用品,支出,120.00,花呗,交易成功,SAMPLE_A003,,,
2026-04-06 12:00:00,退款,示例超市,,日用品退款,收入,20.00,花呗,退款成功,SAMPLE_A004,,,
2026-04-10 09:00:00,投资理财,余额宝,,余额宝-单次转入,不计收支,500.00,银行卡,交易成功,SAMPLE_A005,,,
2026-04-11 10:00:00,餐饮美食,示例咖啡,,拿铁,支出,25.00,余额,交易关闭,SAMPLE_A006,,,
2026-04-15 10:00:00,信用借还,花呗,,花呗主动还款-2026年03月账单,不计收支,300.00,银行卡,还款成功,SAMPLE_A007,,,
2026-04-20 10:00:00,转账红包,示例朋友,,转账,支出,200.00,余额,交易成功,SAMPLE_A008,,,
2026-04-25 10:00:00,收入,示例公司,,劳务报酬,收入,"3,000.00",余额,交易成功,SAMPLE_A009,,,
2026-05-03 12:00:00,餐饮美食,示例餐厅,,午餐,支出,45.50,余额,交易成功,SAMPLE_A010,,,
2026-05-04 12:00:00,投资理财,示例基金,,基金申购-示例混合,支出,1000.00,余额,交易成功,SAMPLE_A011,,,
2026-05-05 12:00:00,其他,示例商户,,未知款项,,8.00,余额,交易成功,SAMPLE_A012,,,
------------------------------------------------------------------------------------
导出时间：[2026-05-16 10:00:00]
