catalog_id,name_zh,path,primary_key,row_count,owner,ui_surfaces,scope,status,source_of_truth
CAT-001,功能目录,data/function_catalog.csv,function_id,17,产品,功能结构/开发治理,导航、输入输出、表/API、任务、验收、风险,ACTIVE,YES
CAT-002,导航目录,data/navigation_catalog.csv,function_id,17,产品,左侧导航,功能到正式导航的映射,ACTIVE,YES
CAT-003,模型目录,data/model_registry.csv,model_id,11,模型,模型与参数,模型、公式、对象、输出、版本策略,ACTIVE,YES
CAT-004,公式目录,data/formula_registry.csv,formula_id,11,模型,模型与参数,公式、范围、缺失语义、默认门槛,ACTIVE,YES
CAT-005,参数目录,data/parameter_catalog.csv,parameter_key,60,模型,模型与参数,默认值、范围、步长、控件、刷新行为,ACTIVE,YES
CAT-006,阈值目录,data/threshold_registry.csv,threshold_id,17,模型,模型与参数,显示、证据、告警、动效与校准门槛,ACTIVE,YES
CAT-007,关系家族,data/relationship_family_catalog.csv,family_id,10,研究数据,对象与范围,10个关系家族的边界和视觉编码,ACTIVE,YES
CAT-008,关系类型,data/relationship_taxonomy.csv,relationship_type,52,研究数据,商业版图/对象与范围,52种关系的方向、金额、比例与定义,ACTIVE,YES
CAT-009,供应链阶段,data/supply_chain_stage_taxonomy.csv,stage_id,16,研究数据,全链供应链,从关键矿物到终端市场的16阶段,ACTIVE,YES
CAT-010,上下游角色,data/upstream_downstream_role_catalog.csv,role_id,24,研究数据,商业版图/全链供应链,上游、下游、使能与横向角色,ACTIVE,YES
CAT-011,行业分类,data/industry_taxonomy.csv,industry_id,26,研究数据,行业地图,行业、子行业与父级结构,ACTIVE,YES
CAT-012,板块分类,data/sector_taxonomy.csv,sector_id,13,研究数据,行业地图,用户入口级板块目录,ACTIVE,YES
CAT-013,公司目录,data/company_catalog.csv,company_id,140,研究数据,Watchlist/行业/搜索,P0/P1/P2/X研究对象与范围,ACTIVE,YES
CAT-014,业务板块类型,data/business_segment_taxonomy.csv,segment_id,20,研究数据,集团业务,集团、平台、产品、运营、资产和市场口径,ACTIVE,YES
CAT-015,资本对象,data/capital_object_taxonomy.csv,capital_object_id,30,研究数据,资金与并购,权益、债务、流量、承诺、政府与估值语义,ACTIVE,YES
CAT-016,领域对象,data/domain_object_catalog.csv,object_type_id,32,数据模型,数据资产/对象与范围,组织、业务、资产、人员、资本、政策、证据和治理对象,ACTIVE,YES
CAT-017,开发任务,data/task_backlog.csv,task_id,120,工程治理,开发治理,Gate、依赖、验收和状态,ACTIVE,YES
CAT-018,开发状态,data/development_status_ledger.csv,item_id,36,工程治理,开发治理,规格、原型、实现、验证四轴状态,ACTIVE,YES
CAT-019,已解决/未解决,data/resolved_unresolved_register.csv,item_id,16,产品治理,开发治理,决策、开放问题和延后范围,ACTIVE,YES
CAT-020,风险目录,data/risk_register.csv,risk_id,53,风险治理,开发治理,风险、触发、控制、责任与状态,ACTIVE,YES
CAT-021,验收目录,data/acceptance_matrix.csv,acceptance_id,200,质量治理,开发治理,可测试发布标准,ACTIVE,YES
CAT-022,发布门禁,data/release_gate_catalog.csv,gate_id,10,发布治理,开发治理,G0-G9进入、退出与停止条件,ACTIVE,YES
CAT-023,数据来源,data/source_registry_extended.csv,source_id,34,研究数据,来源与证据,公开来源、更新频率、限制与用途,ACTIVE,YES
CAT-024,指标目录,data/metric_catalog.csv,metric_id,54,研究模型,模型与参数/详情,指标定义、单位、方向和质量,ACTIVE,YES
