candidate_rank,recommended_status,shard,symbol,market,asset_class,tradability,currency,timezone,source,source_symbol,yahoo_symbol,prior_attempt_classification,prior_attempt_action,priority_score,priority_reason,notes
1,selected_to_reach_200,shard_01,0005.HK,HK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,HKD,Asia/Hong_Kong,moomoo_opend,HK.0005,0005.HK,not_attempted_in_batch81_140,not_attempted,127,adds_non_us_market_coverage;adds_stock_behavior_sample;not_yet_attempted_avoids_repeated_quota_failure,"Seed candidate for validation; confirm account permission, liquidity, fees, and data availability before final use."
2,selected_to_reach_200,shard_01,0175.HK,HK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,HKD,Asia/Hong_Kong,moomoo_opend,HK.0175,0175.HK,not_attempted_in_batch81_140,not_attempted,127,adds_non_us_market_coverage;adds_stock_behavior_sample;not_yet_attempted_avoids_repeated_quota_failure,"Seed candidate for validation; confirm account permission, liquidity, fees, and data availability before final use."
3,selected_to_reach_200,shard_01,0388.HK,HK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,HKD,Asia/Hong_Kong,moomoo_opend,HK.0388,0388.HK,not_attempted_in_batch81_140,not_attempted,127,adds_non_us_market_coverage;adds_stock_behavior_sample;not_yet_attempted_avoids_repeated_quota_failure,"Seed candidate for validation; confirm account permission, liquidity, fees, and data availability before final use."
4,selected_to_reach_200,shard_01,0700.HK,HK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,HKD,Asia/Hong_Kong,moomoo_opend,HK.0700,0700.HK,not_attempted_in_batch81_140,not_attempted,127,adds_non_us_market_coverage;adds_stock_behavior_sample;not_yet_attempted_avoids_repeated_quota_failure,"Seed candidate for validation; confirm account permission, liquidity, fees, and data availability before final use."
5,selected_to_reach_200,shard_01,0762.HK,HK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,HKD,Asia/Hong_Kong,moomoo_opend,HK.0762,0762.HK,not_attempted_in_batch81_140,not_attempted,127,adds_non_us_market_coverage;adds_stock_behavior_sample;not_yet_attempted_avoids_repeated_quota_failure,"Seed candidate for validation; confirm account permission, liquidity, fees, and data availability before final use."
6,selected_to_reach_200,shard_01,0857.HK,HK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,HKD,Asia/Hong_Kong,moomoo_opend,HK.0857,0857.HK,not_attempted_in_batch81_140,not_attempted,127,adds_non_us_market_coverage;adds_stock_behavior_sample;not_yet_attempted_avoids_repeated_quota_failure,"Seed candidate for validation; confirm account permission, liquidity, fees, and data availability before final use."
7,selected_to_reach_200,shard_01,0883.HK,HK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,HKD,Asia/Hong_Kong,moomoo_opend,HK.0883,0883.HK,not_attempted_in_batch81_140,not_attempted,127,adds_non_us_market_coverage;adds_stock_behavior_sample;not_yet_attempted_avoids_repeated_quota_failure,"Seed candidate for validation; confirm account permission, liquidity, fees, and data availability before final use."
8,selected_to_reach_200,shard_01,0939.HK,HK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,HKD,Asia/Hong_Kong,moomoo_opend,HK.0939,0939.HK,not_attempted_in_batch81_140,not_attempted,127,adds_non_us_market_coverage;adds_stock_behavior_sample;not_yet_attempted_avoids_repeated_quota_failure,"Seed candidate for validation; confirm account permission, liquidity, fees, and data availability before final use."
9,selected_to_reach_200,shard_01,0941.HK,HK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,HKD,Asia/Hong_Kong,moomoo_opend,HK.0941,0941.HK,not_attempted_in_batch81_140,not_attempted,127,adds_non_us_market_coverage;adds_stock_behavior_sample;not_yet_attempted_avoids_repeated_quota_failure,"Seed candidate for validation; confirm account permission, liquidity, fees, and data availability before final use."
10,selected_to_reach_200,shard_01,0968.HK,HK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,HKD,Asia/Hong_Kong,moomoo_opend,HK.0968,0968.HK,not_attempted_in_batch81_140,not_attempted,127,adds_non_us_market_coverage;adds_stock_behavior_sample;not_yet_attempted_avoids_repeated_quota_failure,"Seed candidate for validation; confirm account permission, liquidity, fees, and data availability before final use."
