risk_id,severity,likelihood,risk,control,trigger,owner,status
R001,critical,high,Public evidence mistaken for complete hidden truth,"Show provenance, unknown, coverage and disclosure lag",UI/claim uses true hidden current without evidence,product+data,OPEN
R002,critical,high,13F or filing data presented as real-time money flow,"Separate report period, filed, observed and amount kind",UI drops period or calls snapshot flow,data+ux,OPEN
R003,critical,medium,Commercial empire view interpreted as legal control,"Separate structure, dependency and influence layers",Business partner shown as parent/controller,product+ux,OPEN
R004,high,high,Recursive exploration produces graph explosion and unusable hairball,"Hard budgets, lazy expand, grouping and truncation explanation",nodes/edges exceed limits or browser freezes,engineering+ux,OPEN
R005,high,medium,Supply-chain Tier-2/Tier-3 relationships are speculative,"Evidence thresholds, derived labels, coverage and review",low-source edge published as reported,research+data,OPEN
R006,high,medium,Product/brand/facility/legal entity are merged,Typed entities and resolution tests,contract or ownership attached to brand only,data,OPEN
R007,high,medium,Different amount semantics are summed,amount_kind buckets and unit tests,commitment/ceiling/outlay combined,data+ux,OPEN
R008,high,high,Private-company facts rapidly stale,"Observed date, reverify queue and no current hardcode",freshness threshold exceeded,research,OPEN
R009,high,medium,Scoring creates false precision or is read as return probability,Raw/quality/adjusted/coverage and language guardrails,UI says probability or guaranteed outcome,product+model,OPEN
R010,high,high,User custom weights reinforce confirmation bias,"Frozen default, preview, counter-evidence, audit and reset",custom profile hides contradictory evidence,model+ux,OPEN
R011,high,medium,Calibration overfits recent noise,"No price optimization, 14-day cadence, proposal review, rollback",proposal auto-activates or uses short-term price target,model,OPEN
R012,high,medium,Calibration or scoring failure changes active results,Transactional runs and last-known-good profile,failed run becomes active,engineering+model,OPEN
R013,high,medium,Operation logs leak secrets or sensitive payloads,Structured diff allowlist and secret scan,credential or full auth header in log,security,OPEN
R014,high,low,Audit log is mutable or deletable,Append-only DB policy and no public update/delete API,historical log changed,security+data,OPEN
R015,high,medium,Source terms or access controls are violated,"Source registry, allowlist, no bypass and manual stop condition",scrape requires login bypass or forbidden use,compliance,OPEN
R016,high,medium,Daily ingestion partially publishes inconsistent facts/scores,"Transactional batch, run IDs, idempotency and rollback",mixed run IDs or partial counts,engineering,OPEN
R017,medium,medium,Industry taxonomy becomes rigid or misleading,Versioned multi-label classification and cross-industry navigation,entity forced into one industry only,product+data,OPEN
R018,medium,medium,URL/exploration history cannot reproduce state,Versioned exploration schema and E2E back/forward tests,reroot loses filters/profile/time,engineering+ux,OPEN
R019,medium,medium,Codex expands scope or refactors unrelated code,Gate/file scope and Git baseline,changes outside current Gate,engineering,OPEN
R020,critical,low,"Unsafe permission, network or secret leakage during Codex run","Sandbox, network-off, approvals and secret scan",unsafe mode or secret diff,security,OPEN
R021,medium,medium,Performance benchmark hides environment or layout cost,Recorded environment and separate API/render metrics,numbers reported without hardware/data size,engineering,OPEN
R022,high,medium,Source conflicts are overwritten by latest fetch,Conflict/supersession records and evidence drawer,older fact disappears without history,data,OPEN
R023,medium,medium,Graph visual centrality is mistaken for causal power,"Configurable sizing, text explanation and table alternative",node size defaults to degree without label,ux,OPEN
R024,high,low,Irreversible migration or no rollback,Upgrade/downgrade test and backup runbook,migration lacks downgrade,engineering,OPEN
R25,high,high,Visual-first design becomes decorative graph with low analytical value,Directional grammar labels evidence inspector and task testing,Users cannot explain upstream/downstream after 30 seconds,product+ux,OPEN
R26,high,high,Dense business networks become hairballs,Budgets grouping semantic zoom progressive expand and list alternative,First screen exceeds 40 edges or labels overlap,ux+engineering,OPEN
R27,high,medium,Watchlist default traps new users with no entry,Canvas empty-state industry overlay and demo,Empty account shows blank workspace,product+ux,OPEN
R28,medium,medium,Right inspector crowds smaller screens,Responsive drawer states and visual regression,Canvas falls below 60 percent or controls overlap,ux+frontend,OPEN
R29,high,medium,Subject pivot causes spatial disorientation,Stable directional grammar retained positions breadcrumb and transition,Users lose prior context after pivot,ux+graph,OPEN
