risk_id,severity,likelihood,related_function_ids,control,trigger,owner,task_ids,acceptance_ids,release_gate,status
R001,critical,high,"FUN-EXP-03,FUN-DM-01","Show provenance, unknown, coverage and disclosure lag",UI/claim uses true hidden current without evidence,product+data,T1214,,G0/G9,OPEN
R002,critical,high,"FUN-EXP-02,FUN-DM-01","Separate report period, filed, observed and amount kind",UI drops period or calls snapshot flow,data+ux,T1214,,G0/G9,OPEN
R003,critical,medium,"FUN-EXP-03,FUN-EXP-05","Separate structure, dependency and influence layers",Business partner shown as parent/controller,product+ux,T1214,,G0/G9,OPEN
R004,high,high,FUN-EXP-01,"Hard budgets, lazy expand, grouping and truncation explanation",nodes/edges exceed limits or browser freezes,engineering+ux,T1214,,G0/G9,OPEN
R005,high,medium,"FUN-EXP-02,FUN-EXP-06","Evidence thresholds, derived labels, coverage and review",low-source edge published as reported,research+data,T1214,,G0/G9,OPEN
R006,high,medium,"FUN-EXP-01,FUN-EXP-08",Typed entities and resolution tests,contract or ownership attached to brand only,data,T1214,,G0/G9,OPEN
R007,high,medium,FUN-EXP-04,amount_kind buckets and unit tests,commitment/ceiling/outlay combined,data+ux,T1214,,G0/G9,OPEN
R008,high,high,FUN-EXP-05,"Observed date, reverify queue and no current hardcode",freshness threshold exceeded,research,T1214,,G0/G9,OPEN
R009,high,medium,FUN-EXP-01,Raw/quality/adjusted/coverage and language guardrails,UI says probability or guaranteed outcome,product+model,T1214,,G0/G9,OPEN
R010,high,high,FUN-EXP-02,"Frozen default, preview, counter-evidence, audit and reset",custom profile hides contradictory evidence,model+ux,T1214,,G0/G9,OPEN
R011,high,medium,FUN-EXP-04,"No price optimization, 14-day cadence, proposal review, rollback",proposal auto-activates or uses short-term price target,model,T1214,,G0/G9,OPEN
R012,high,medium,FUN-EXP-06,Transactional runs and last-known-good profile,failed run becomes active,engineering+model,T1214,,G0/G9,OPEN
R013,high,medium,FUN-EXP-07,Structured diff allowlist and secret scan,credential or full auth header in log,security,T1214,,G0/G9,OPEN
R014,high,low,FUN-EXP-07,Append-only DB policy and no public update/delete API,historical log changed,security+data,T1214,,G0/G9,OPEN
R015,high,medium,FUN-RM-01,"Source registry, allowlist, no bypass and manual stop condition",scrape requires login bypass or forbidden use,compliance,T1214,,G0/G9,OPEN
R016,high,medium,FUN-RM-02,"Transactional batch, run IDs, idempotency and rollback",mixed run IDs or partial counts,engineering,T1214,,G0/G9,OPEN
R017,medium,medium,FUN-RM-03,Versioned multi-label classification and cross-industry navigation,entity forced into one industry only,product+data,T1214,,G0/G9,OPEN
R018,medium,medium,FUN-DM-01,Versioned exploration schema and E2E back/forward tests,reroot loses filters/profile/time,engineering+ux,T1214,,G0/G9,OPEN
R019,medium,medium,FUN-DM-02,Gate/file scope and Git baseline,changes outside current Gate,engineering,T1214,,G0/G9,OPEN
R020,critical,low,FUN-DM-02,"Sandbox, network-off, approvals and secret scan",unsafe mode or secret diff,security,T1214,,G0/G9,OPEN
R021,medium,medium,FUN-DM-03,Recorded environment and separate API/render metrics,numbers reported without hardware/data size,engineering,T1214,,G0/G9,OPEN
R022,high,medium,FUN-DM-04,Conflict/supersession records and evidence drawer,older fact disappears without history,data,T1214,,G0/G9,OPEN
R023,medium,medium,cross-cutting,"Configurable sizing, text explanation and table alternative",node size defaults to degree without label,ux,T1214,,G0/G9,OPEN
R024,high,low,cross-cutting,Upgrade/downgrade test and backup runbook,migration lacks downgrade,engineering,T1214,,G0/G9,OPEN
R25,high,high,cross-cutting,Directional grammar labels evidence inspector and task testing,Users cannot explain upstream/downstream after 30 seconds,product+ux,,,G0/G9,OPEN
R26,high,high,cross-cutting,Budgets grouping semantic zoom progressive expand and list alternative,First screen exceeds 40 edges or labels overlap,ux+engineering,,,G0/G9,OPEN
R27,high,medium,cross-cutting,Canvas empty-state industry overlay and demo,Empty account shows blank workspace,product+ux,,,G0/G9,OPEN
R28,medium,medium,cross-cutting,Responsive drawer states and visual regression,Canvas falls below 60 percent or controls overlap,ux+frontend,,,G0/G9,OPEN
R29,high,medium,cross-cutting,Stable directional grammar retained positions breadcrumb and transition,Users lose prior context after pivot,ux+graph,,,G0/G9,OPEN
R30,high,medium,cross-cutting,Plain labels plus expandable machine type source and time,User cannot distinguish fact inference and conflict,content+data,,,G0/G9,OPEN
R31,high,medium,cross-cutting,Shape line style icons labels table and contrast tests,Relation meaning disappears in grayscale,a11y+ux,,,G0/G9,OPEN
R32,medium,medium,cross-cutting,Versioned state schema migration and safe fallback,Reload produces blank/error canvas,frontend+backend,,,G0/G9,OPEN
R33,medium,medium,cross-cutting,Lexicon forbidden-term lint and copy review,reroot/hop/profile/gate visible in UI,content+qa,,,G0/G9,OPEN
R34,high,medium,cross-cutting,Demo watermark fixtures evidence boundary and implementation gates,Prototype screenshot presented as live verified data,product+research,,,G0/G9,OPEN
R35,high,medium,cross-cutting,单一机器可读目录+CI引用完整性检查+PR模板强制更新,catalog validation fails or docs counts differ,product+devex,,,G0/G9,OPEN
R36,high,medium,cross-cutting,不可变配置版本+原子active snapshot+SSE版本号+失败回滚,two visible components report different model/snapshot versions,backend+frontend+model,,,G0/G9,OPEN
R37,medium,medium,cross-cutting,manifest/checksum/release checklist/catalog integrity workflow,release artifact cannot reproduce documented version,devex,,,G0/G9,OPEN
R38,high,medium,cross-cutting,定义、方向、排除项、证据门槛和人工复核队列,same fact maps to conflicting families without review,research+data,,,G0/G9,OPEN
R035,HIGH,MEDIUM,"FUN-EXP-01,FUN-DM-02,FUN-SYS-01,FUN-SYS-02",以机器目录为源；PR 同步清单；CI 交叉校验,目录或公式变更但追踪矩阵未更新,tech lead,T1214,A185,G0/G9,OPEN
R036,HIGH,HIGH,"FUN-EXP-03,FUN-EXP-05",事实/推断分离；有效期；多源核验；冲突状态,关键控制关系只有单一二手来源,research lead,T1214,A185,G0/G9,OPEN
R037,HIGH,HIGH,FUN-EXP-02,阶段模型；证据门槛；图预算；按需展开,默认视图超过预算或推断关系无双源,product+data,T1214,A185,G0/G9,OPEN
R038,MEDIUM,HIGH,FUN-EXP-01,证据状态、coverage、unknown 和冲突视觉编码,未知金额被画成 0 或边宽,design+data,T1214,,G0/G9,OPEN
R039,HIGH,MEDIUM,FUN-EXP-04,amount_kind；币种/期间；同语义才聚合,Sankey 混合承诺上限与实际支付,data lead,T1214,A185,G0/G9,OPEN
R040,HIGH,MEDIUM,FUN-EXP-06,司法辖区、有效期和来源分层,跨国政策被当作全局统一适用,research lead,T1214,A185,G0/G9,OPEN
R041,HIGH,HIGH,FUN-EXP-07,语言护栏；反证；置信度；研究假设标签,UI 出现收益概率或买卖指令,product lead,T1214,A185,G0/G9,OPEN
R042,MEDIUM,MEDIUM,FUN-EXP-08,版本化 taxonomy；多标签；迁移映射,同一对象跨版本分类不可复现,data lead,T1214,,G0/G9,OPEN
R043,HIGH,MEDIUM,FUN-RM-02,原子快照；响应携带版本；前端一致性检查,同屏出现不同 score_snapshot_id,backend lead,T1214,A185,G0/G9,OPEN
R044,HIGH,MEDIUM,FUN-DM-01,原型/fixture 标签；生产连接状态；真实行数来源,未接数据库时显示无来源的大规模数字,product+data,T1214,A185,G0/G9,OPEN
R045,HIGH,MEDIUM,FUN-DM-02,范围、权重和图预算门槛；dry-run；影响预览,参数越界或可见边数超过 240,model lead,T1214,A185,G0/G9,OPEN
R046,HIGH,LOW,"FUN-DM-02,FUN-DM-03",单事务版本+日志+outbox；失败不切换,配置已生效但无 operation_log,backend lead,T1214,A185,G0/G9,OPEN
R047,MEDIUM,MEDIUM,FUN-DM-04,只生成 proposal；人工接受；可回滚,校准任务直接激活配置,model owner,T1214,,G0/G9,OPEN
R048,MEDIUM,MEDIUM,"FUN-SYS-01,FUN-SYS-02",CODEOWNERS；PR 模板；CI；状态页,连续两次发布未更新治理目录,repository owner,T1214,,G0/G9,OPEN
R049,MEDIUM,MEDIUM,FUN-SYS-02,motion token；reduced motion；性能预算；渐进渲染,P75 首次交互 >2.5s 或 motion 偏好无效,frontend lead,T1214,,G0/G9,OPEN
