seq,task_id,stage_id,stage_name,phase_id,phase_name,priority,size,title,objective,dependencies,deliverables,acceptance,value_metric,cost_metric,rollback,release_mode,status
1,ADP-S0-P01-T001,S0,Canonical Baseline｜事实、范围与执行护栏,S0-P01,Owner 意图与权威顺序,P0,S,冻结 Owner 最新指令与权威顺序,把本轮最新要求写成唯一可执行的范围和优先级。,,CURRENT_SCOPE.md、OWNER_DIRECTIVES.yaml、precedence 规则。,所有冲突材料均可按权威顺序自动裁决；0 个 P0 指令缺失。,减少后续偏航和返工次数。,0 经常性云成本。,恢复到任务前 commit/feature flag；不得改写既有生产数据。,NOT_DEPLOYED,NOT_STARTED
2,ADP-S0-P01-T002,S0,Canonical Baseline｜事实、范围与执行护栏,S0-P01,Owner 意图与权威顺序,P0,S,归档旧方向并建立冲突账本,保留全部历史细节但阻止旧 UI、A3+、多租户、TAM 等重新成为当前需求。,ADP-S0-P01-T001,ARCHIVED_NOT_CANONICAL.md、CONFLICT_LEDGER.csv。,每个被覆盖方向包含来源、旧结论、新裁决和理由。,旧材料可查但不会污染执行。,0 经常性云成本。,恢复到任务前 commit/feature flag；不得改写既有生产数据。,NOT_DEPLOYED,NOT_STARTED
3,ADP-S0-P01-T003,S0,Canonical Baseline｜事实、范围与执行护栏,S0-P01,Owner 意图与权威顺序,P0,S,落库一句话 Pursuing Goal 与机器合同,让每个 Codex/Claude/ChatGPT 任务先读取同一目标和硬约束。,ADP-S0-P01-T001;ADP-S0-P01-T002,PURSUING_GOAL.txt、MACHINE_CONTRACT.yaml、hash。,一句话严格为单行；机器合同 YAML 可解析；后续任务均引用合同 hash。,跨线程/代理目标一致。,0 经常性云成本。,恢复到任务前 commit/feature flag；不得改写既有生产数据。,NOT_DEPLOYED,NOT_STARTED
4,ADP-S0-P02-T004,S0,Canonical Baseline｜事实、范围与执行护栏,S0-P02,生产事实与未知项快照,P0,S,采集两个线上域名与核心路由基线,记录 Today、Radar、Review、System、Search、History 的实际响应和视觉状态。,ADP-S0-P01-T003,headers、HTML 摘要、路由状态、截图/录屏、采集时间。,不可访问项标 UNVERIFIED；不得把抓取失败写成站点失败。,得到真实用户面基线。,只读请求量。,恢复到任务前 commit/feature flag；不得改写既有生产数据。,NOT_DEPLOYED,NOT_STARTED
5,ADP-S0-P02-T005,S0,Canonical Baseline｜事实、范围与执行护栏,S0-P02,生产事实与未知项快照,P0,S,采集 Git、配置和文档事实,固定当前 ADP commit、Worker 入口、source arrays、schema、cron 和互相矛盾文档。,ADP-S0-P01-T003,git_sha、file hashes、drift candidates、公开证据链接。,最新 commit 与关键文件 hash 可重查；文档冲突均列出。,避免按过期 README 开发。,0 经常性云成本。,恢复到任务前 commit/feature flag；不得改写既有生产数据。,NOT_DEPLOYED,NOT_STARTED
6,ADP-S0-P02-T006,S0,Canonical Baseline｜事实、范围与执行护栏,S0-P02,生产事实与未知项快照,P0,S,采集 Cloudflare/D1/R2/Cron/费用私有基线,只读导出生产部署、数据库、对象存储、计划任务和近 31 天用量。,ADP-S0-P01-T003,deployment export、D1 schema/count/metrics、R2 usage、plan/billing snapshot、cron。,所有数值含时间范围和单位；无法访问项标 UNVERIFIED；不泄露 secret。,为容量、成本和迁移决策提供真实起点。,只读 API；0 资源创建。,恢复到任务前 commit/feature flag；不得改写既有生产数据。,NOT_DEPLOYED,NOT_STARTED
7,ADP-S0-P02-T007,S0,Canonical Baseline｜事实、范围与执行护栏,S0-P02,生产事实与未知项快照,P0,S,生成 Verified/Unknown/Assumption Drift Report,把公开事实、Owner 指令、推断、未知和过期事实分开。,ADP-S0-P02-T004;ADP-S0-P02-T005;ADP-S0-P02-T006,FACT_LEDGER.csv、DRIFT_REPORT.md、阻断清单。,任何需求不得由 UNKNOWN 直接推导；P0 未知项分配到明确任务。,将幻觉风险变成可审计缺口。,0 经常性云成本。,恢复到任务前 commit/feature flag；不得改写既有生产数据。,NOT_DEPLOYED,NOT_STARTED
8,ADP-S0-P03-T008,S0,Canonical Baseline｜事实、范围与执行护栏,S0-P03,任务执行与独立验证工具,P0,M,安装小任务证据、验证和独立复核框架,确保一个任务一个结果、可回滚、可机器验收且由独立上下文复核。,ADP-S0-P02-T007,task runner、schema validator、evidence template、dependency DAG checker。,90 个任务 ID 唯一、依赖无环；缺证据时状态不能 PASS；实现者不能自签 Stage Gate。,防止大包开发和虚假完成。,仅 CI/本地计算。,恢复到任务前 commit/feature flag；不得改写既有生产数据。,NOT_DEPLOYED,NOT_STARTED
9,ADP-S1-P01-T009,S1,Truth & Content Stabilization｜真相与内容止血,S1-P01,Deployment Manifest 单一生产事实,P0,S,实现 Deployment Manifest Schema,把 commit、Worker、schema、source、parser、prompt、model 和 cron 绑定为一个可重建 manifest。,ADP-S0-P03-T008,schema、生成器、示例 manifest、secret redaction。,同 commit 干净构建两次除允许字段外 hash 一致。,完成前后必须报告对应 Stage 的用户价值指标。,报告新增请求、D1 行读写、R2 字节/操作、模型调用、人工维护量；未知不得填 0。,恢复到任务前 commit/feature flag；不得改写既有生产数据。,NOT_DEPLOYED,NOT_STARTED
10,ADP-S1-P01-T010,S1,Truth & Content Stabilization｜真相与内容止血,S1-P01,Deployment Manifest 单一生产事实,P0,S,发布只读 Build Endpoint 与低干扰版本标识,让两个域名和测试工具能确认实际运行 build。,ADP-S1-P01-T009,/build.json 或等价端点、页脚 build id。,两个域名 build id、bundle hash、source hash、schema version 一致；不暴露 secret。,完成前后必须报告对应 Stage 的用户价值指标。,报告新增请求、D1 行读写、R2 字节/操作、模型调用、人工维护量；未知不得填 0。,恢复到任务前 commit/feature flag；不得改写既有生产数据。,CANARY,NOT_STARTED
