parameter_id,model_id,formula_id,symbol,name,category,data_type,unit,default_value,initial_or_prior_value,active_value,weight,weight_group,weight_group_target,weight_group_tolerance,min_value,max_value,formula_or_transform,source_or_rationale,calibration_method,sensitivity,code_ref,config_ref,test_ref,status,fact_level,unknown_task_ids,parameter_version,last_updated,source_selector,extracted_value,last_verified_commit,verified_at,evidence_hash
PARAM-001,MOD-003,FORM-001,W_1M_DAYS,One month return lookback,window,int,calendar days,31,31,31,NOT_APPLICABLE,,,,1,UNBOUNDED,_index_for_days(points 31),EXTRACTED from metrics constant,NOT_APPLICABLE deterministic window,affects 1m return coverage,Serenity-Alipay/app/core/metrics.py:42,NOT_APPLICABLE,Serenity-Alipay/tests/test_metrics.py:22,active,EXTRACTED,,serenity-parameters-v1,2026-06-21,python_ast_literal:Serenity-Alipay/app/core/metrics.py:44:1,31,dfade5116e51289615879c4db80e65ff7d54b27e,2026-06-24T03:39:27Z,sha256:c9b0786dc54168246a7ad8dfd838d3b465cecd89ed12ed90e3fa63e5b3541cda
PARAM-002,MOD-003,FORM-001,W_3M_DAYS,Three month return lookback,window,int,calendar days,93,93,93,NOT_APPLICABLE,,,,1,UNBOUNDED,_index_for_days(points 93),EXTRACTED from metrics constant,NOT_APPLICABLE deterministic window,affects 3m return coverage,Serenity-Alipay/app/core/metrics.py:43,NOT_APPLICABLE,Serenity-Alipay/tests/test_metrics.py:22,active,EXTRACTED,,serenity-parameters-v1,2026-06-21,python_ast_literal:Serenity-Alipay/app/core/metrics.py:45:1,93,dfade5116e51289615879c4db80e65ff7d54b27e,2026-06-24T03:39:27Z,sha256:20b7cca81af534d72d51636df4c96c4a043300fb2da50e18c95572a6153bbeac
PARAM-003,MOD-003,FORM-001,W_10D_POINTS,Ten trading day return points,window,int,price points,11,11,11,NOT_APPLICABLE,,,,11,UNBOUNDED,len(points)-11,EXTRACTED from metrics constant,NOT_APPLICABLE deterministic window,affects 10d return coverage,Serenity-Alipay/app/core/metrics.py:44,NOT_APPLICABLE,Serenity-Alipay/tests/test_metrics.py:14,active,EXTRACTED,,serenity-parameters-v1,2026-06-21,python_ast_literal:Serenity-Alipay/app/core/metrics.py:47:2,11,dfade5116e51289615879c4db80e65ff7d54b27e,2026-06-24T03:39:27Z,sha256:1bd897b7410548c8b089d2080561012801ca98d38186c6939c2ae107fdf60932
PARAM-004,MOD-003,FORM-002,RECENT_DRAWDOWN_COUNT,Recent drawdown count,window,int,price points,7,7,7,NOT_APPLICABLE,,,,2,UNBOUNDED,points[-count:],EXTRACTED from metrics default argument,NOT_APPLICABLE deterministic window,affects drawdown_7d,Serenity-Alipay/app/core/metrics.py:79,NOT_APPLICABLE,Serenity-Alipay/tests/test_scoring.py:70,active,EXTRACTED,,serenity-parameters-v1,2026-06-21,python_ast_default:Serenity-Alipay/app/core/metrics.py::drawdown_over_last_n.count,7,ef0ee041325f3c2cfb19e0e9f81c99e95a43c96b,2026-06-21T08:57:39Z,sha256:c3961516f328b08d966177733e87191dcf2c45447b05494b6710dcf3ed2e800e
PARAM-005,MOD-001,FORM-003,S_DATA_CAP,Data score maximum,score_component,float,points,25.0,25.0,25.0,25.0,WG-SCORE-POINTS,100.0,0.0001,0,100,max(0;25-sum(_missing_penalty(field))),EXTRACTED from scoring code,NOT_APPLICABLE deterministic point allocation,high impact on total score,Serenity-Alipay/app/core/scoring.py:151,NOT_APPLICABLE,Serenity-Alipay/tests/test_pipeline_serenity_priority.py:34,active,EXTRACTED,,serenity-parameters-v1,2026-06-21,python_ast_literal:Serenity-Alipay/app/core/scoring.py:151:2,25,dfade5116e51289615879c4db80e65ff7d54b27e,2026-06-24T03:39:27Z,sha256:92e80bf9f88fc8b792de8c5a1d8010c22cf8aad3856f1c24afd33e10adcdd9c3
PARAM-006,MOD-001,FORM-003,P_MISSING_FIELD,Missing field penalty,penalty,float,points per field,8.0,8.0,8.0,NOT_APPLICABLE,,,,0,100,_missing_penalty fallback field penalty,EXTRACTED from _missing_penalty fallback branch,NOT_APPLICABLE deterministic penalty,high impact when evidence incomplete,Serenity-Alipay/app/core/scoring.py:88,NOT_APPLICABLE,Serenity-Alipay/tests/test_scoring.py:108,active,EXTRACTED,,serenity-parameters-v1,2026-06-21,python_ast_literal:Serenity-Alipay/app/core/scoring.py:88:1,8,dfade5116e51289615879c4db80e65ff7d54b27e,2026-06-24T03:39:27Z,sha256:201b9c7bfe6b5980e5ab80a8960207f02e51caf06b261065fc55cd5fee5cc6c0
PARAM-007,MOD-001,FORM-003,STALE_DAYS_MAX,Freshness stale day boundary,threshold,int,days,2,2,2,NOT_APPLICABLE,,,,0,UNBOUNDED,stale_days <= 2,EXTRACTED from scoring code,NOT_APPLICABLE deterministic threshold,controls manual review on stale data,Serenity-Alipay/app/core/scoring.py:107,NOT_APPLICABLE,Serenity-Alipay/tests/test_scoring.py:126,active,EXTRACTED,,serenity-parameters-v1,2026-06-21,python_ast_literal:Serenity-Alipay/app/core/scoring.py:154:3,2,dfade5116e51289615879c4db80e65ff7d54b27e,2026-06-24T03:39:27Z,sha256:8ebcba4184991a8506fd451eef4d9ad5fa6820cb79292994cc8cabc6e16a0e15
PARAM-008,MOD-001,FORM-003,S_TIMELINESS_CAP,Timeliness score maximum,score_component,float,points,15.0,15.0,15.0,15.0,WG-SCORE-POINTS,100.0,0.0001,0,100,15 if stale_days<=2 else 0,EXTRACTED from scoring code,NOT_APPLICABLE deterministic point allocation,medium impact on total score,Serenity-Alipay/app/core/scoring.py:108,NOT_APPLICABLE,Serenity-Alipay/tests/test_scoring.py:126,active,EXTRACTED,,serenity-parameters-v1,2026-06-21,python_ast_literal:Serenity-Alipay/app/core/scoring.py:154:1,15,dfade5116e51289615879c4db80e65ff7d54b27e,2026-06-24T03:39:27Z,sha256:102b5cd8589edfa38f2a86ef2ad6325198e6382b8118825a4358005fea96bfcc
PARAM-009,MOD-001,FORM-003,MIN_OFFICIAL_SRC,Minimum official sources for Action-Ready,threshold,int,sources,2,2,2,NOT_APPLICABLE,,,,0,UNBOUNDED,official_source_count >= 2,EXTRACTED from Settings default,NOT_APPLICABLE deterministic threshold,controls source score and Action-Ready cap,Serenity-Alipay/app/config.py:38,Serenity-Alipay/app/config.py:38,Serenity-Alipay/tests/test_scoring.py:126,active,EXTRACTED,,serenity-parameters-v1,2026-06-21,python_ast_attr:Serenity-Alipay/app/config.py::Settings.min_official_sources_action_ready,2,ef0ee041325f3c2cfb19e0e9f81c99e95a43c96b,2026-06-21T08:57:39Z,sha256:dbd2a87408c9505ea70fb4f1aa0591e56769dba372dc6efc801f4fd6a547bf81
PARAM-010,MOD-001,FORM-003,S_SOURCE_FULL,Full source score,score_component,float,points,15.0,15.0,15.0,15.0,WG-SCORE-POINTS,100.0,0.0001,0,100,official sources >= min and no conflict,EXTRACTED from scoring code,NOT_APPLICABLE deterministic point allocation,medium impact on total score,Serenity-Alipay/app/core/scoring.py:110,NOT_APPLICABLE,Serenity-Alipay/tests/test_pipeline_serenity_priority.py:34,active,EXTRACTED,,serenity-parameters-v1,2026-06-21,python_ast_literal:Serenity-Alipay/app/core/scoring.py:157:1,15,dfade5116e51289615879c4db80e65ff7d54b27e,2026-06-24T03:39:27Z,sha256:58b23d342aaeb4e1b6d79490cb870f569f84b0648bd9d0dae939f565b16e3fa6
