task_id,stage,phase,title,depends_on,requirement,acceptance,low_h,likely_h,high_h,pass_gate
T-S00-P01-01,S00,P01,实现｜冻结 Canonical Facts,,REQ-S00-P01,AC-S00-P01,1.0,1.5,2.0,全部事实唯一、无冲突、版本为0.0.0.1。
T-S00-P01-02,S00,P01,验证｜冻结 Canonical Facts,T-S00-P01-01,REQ-S00-P01,AC-S00-P01,1.0,1.5,2.0,全部事实唯一、无冲突、版本为0.0.0.1。
T-S00-P01-03,S00,P01,证据与通过门｜冻结 Canonical Facts,T-S00-P01-02,REQ-S00-P01,AC-S00-P01,1.0,1.0,2.0,全部事实唯一、无冲突、版本为0.0.0.1。
T-S00-P02-01,S00,P02,实现｜冻结权限与自动默认,T-S00-P01-03,REQ-S00-P02,AC-S00-P02,1.0,1.5,2.0,只有明确暂停条件可以阻止自动推进。
T-S00-P02-02,S00,P02,验证｜冻结权限与自动默认,T-S00-P02-01,REQ-S00-P02,AC-S00-P02,1.0,1.5,2.0,只有明确暂停条件可以阻止自动推进。
T-S00-P02-03,S00,P02,证据与通过门｜冻结权限与自动默认,T-S00-P02-02,REQ-S00-P02,AC-S00-P02,1.0,1.0,2.0,只有明确暂停条件可以阻止自动推进。
T-S00-P03-01,S00,P03,实现｜冻结零预算依赖,T-S00-P02-03,REQ-S00-P03,AC-S00-P03,1.0,1.5,2.0,新增现金支出为A$0；付费接口不在关键路径。
T-S00-P03-02,S00,P03,验证｜冻结零预算依赖,T-S00-P03-01,REQ-S00-P03,AC-S00-P03,1.0,1.5,2.0,新增现金支出为A$0；付费接口不在关键路径。
T-S00-P03-03,S00,P03,证据与通过门｜冻结零预算依赖,T-S00-P03-02,REQ-S00-P03,AC-S00-P03,1.0,1.0,2.0,新增现金支出为A$0；付费接口不在关键路径。
T-S00-P04-01,S00,P04,实现｜一次性外部授权降级,T-S00-P03-03,REQ-S00-P04,AC-S00-P04,1.0,1.5,2.0,未授权时仅邮件自动化关闭，其他任务全部继续。
T-S00-P04-02,S00,P04,验证｜一次性外部授权降级,T-S00-P04-01,REQ-S00-P04,AC-S00-P04,1.0,1.5,2.0,未授权时仅邮件自动化关闭，其他任务全部继续。
T-S00-P04-03,S00,P04,证据与通过门｜一次性外部授权降级,T-S00-P04-02,REQ-S00-P04,AC-S00-P04,1.0,1.0,2.0,未授权时仅邮件自动化关闭，其他任务全部继续。
T-S01-P01-01,S01,P01,实现｜客户新闻稿,T-S00-P04-03,REQ-S01-P01,AC-S01-P01,1.0,1.5,2.0,新闻稿不依赖技术术语且结果可观察。
T-S01-P01-02,S01,P01,验证｜客户新闻稿,T-S01-P01-01,REQ-S01-P01,AC-S01-P01,1.0,1.5,2.0,新闻稿不依赖技术术语且结果可观察。
T-S01-P01-03,S01,P01,证据与通过门｜客户新闻稿,T-S01-P01-02,REQ-S01-P01,AC-S01-P01,1.0,1.0,2.0,新闻稿不依赖技术术语且结果可观察。
T-S01-P02-01,S01,P02,实现｜客户常见问题,T-S01-P01-03,REQ-S01-P02,AC-S01-P02,1.0,1.5,2.0,关键疑问均有明确默认与证据。
T-S01-P02-02,S01,P02,验证｜客户常见问题,T-S01-P02-01,REQ-S01-P02,AC-S01-P02,1.0,1.5,2.0,关键疑问均有明确默认与证据。
T-S01-P02-03,S01,P02,证据与通过门｜客户常见问题,T-S01-P02-02,REQ-S01-P02,AC-S01-P02,1.0,1.0,2.0,关键疑问均有明确默认与证据。
T-S01-P03-01,S01,P03,实现｜需求与边界,T-S01-P02-03,REQ-S01-P03,AC-S01-P03,1.0,1.5,2.0,每条需求唯一且可追踪。
T-S01-P03-02,S01,P03,验证｜需求与边界,T-S01-P03-01,REQ-S01-P03,AC-S01-P03,1.0,1.5,2.0,每条需求唯一且可追踪。
T-S01-P03-03,S01,P03,证据与通过门｜需求与边界,T-S01-P03-02,REQ-S01-P03,AC-S01-P03,1.0,1.0,2.0,每条需求唯一且可追踪。
T-S01-P04-01,S01,P04,实现｜指标与经济性,T-S01-P03-03,REQ-S01-P04,AC-S01-P04,1.0,1.5,2.0,不承诺伪精确收益；30%目标可证伪可验证。
T-S01-P04-02,S01,P04,验证｜指标与经济性,T-S01-P04-01,REQ-S01-P04,AC-S01-P04,1.0,1.5,2.0,不承诺伪精确收益；30%目标可证伪可验证。
T-S01-P04-03,S01,P04,证据与通过门｜指标与经济性,T-S01-P04-02,REQ-S01-P04,AC-S01-P04,1.0,1.0,2.0,不承诺伪精确收益；30%目标可证伪可验证。
