symbol,market,source_symbol,original_symbol,asset_class,tradability,currency,timezone,source,notes
SPY,US_ETF,US.SPY,SPY,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,yahoo_public_chart,Public historical data fallback for validation only; not proof of account tradability.
QQQ,US_ETF,US.QQQ,QQQ,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,yahoo_public_chart,Public historical data fallback for validation only; not proof of account tradability.
DIA,US_ETF,US.DIA,DIA,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,yahoo_public_chart,Public historical data fallback for validation only; not proof of account tradability.
IWM,US_ETF,US.IWM,IWM,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,yahoo_public_chart,Public historical data fallback for validation only; not proof of account tradability.
VTI,US_ETF,US.VTI,VTI,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,yahoo_public_chart,Public historical data fallback for validation only; not proof of account tradability.
VOO,US_ETF,US.VOO,VOO,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,yahoo_public_chart,Public historical data fallback for validation only; not proof of account tradability.
IVV,US_ETF,US.IVV,IVV,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,yahoo_public_chart,Public historical data fallback for validation only; not proof of account tradability.
RSP,US_ETF,US.RSP,RSP,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,yahoo_public_chart,Public historical data fallback for validation only; not proof of account tradability.
SCHD,US_ETF,US.SCHD,SCHD,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,yahoo_public_chart,Public historical data fallback for validation only; not proof of account tradability.
VIG,US_ETF,US.VIG,VIG,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,yahoo_public_chart,Public historical data fallback for validation only; not proof of account tradability.
VYM,US_ETF,US.VYM,VYM,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,yahoo_public_chart,Public historical data fallback for validation only; not proof of account tradability.
IWB,US_ETF,US.IWB,IWB,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,yahoo_public_chart,Public historical data fallback for validation only; not proof of account tradability.
IWF,US_ETF,US.IWF,IWF,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,yahoo_public_chart,Public historical data fallback for validation only; not proof of account tradability.
IWD,US_ETF,US.IWD,IWD,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,yahoo_public_chart,Public historical data fallback for validation only; not proof of account tradability.
IVE,US_ETF,US.IVE,IVE,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,yahoo_public_chart,Public historical data fallback for validation only; not proof of account tradability.
IVW,US_ETF,US.IVW,IVW,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,yahoo_public_chart,Public historical data fallback for validation only; not proof of account tradability.
MDY,US_ETF,US.MDY,MDY,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,yahoo_public_chart,Public historical data fallback for validation only; not proof of account tradability.
IJH,US_ETF,US.IJH,IJH,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,yahoo_public_chart,Public historical data fallback for validation only; not proof of account tradability.
IJR,US_ETF,US.IJR,IJR,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,yahoo_public_chart,Public historical data fallback for validation only; not proof of account tradability.
IJS,US_ETF,US.IJS,IJS,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,yahoo_public_chart,Public historical data fallback for validation only; not proof of account tradability.
