parameter_id,model_id,formula_id,symbol,name,category,data_type,unit,default_value,initial_or_prior_value,active_value,weight,weight_group,weight_group_target,weight_group_tolerance,min_value,max_value,formula_or_transform,source_or_rationale,calibration_method,sensitivity,code_ref,config_ref,test_ref,status,fact_level,unknown_task_ids,parameter_version,last_updated,source_selector,extracted_value,last_verified_commit,verified_at,evidence_hash,semantic_status,semantic_review_task_ids
PARAM-001,MOD-001,FORM-001,base_weight_0.92,Strategy base weight 0.92,strategy_weight,float,portfolio_weight,0.92,0.92,0.92,NOT_APPLICABLE,,,,0,1,See formula_registry.yaml,EXTRACTED from implementation default,UNKNOWN calibration/source evidence; see TASK-PFI-B-001,medium,PFI/大数据模拟器/qbvs/strategies.py:31,NOT_APPLICABLE,PFI/大数据模拟器/tests/test_core.py:61,active,EXTRACTED,TASK-PFI-B-001,param-profile-20260620,2026-06-20,python_ast_literal:PFI/大数据模拟器/qbvs/strategies.py:32:1,0.92,94478ef52caecb9d856bf4a0543719f8d50a9645,2026-06-21T12:19:34Z,sha256:1e80459087673a18e9c5583a6f1b6391958a288f428e9007290fe3d17d180c24,MACHINE_VERIFIED,
PARAM-002,MOD-001,FORM-001,base_weight_0.95,Strategy base weight 0.95,strategy_weight,float,portfolio_weight,0.95,0.95,0.95,NOT_APPLICABLE,,,,0,1,See formula_registry.yaml,EXTRACTED from implementation default,UNKNOWN calibration/source evidence; see TASK-PFI-B-001,medium,PFI/大数据模拟器/qbvs/strategies.py:31,NOT_APPLICABLE,PFI/大数据模拟器/tests/test_core.py:61,active,EXTRACTED,TASK-PFI-B-001,param-profile-20260620,2026-06-20,python_ast_literal:PFI/大数据模拟器/qbvs/strategies.py:32:2,0.95,94478ef52caecb9d856bf4a0543719f8d50a9645,2026-06-21T12:19:34Z,sha256:c81a1f1b311bd29ca627d75be47309837e60074e383ef1d2fa0ec37e6ef2f1c8,MACHINE_VERIFIED,
PARAM-003,MOD-001,FORM-001,base_weight_0.98,Strategy base weight 0.98,strategy_weight,float,portfolio_weight,0.98,0.98,0.98,NOT_APPLICABLE,,,,0,1,See formula_registry.yaml,EXTRACTED from implementation default,UNKNOWN calibration/source evidence; see TASK-PFI-B-001,medium,PFI/大数据模拟器/qbvs/strategies.py:31,NOT_APPLICABLE,PFI/大数据模拟器/tests/test_core.py:61,active,EXTRACTED,TASK-PFI-B-001,param-profile-20260620,2026-06-20,python_ast_literal:PFI/大数据模拟器/qbvs/strategies.py:32:3,0.98,94478ef52caecb9d856bf4a0543719f8d50a9645,2026-06-21T12:19:34Z,sha256:bb0d0fbd745b21e7462d944a93a52934cf5e7012c60c65a672e9e417b3e0c933,MACHINE_VERIFIED,
PARAM-004,MOD-001,FORM-001,base_weight_0.99,Strategy base weight 0.99,strategy_weight,float,portfolio_weight,0.99,0.99,0.99,NOT_APPLICABLE,,,,0,1,See formula_registry.yaml,EXTRACTED from implementation default,UNKNOWN calibration/source evidence; see TASK-PFI-B-001,medium,PFI/大数据模拟器/qbvs/strategies.py:31,NOT_APPLICABLE,PFI/大数据模拟器/tests/test_core.py:61,active,EXTRACTED,TASK-PFI-B-001,param-profile-20260620,2026-06-20,python_ast_literal:PFI/大数据模拟器/qbvs/strategies.py:32:4,0.99,94478ef52caecb9d856bf4a0543719f8d50a9645,2026-06-21T12:19:34Z,sha256:8558340dc272d5ffff8b18a0dcea81131a85a76166cff30372faef3c35dfb394,MACHINE_VERIFIED,
PARAM-005,MOD-001,FORM-001,base_weight_1.0,Strategy base weight 1.0,strategy_weight,float,portfolio_weight,1.0,1.0,1.0,NOT_APPLICABLE,,,,0,1,See formula_registry.yaml,EXTRACTED from implementation default,UNKNOWN calibration/source evidence; see TASK-PFI-B-001,medium,PFI/大数据模拟器/qbvs/strategies.py:31,NOT_APPLICABLE,PFI/大数据模拟器/tests/test_core.py:61,active,EXTRACTED,TASK-PFI-B-001,param-profile-20260620,2026-06-20,python_ast_literal:PFI/大数据模拟器/qbvs/strategies.py:32:5,1,94478ef52caecb9d856bf4a0543719f8d50a9645,2026-06-21T12:19:34Z,sha256:93eaa803b2b87e7781b2b5609c7c642cab8500f57a9bc0ff0d400181572e6cf1,MACHINE_VERIFIED,
PARAM-006,MOD-001,FORM-001,dip_trigger_none,Dip trigger option none,rule_enum,string,enum,none,none,none,NOT_APPLICABLE,,,,NOT_APPLICABLE,NOT_APPLICABLE,See formula_registry.yaml,EXTRACTED from implementation default,UNKNOWN calibration/source evidence; see TASK-PFI-B-001,medium,PFI/大数据模拟器/qbvs/strategies.py:33,NOT_APPLICABLE,PFI/大数据模拟器/tests/test_core.py:61,active,EXTRACTED,TASK-PFI-B-001,param-profile-20260620,2026-06-20,python_ast_literal:PFI/大数据模拟器/qbvs/strategies.py:33:1,none,94478ef52caecb9d856bf4a0543719f8d50a9645,2026-06-21T12:19:34Z,sha256:aab1f7d752a8eee65b95e33e5c8f848e279ccba42ec3a08fa3e00c8e73cfd544,MACHINE_VERIFIED,
PARAM-007,MOD-001,FORM-001,dip_trigger_boll_lower,Dip trigger option boll_lower,rule_enum,string,enum,boll_lower,boll_lower,boll_lower,NOT_APPLICABLE,,,,NOT_APPLICABLE,NOT_APPLICABLE,See formula_registry.yaml,EXTRACTED from implementation default,UNKNOWN calibration/source evidence; see TASK-PFI-B-001,medium,PFI/大数据模拟器/qbvs/strategies.py:33,NOT_APPLICABLE,PFI/大数据模拟器/tests/test_core.py:61,active,EXTRACTED,TASK-PFI-B-001,param-profile-20260620,2026-06-20,python_ast_literal:PFI/大数据模拟器/qbvs/strategies.py:33:2,boll_lower,94478ef52caecb9d856bf4a0543719f8d50a9645,2026-06-21T12:19:34Z,sha256:aa27a02f7242b721a85f39e11de416f1eb9a44def8f062c54c4e64eb028f51d2,MACHINE_VERIFIED,
PARAM-008,MOD-001,FORM-001,dip_trigger_rsi_35,Dip trigger option rsi_35,rule_enum,string,enum,rsi_35,rsi_35,rsi_35,NOT_APPLICABLE,,,,NOT_APPLICABLE,NOT_APPLICABLE,See formula_registry.yaml,EXTRACTED from implementation default,UNKNOWN calibration/source evidence; see TASK-PFI-B-001,medium,PFI/大数据模拟器/qbvs/strategies.py:33,NOT_APPLICABLE,PFI/大数据模拟器/tests/test_core.py:61,active,EXTRACTED,TASK-PFI-B-001,param-profile-20260620,2026-06-20,python_ast_literal:PFI/大数据模拟器/qbvs/strategies.py:33:3,rsi_35,94478ef52caecb9d856bf4a0543719f8d50a9645,2026-06-21T12:19:34Z,sha256:da8685454610d5ced8fac68746fd3fd6595113e5fed5d1274f334ed74838f2de,MACHINE_VERIFIED,
PARAM-009,MOD-001,FORM-001,dip_trigger_boll_or_rsi,Dip trigger option boll_or_rsi,rule_enum,string,enum,boll_or_rsi,boll_or_rsi,boll_or_rsi,NOT_APPLICABLE,,,,NOT_APPLICABLE,NOT_APPLICABLE,See formula_registry.yaml,EXTRACTED from implementation default,UNKNOWN calibration/source evidence; see TASK-PFI-B-001,medium,PFI/大数据模拟器/qbvs/strategies.py:33,NOT_APPLICABLE,PFI/大数据模拟器/tests/test_core.py:61,active,EXTRACTED,TASK-PFI-B-001,param-profile-20260620,2026-06-20,python_ast_literal:PFI/大数据模拟器/qbvs/strategies.py:33:4,boll_or_rsi,94478ef52caecb9d856bf4a0543719f8d50a9645,2026-06-21T12:19:34Z,sha256:d32eb9db2dc772c02cd05e90d16e5e4062e0eedd1d61b8cbdaaa0b88f252abee,MACHINE_VERIFIED,
PARAM-010,MOD-001,FORM-001,dip_trigger_ma20_pullback,Dip trigger option ma20_pullback,rule_enum,string,enum,ma20_pullback,ma20_pullback,ma20_pullback,NOT_APPLICABLE,,,,NOT_APPLICABLE,NOT_APPLICABLE,See formula_registry.yaml,EXTRACTED from implementation default,UNKNOWN calibration/source evidence; see TASK-PFI-B-001,medium,PFI/大数据模拟器/qbvs/strategies.py:33,NOT_APPLICABLE,PFI/大数据模拟器/tests/test_core.py:61,active,EXTRACTED,TASK-PFI-B-001,param-profile-20260620,2026-06-20,python_ast_literal:PFI/大数据模拟器/qbvs/strategies.py:33:5,ma20_pullback,94478ef52caecb9d856bf4a0543719f8d50a9645,2026-06-21T12:19:34Z,sha256:0f13b26fdfa23e0a5ff48c69a31bd2958bd310ab085d8eb3eba9e28c6eff8944,MACHINE_VERIFIED,
PARAM-011,MOD-001,FORM-001,dip_trigger_two_day_drop,Dip trigger option two_day_drop,rule_enum,string,enum,two_day_drop,two_day_drop,two_day_drop,NOT_APPLICABLE,,,,NOT_APPLICABLE,NOT_APPLICABLE,See formula_registry.yaml,EXTRACTED from implementation default,UNKNOWN calibration/source evidence; see TASK-PFI-B-001,medium,PFI/大数据模拟器/qbvs/strategies.py:33,NOT_APPLICABLE,PFI/大数据模拟器/tests/test_core.py:61,active,EXTRACTED,TASK-PFI-B-001,param-profile-20260620,2026-06-20,python_ast_literal:PFI/大数据模拟器/qbvs/strategies.py:33:6,two_day_drop,94478ef52caecb9d856bf4a0543719f8d50a9645,2026-06-21T12:19:34Z,sha256:efa1b2b5524874294623bc12e53df0cc81e4f5ca5120af78ae4f03b4e60952e3,MACHINE_VERIFIED,
