company_id,tier,canonical_name,industry_or_power_system,entity_form,research_scope,fact_status,data_mode,default_inclusion,source_file
P0-001,P0,Alphabet Inc.,数字平台 / 云 / AI,上市集团,母子公司与品牌分离；Google/Cloud/YouTube/Waymo；AI资本开支、并购、监管与数据依赖,needs_source_verification,research_target_not_verified_fact,yes,data/research_universe.csv
P0-002,P0,Microsoft Corporation,云 / 企业软件 / AI,上市集团,Azure、OpenAI经济与治理关系、AI基础设施资本开支、企业分发渠道与监管,needs_source_verification,research_target_not_verified_fact,yes,data/research_universe.csv
P0-003,P0,"Amazon.com, Inc.",云 / 电商 / 物流 / AI,上市集团,AWS、Anthropic关系、物流网络、数据中心资本开支、供应链与政府合同,needs_source_verification,research_target_not_verified_fact,yes,data/research_universe.csv
P0-004,P0,"Meta Platforms, Inc.",社交平台 / 广告 / AI,上市集团,创始人投票控制、平台矩阵、AI基础设施、战略投资、广告与监管,needs_source_verification,research_target_not_verified_fact,yes,data/research_universe.csv
P0-005,P0,Apple Inc.,终端 / 平台 / 服务,上市集团,全球供应链、服务收入、回购、AI合作、应用分发权力与监管,needs_source_verification,research_target_not_verified_fact,yes,data/research_universe.csv
P0-006,P0,NVIDIA Corporation,AI计算 / 半导体,上市集团,GPU生态、客户与代工依赖、战略投资、网络设备、资本回报与平台控制,needs_source_verification,research_target_not_verified_fact,yes,data/research_universe.csv
P0-007,P0,OpenAI Group PBC,基础模型 / AI平台,私营PBC；结构需持续核验,与OpenAI Foundation分离建模；股东、算力、云、商业分发、治理权和融资事件,needs_source_verification,research_target_not_verified_fact,yes,data/research_universe.csv
P0-008,P0,Anthropic PBC,基础模型 / AI平台,私营PBC,Long-Term Benefit Trust、Amazon/Google等资本与云关系、算力承诺、融资与治理,needs_source_verification,research_target_not_verified_fact,yes,data/research_universe.csv
P0-009,P0,Space Exploration Technologies Corp. (SpaceX),航天 / 卫星 / AI集团,上市集团,SpaceX—xAI—X链条、Starlink、政府合同、双重股权、债务、资本开支与并购,needs_source_verification,research_target_not_verified_fact,yes,data/research_universe.csv
P0-010,P0,X.AI Holdings Corp. / xAI operating entities,基础模型 / 社交数据 / AI基础设施,SpaceX集团子层级；法律实体需解析,与SpaceX及X Holdings的有效日期关系、Colossus算力、融资、数据与产品分发,needs_source_verification,research_target_not_verified_fact,yes,data/research_universe.csv
P0-011,P0,X Holdings Corp. / X Corp.,社交平台 / 数据分发,SpaceX集团下属链条；法律实体需解析,债务、平台现金流、广告、数据授权、xAI集成、治理与关联交易,needs_source_verification,research_target_not_verified_fact,yes,data/research_universe.csv
P0-012,P0,"Tesla, Inc.",汽车 / 能源 / AI / 机器人,上市集团,创始人生态、关联方、AI与机器人资本开支、能源业务、供应链和交叉投资,needs_source_verification,research_target_not_verified_fact,yes,data/research_universe.csv
P0-013,P0,Oracle Corporation,数据库 / 云 / AI基础设施,上市集团,OCI数据中心、AI客户与伙伴、债务融资、收购整合、能源与芯片依赖,needs_source_verification,research_target_not_verified_fact,yes,data/research_universe.csv
P0-014,P0,Broadcom Inc.,半导体 / 基础设施软件,上市集团,VMware整合、AI网络、客户集中度、债务、并购和平台议价权,needs_source_verification,research_target_not_verified_fact,yes,data/research_universe.csv
