item_id,area,requirement,status,severity,proof,evidence_path,next_action
schedule_exact,Schedule,Beijing schedule must contain 10 hourly runs from 08:30 through 17:30.,pass,info,"configured_slots={'R1': '08:30', 'R2': '09:30', 'R3': '10:30', 'R4': '11:30', 'R5': '12:30', 'R6': '13:30', 'R7': '14:30', 'R8': '15:30', 'R9': '16:30', 'R10': '17:30'}",/Users/linzezhang/Documents/Codex/2026-06-12/codex-dev-automation-using-model-5/app/scheduler.py,None
business_day_schedule_gate,Schedule,Recurring automation must skip Beijing weekends by default while preserving manual override support for controlled backfills.,pass,info,"saturday_default=none, saturday_override=R1",/Users/linzezhang/Documents/Codex/2026-06-12/codex-dev-automation-using-model-5/app/scheduler.py,None
risk_thresholds,Risk,Max drawdown block must be 40%; recovery-to-origin repair time must be under 1 year.,pass,info,"max_drawdown_block=40.00%, recovery_time_block_days=365",/Users/linzezhang/Documents/Codex/2026-06-12/codex-dev-automation-using-model-5/app/config.py,None
no_trade_execution_code,Safety,System must not contain automatic real buy/sell/order execution paths.,pass,info,no forbidden trade execution patterns found in app/,/Users/linzezhang/Documents/Codex/2026-06-12/codex-dev-automation-using-model-5/app,None
benchmark_dynamic_window,Benchmark,Benchmark smoke default window must be dynamic so recurring automation does not keep using stale hard-coded dates.,pass,info,default window is latest Beijing weekday plus 103-day lookback,/Users/linzezhang/Documents/Codex/2026-06-12/codex-dev-automation-using-model-5/app/core/benchmark_smoke.py,None
formal_pdf,Deliverables,Required deliverable `PRODUCTION_READINESS_REPORT.pdf` must exist and be non-empty.,pass,info,"exists=True, size=171499",/Users/linzezhang/Documents/Codex/2026-06-12/codex-dev-automation-using-model-5/outputs/preflight/PRODUCTION_READINESS_REPORT.pdf,None
task_pack,Deliverables,Required deliverable `13_CODEX_PROMPT.md` must exist and be non-empty.,pass,info,"exists=True, size=1560",/Users/linzezhang/Documents/Codex/2026-06-12/codex-dev-automation-using-model-5/outputs/task_pack/13_CODEX_PROMPT.md,None
launchd_plist,Deliverables,Required deliverable `com.serenity.daily-analysis.plist` must exist and be non-empty.,pass,info,"exists=True, size=1247",/Users/linzezhang/Documents/Codex/2026-06-12/codex-dev-automation-using-model-5/outputs/implementation/com.serenity.daily-analysis.plist,None
codex_automation_notes,Deliverables,Required deliverable `CODEX_AUTOMATION_PROPOSALS.md` must exist and be non-empty.,pass,info,"exists=True, size=1592",/Users/linzezhang/Documents/Codex/2026-06-12/codex-dev-automation-using-model-5/outputs/implementation/CODEX_AUTOMATION_PROPOSALS.md,None
application_portal,Deliverables,Required deliverable `index.html` must exist and be non-empty.,pass,info,"exists=True, size=87196",/Users/linzezhang/Documents/Codex/2026-06-12/codex-dev-automation-using-model-5/outputs/application/index.html,None
intake_pack,Deliverables,Required deliverable `README_PRODUCTION_DATA_INTAKE.md` must exist and be non-empty.,pass,info,"exists=True, size=6167",/Users/linzezhang/Documents/Codex/2026-06-12/codex-dev-automation-using-model-5/outputs/intake_pack/README_PRODUCTION_DATA_INTAKE.md,None
intake_evidence_guide,Deliverables,Required deliverable `EVIDENCE_INTAKE_GUIDE.md` must exist and be non-empty.,pass,info,"exists=True, size=1628",/Users/linzezhang/Documents/Codex/2026-06-12/codex-dev-automation-using-model-5/outputs/intake_pack/EVIDENCE_INTAKE_GUIDE.md,None
validation_summary,Deliverables,Required deliverable `VALIDATION_SUMMARY.md` must exist and be non-empty.,pass,info,"exists=True, size=17095",/Users/linzezhang/Documents/Codex/2026-06-12/codex-dev-automation-using-model-5/outputs/tests/VALIDATION_SUMMARY.md,None
web_application_entry,Web,A stable local web application portal must exist and link to the continuously updated offline report index.,pass,info,"portal links report index, readiness report, package, and no-trading boundary",/Users/linzezhang/Documents/Codex/2026-06-12/codex-dev-automation-using-model-5/outputs/application/index.html,None
downloads_application_entry,Web,"Downloads root must provide a `.app` entry point to the Serenity Daily Analysis portal, not `~/Downloads/application`.",pass,info,"Downloads root app bundle opens the current workspace application portal; exists=True, info=True, pkginfo=True, executable=True, icon=True, icon_size=604959, bundle_id_scoped=True, chinese_name=True, points_to_workspace=True, starts_server=True, has_health_check=True, icon_plist=True",/Users/linzezhang/Downloads/Serenity 每日分析.app,None
applications_app_entry,Web,/Applications must provide a `.app` entry point to the Serenity Daily Analysis portal.,pass,info,"/Applications app bundle opens the current workspace application portal; exists=True, info=True, pkginfo=True, executable=True, icon=True, icon_size=604959, bundle_id_scoped=True, chinese_name=True, points_to_workspace=True, starts_server=True, has_health_check=True, icon_plist=True",/Applications/Serenity 每日分析.app,None
legacy_downloads_application_entry_removed,Web,`~/Downloads/application` must not remain the active Serenity app entry location.,pass,info,legacy Serenity entries removed from ~/Downloads/application,/Users/linzezhang/Downloads/application,None
codex_app_automation_active,Automation,Codex app must have active recurring wake-up automations for the Serenity production tick workflow.,pass,info,serenity-daily-analysis-beijing-hour-slots=PAUSED; serenity-daily-analysis-beijing-half-hour-slots=ACTIVE,/Users/linzezhang/Documents/Codex/2026-06-12/codex-dev-automation-using-model-5/outputs/implementation/CODEX_AUTOMATION_READY.md,None
launchd_schedule_contract,Automation,launchd template must poll frequently enough to catch Beijing slots and run the preflight-gated shadow-safe automation command.,pass,info,"StartInterval=180, command=automation-tick, dry_run_env=true, mail_send_enabled=false",/Users/linzezhang/Documents/Codex/2026-06-12/codex-dev-automation-using-model-5/outputs/implementation/com.serenity.daily-analysis.plist,None
launchd_runtime_status,Automation,"Installed launchd runtime status snapshot must show a loaded job, successful safe tick, dry-run safety, and disabled real mail sending.",pass,info,"install_state=loaded, latest_tick_action=non_business_day, dry_run=True, stderr_bytes=0, mail_send_enabled=False",/Users/linzezhang/Documents/Codex/2026-06-12/codex-dev-automation-using-model-5/outputs/implementation/LAUNCHD_STATUS.json,None
apple_mail_smoke_artifact,Notification,"Controlled Apple Mail smoke must prove draft generation, Mail scriptability, and current production-send config without sending by default.",pass,info,"draft_ready=True, app_scriptable=True, production_send_ready=True, send_status=not_requested",/Users/linzezhang/Documents/Codex/2026-06-12/codex-dev-automation-using-model-5/outputs/preflight/apple_mail_smoke_latest.json,None
mail_unlock_workflow,Notification,"Real Apple Mail production-send unlock must have a controlled checklist, real-send smoke command, production-mail launchd template, and rollback command without sending by default.",pass,info,"workflow_ready=True, production_send_ready_now=False, mail_sent=False, launchd_modified=False",/Users/linzezhang/Documents/Codex/2026-06-12/codex-dev-automation-using-model-5/outputs/preflight/mail_unlock_check_latest.md,None
alipay_execution_window_evidence,Execution Rules,"Alipay/off-platform fund execution window must be source-backed, including 15:00 cutoff, T+1 confirmation, and product-specific exceptions.",pass,info,"md_exists=True, json_exists=True, has_15_cutoff=True, has_t_plus_1=True, has_exceptions=True",/Users/linzezhang/Documents/Codex/2026-06-12/codex-dev-automation-using-model-5/outputs/preflight/ALIPAY_FUND_EXECUTION_WINDOW_EVIDENCE.md,None
source_evidence_reference_gate,Evidence,Production intake validation must block unverifiable fund-rule and candidate source URLs or local evidence paths.,pass,info,validator blocks unverifiable fund-rule url_or_path and candidate source_url references,/Users/linzezhang/Documents/Codex/2026-06-12/codex-dev-automation-using-model-5/app/core/intake_validator.py,None
