symbol,market,asset_class,tradability,currency,timezone,source,source_symbol,yahoo_symbol,notes
0005.HK,HK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,HKD,Asia/Hong_Kong,moomoo_opend,HK.0005,0005.HK,"Seed candidate for validation; confirm account permission, liquidity, fees, and data availability before final use."
0175.HK,HK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,HKD,Asia/Hong_Kong,moomoo_opend,HK.0175,0175.HK,"Seed candidate for validation; confirm account permission, liquidity, fees, and data availability before final use."
0388.HK,HK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,HKD,Asia/Hong_Kong,moomoo_opend,HK.0388,0388.HK,"Seed candidate for validation; confirm account permission, liquidity, fees, and data availability before final use."
0700.HK,HK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,HKD,Asia/Hong_Kong,moomoo_opend,HK.0700,0700.HK,"Seed candidate for validation; confirm account permission, liquidity, fees, and data availability before final use."
0762.HK,HK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,HKD,Asia/Hong_Kong,moomoo_opend,HK.0762,0762.HK,"Seed candidate for validation; confirm account permission, liquidity, fees, and data availability before final use."
0857.HK,HK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,HKD,Asia/Hong_Kong,moomoo_opend,HK.0857,0857.HK,"Seed candidate for validation; confirm account permission, liquidity, fees, and data availability before final use."
0883.HK,HK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,HKD,Asia/Hong_Kong,moomoo_opend,HK.0883,0883.HK,"Seed candidate for validation; confirm account permission, liquidity, fees, and data availability before final use."
0939.HK,HK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,HKD,Asia/Hong_Kong,moomoo_opend,HK.0939,0939.HK,"Seed candidate for validation; confirm account permission, liquidity, fees, and data availability before final use."
0941.HK,HK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,HKD,Asia/Hong_Kong,moomoo_opend,HK.0941,0941.HK,"Seed candidate for validation; confirm account permission, liquidity, fees, and data availability before final use."
0968.HK,HK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,HKD,Asia/Hong_Kong,moomoo_opend,HK.0968,0968.HK,"Seed candidate for validation; confirm account permission, liquidity, fees, and data availability before final use."
1024.HK,HK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,HKD,Asia/Hong_Kong,moomoo_opend,HK.1024,1024.HK,"Seed candidate for validation; confirm account permission, liquidity, fees, and data availability before final use."
1211.HK,HK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,HKD,Asia/Hong_Kong,moomoo_opend,HK.1211,1211.HK,"Seed candidate for validation; confirm account permission, liquidity, fees, and data availability before final use."
1299.HK,HK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,HKD,Asia/Hong_Kong,moomoo_opend,HK.1299,1299.HK,"Seed candidate for validation; confirm account permission, liquidity, fees, and data availability before final use."
1398.HK,HK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,HKD,Asia/Hong_Kong,moomoo_opend,HK.1398,1398.HK,"Seed candidate for validation; confirm account permission, liquidity, fees, and data availability before final use."
1810.HK,HK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,HKD,Asia/Hong_Kong,moomoo_opend,HK.1810,1810.HK,"Seed candidate for validation; confirm account permission, liquidity, fees, and data availability before final use."
2015.HK,HK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,HKD,Asia/Hong_Kong,moomoo_opend,HK.2015,2015.HK,"Seed candidate for validation; confirm account permission, liquidity, fees, and data availability before final use."
