parameter_id,model_id,formula_id,symbol,name,category,data_type,unit,default_value,initial_or_prior_value,active_value,weight,weight_group,weight_group_target,weight_group_tolerance,min_value,max_value,formula_or_transform,source_or_rationale,calibration_method,sensitivity,code_ref,config_ref,test_ref,status,fact_level,unknown_task_ids,parameter_version,last_updated,source_selector,extracted_value,last_verified_commit,verified_at,evidence_hash
PARAM-093,MOD-012,FORM-012,cloudflare.compatibility_level,Cloudflare public adapter compatibility level,deployment,string,level,L2,L2,L2,,,,,,,identity,EXTRACTED from the public-surface contract; this is a deployment compatibility label and does not alter EEI business models or release gates. The tracked apps/cloudflare-public pnpm importer makes clean-checkout bootstrap idempotent without changing the L2 value.,NOT_APPLICABLE deployment contract,validation=public surface declares L2 and no production database or external action,EEI/apps/cloudflare-public/public/index.html,EEI/apps/cloudflare-public/public/public-surface.json; EEI/apps/cloudflare-public/wrangler.jsonc; EEI/pnpm-workspace.yaml; EEI/pnpm-lock.yaml; EEI/apps/cloudflare-public/package.json,tests/cloudflare/test_compatibility_envelope.py; scripts/cloudflare/scan_public_dist.py; EEI/Makefile:bootstrap-node; .github/workflows/eei-validation.yml; GitHub Actions run 29385085264,active,EXTRACTED,,cloudflare-l2@1,2026-07-15,json_path:EEI/apps/cloudflare-public/public/public-surface.json::compatibility_level,L2,e4bf4b6b3af5ef29809da7db7637c3f554db7c62,2026-07-15T02:54:48Z,sha256:eeea48321620e0c10100ecbcbb8a2a346ffed407429cfdd139e6d9f634a6bb3f
PARAM-001,MOD-001,FORM-001,weights.supply_chain_criticality,供应链关键性,综合权重,number,ratio,0.24,0.24,0.24,0.24,WG-FORM-001-TOP-LEVEL,1.0,0.0001,0,0.7,FORM-001,EXTRACTED from EEI/data/parameter_catalog.csv:2; legacy validation=all weights sum 1.0 ± 0.0001; live_preview=True; refresh=all_loaded_views,NOT_APPLICABLE: no empirical calibration evidence in current governance baseline,step=0.01; validation=all weights sum 1.0 ± 0.0001,EEI/data/parameter_catalog.csv:2; EEI/scripts/validate_governance.py:108-121,EEI/config/model_profiles/balanced-v2.json; EEI/config/model_runtime_defaults.yaml,EEI/scripts/validate_model_config.py; EEI/scripts/validate_governance.py,active,EXTRACTED,,balanced-v2@2,2026-06-20,csv_cell:EEI/data/parameter_catalog.csv::parameter_key=weights.supply_chain_criticality::default_value,0.24,810ea9fd0beb6d0aebdb4b40fcb55b53c2d81104,2026-06-21T06:20:00Z,sha256:f1130e51beb24bfff1e6ef34b8b2f748e12dac7e7130f8e64a07d9c845c333cb
PARAM-002,MOD-001,FORM-001,weights.strategic_dependency,战略依赖,综合权重,number,ratio,0.18,0.18,0.18,0.18,WG-FORM-001-TOP-LEVEL,1.0,0.0001,0,0.7,FORM-001,EXTRACTED from EEI/data/parameter_catalog.csv:3; legacy validation=all weights sum 1.0 ± 0.0001; live_preview=True; refresh=all_loaded_views,NOT_APPLICABLE: no empirical calibration evidence in current governance baseline,step=0.01; validation=all weights sum 1.0 ± 0.0001,EEI/data/parameter_catalog.csv:3; EEI/scripts/validate_governance.py:108-121,EEI/config/model_profiles/balanced-v2.json; EEI/config/model_runtime_defaults.yaml,EEI/scripts/validate_model_config.py; EEI/scripts/validate_governance.py,active,EXTRACTED,,balanced-v2@2,2026-06-20,csv_cell:EEI/data/parameter_catalog.csv::parameter_key=weights.strategic_dependency::default_value,0.18,810ea9fd0beb6d0aebdb4b40fcb55b53c2d81104,2026-06-21T06:20:00Z,sha256:c70108062ea016f6a0075b24f083c27826108bf9ae72011cf6e247483ae2ace6
PARAM-003,MOD-001,FORM-001,weights.capital_momentum,资本动量,综合权重,number,ratio,0.14,0.14,0.14,0.14,WG-FORM-001-TOP-LEVEL,1.0,0.0001,0,0.7,FORM-001,EXTRACTED from EEI/data/parameter_catalog.csv:4; legacy validation=all weights sum 1.0 ± 0.0001; live_preview=True; refresh=all_loaded_views,NOT_APPLICABLE: no empirical calibration evidence in current governance baseline,step=0.01; validation=all weights sum 1.0 ± 0.0001,EEI/data/parameter_catalog.csv:4; EEI/scripts/validate_governance.py:108-121,EEI/config/model_profiles/balanced-v2.json; EEI/config/model_runtime_defaults.yaml,EEI/scripts/validate_model_config.py; EEI/scripts/validate_governance.py,active,EXTRACTED,,balanced-v2@2,2026-06-20,csv_cell:EEI/data/parameter_catalog.csv::parameter_key=weights.capital_momentum::default_value,0.14,810ea9fd0beb6d0aebdb4b40fcb55b53c2d81104,2026-06-21T06:20:00Z,sha256:cb69f3ace99cb236d66b2643ee59e78d1b5c8461da4948fa775e1976fed698fe
PARAM-004,MOD-001,FORM-001,weights.control_influence,控制影响,综合权重,number,ratio,0.12,0.12,0.12,0.12,WG-FORM-001-TOP-LEVEL,1.0,0.0001,0,0.7,FORM-001,EXTRACTED from EEI/data/parameter_catalog.csv:5; legacy validation=all weights sum 1.0 ± 0.0001; live_preview=True; refresh=all_loaded_views,NOT_APPLICABLE: no empirical calibration evidence in current governance baseline,step=0.01; validation=all weights sum 1.0 ± 0.0001,EEI/data/parameter_catalog.csv:5; EEI/scripts/validate_governance.py:108-121,EEI/config/model_profiles/balanced-v2.json; EEI/config/model_runtime_defaults.yaml,EEI/scripts/validate_model_config.py; EEI/scripts/validate_governance.py,active,EXTRACTED,,balanced-v2@2,2026-06-20,csv_cell:EEI/data/parameter_catalog.csv::parameter_key=weights.control_influence::default_value,0.12,810ea9fd0beb6d0aebdb4b40fcb55b53c2d81104,2026-06-21T06:20:00Z,sha256:ba9ccbb8f676b3a21c4ddcca139cbdecfd5a4effe9b67983696a6d0e7299b50f
PARAM-005,MOD-001,FORM-001,weights.policy_exposure,政策暴露,综合权重,number,ratio,0.1,0.1,0.1,0.1,WG-FORM-001-TOP-LEVEL,1.0,0.0001,0,0.7,FORM-001,EXTRACTED from EEI/data/parameter_catalog.csv:6; legacy validation=all weights sum 1.0 ± 0.0001; live_preview=True; refresh=all_loaded_views,NOT_APPLICABLE: no empirical calibration evidence in current governance baseline,step=0.01; validation=all weights sum 1.0 ± 0.0001,EEI/data/parameter_catalog.csv:6; EEI/scripts/validate_governance.py:108-121,EEI/config/model_profiles/balanced-v2.json; EEI/config/model_runtime_defaults.yaml,EEI/scripts/validate_model_config.py; EEI/scripts/validate_governance.py,active,EXTRACTED,,balanced-v2@2,2026-06-20,csv_cell:EEI/data/parameter_catalog.csv::parameter_key=weights.policy_exposure::default_value,0.1,810ea9fd0beb6d0aebdb4b40fcb55b53c2d81104,2026-06-21T06:20:00Z,sha256:1f9dd16fe3c93a8aaca8ac1b62b3b7912ff5e27f272aaaf7fde490562211168f
PARAM-006,MOD-001,FORM-001,weights.technology_dependency,技术依赖,综合权重,number,ratio,0.08,0.08,0.08,0.08,WG-FORM-001-TOP-LEVEL,1.0,0.0001,0,0.7,FORM-001,EXTRACTED from EEI/data/parameter_catalog.csv:7; legacy validation=all weights sum 1.0 ± 0.0001; live_preview=True; refresh=all_loaded_views,NOT_APPLICABLE: no empirical calibration evidence in current governance baseline,step=0.01; validation=all weights sum 1.0 ± 0.0001,EEI/data/parameter_catalog.csv:7; EEI/scripts/validate_governance.py:108-121,EEI/config/model_profiles/balanced-v2.json; EEI/config/model_runtime_defaults.yaml,EEI/scripts/validate_model_config.py; EEI/scripts/validate_governance.py,active,EXTRACTED,,balanced-v2@2,2026-06-20,csv_cell:EEI/data/parameter_catalog.csv::parameter_key=weights.technology_dependency::default_value,0.08,810ea9fd0beb6d0aebdb4b40fcb55b53c2d81104,2026-06-21T06:20:00Z,sha256:de5ea16731e82dc696b65cb727c7da0929198a92fc3c2560ad492bccdcab6c23
PARAM-007,MOD-001,FORM-001,weights.strategic_signal,战略信号,综合权重,number,ratio,0.08,0.08,0.08,0.08,WG-FORM-001-TOP-LEVEL,1.0,0.0001,0,0.7,FORM-001,EXTRACTED from EEI/data/parameter_catalog.csv:8; legacy validation=all weights sum 1.0 ± 0.0001; live_preview=True; refresh=all_loaded_views,NOT_APPLICABLE: no empirical calibration evidence in current governance baseline,step=0.01; validation=all weights sum 1.0 ± 0.0001,EEI/data/parameter_catalog.csv:8; EEI/scripts/validate_governance.py:108-121,EEI/config/model_profiles/balanced-v2.json; EEI/config/model_runtime_defaults.yaml,EEI/scripts/validate_model_config.py; EEI/scripts/validate_governance.py,active,EXTRACTED,,balanced-v2@2,2026-06-20,csv_cell:EEI/data/parameter_catalog.csv::parameter_key=weights.strategic_signal::default_value,0.08,810ea9fd0beb6d0aebdb4b40fcb55b53c2d81104,2026-06-21T06:20:00Z,sha256:000c557d41eaee2466a4669df7e812a6b0d84c3ba160b4bf688cc35882ed7432
PARAM-008,MOD-001,FORM-001,weights.time_relevance,时间相关性,综合权重,number,ratio,0.06,0.06,0.06,0.06,WG-FORM-001-TOP-LEVEL,1.0,0.0001,0,0.7,FORM-001,EXTRACTED from EEI/data/parameter_catalog.csv:9; legacy validation=all weights sum 1.0 ± 0.0001; live_preview=True; refresh=all_loaded_views,NOT_APPLICABLE: no empirical calibration evidence in current governance baseline,step=0.01; validation=all weights sum 1.0 ± 0.0001,EEI/data/parameter_catalog.csv:9; EEI/scripts/validate_governance.py:108-121,EEI/config/model_profiles/balanced-v2.json; EEI/config/model_runtime_defaults.yaml,EEI/scripts/validate_model_config.py; EEI/scripts/validate_governance.py,active,EXTRACTED,,balanced-v2@2,2026-06-20,csv_cell:EEI/data/parameter_catalog.csv::parameter_key=weights.time_relevance::default_value,0.06,810ea9fd0beb6d0aebdb4b40fcb55b53c2d81104,2026-06-21T06:20:00Z,sha256:caa63b7a61dcfd5f25c9cc531bf721d68fd26940ae89b84edddc5eb7381a6dfe
PARAM-009,MOD-001,FORM-001,quality_adjustment.floor,证据质量最低修正,质量修正,number,ratio,0.45,0.45,0.45,0.45,WG-FORM-001-QUALITY-ADJUSTMENT,1.0,0.0001,0,1,FORM-001,EXTRACTED from EEI/data/parameter_catalog.csv:10; legacy validation=pair sums 1.0; live_preview=True; refresh=all_loaded_views,NOT_APPLICABLE: no empirical calibration evidence in current governance baseline,step=0.01; validation=pair sums 1.0,EEI/data/parameter_catalog.csv:10; EEI/scripts/validate_governance.py:108-121,EEI/config/model_profiles/balanced-v2.json; EEI/config/model_runtime_defaults.yaml,EEI/scripts/validate_model_config.py; EEI/scripts/validate_governance.py,active,EXTRACTED,,balanced-v2@2,2026-06-20,csv_cell:EEI/data/parameter_catalog.csv::parameter_key=quality_adjustment.floor::default_value,0.45,810ea9fd0beb6d0aebdb4b40fcb55b53c2d81104,2026-06-21T06:20:00Z,sha256:748c3782f3e2f82ef849516fba73a2c39205c23dd9b00e67691a9982d38be933
