symbol,market,asset_class,tradability,currency,timezone,source,source_symbol,yahoo_symbol,notes
SPY,US_ETF,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,moomoo_opend,US.SPY,SPY,"Seed candidate for validation; confirm account permission, liquidity, fees, and data availability before final use."
QQQ,US_ETF,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,moomoo_opend,US.QQQ,QQQ,"Seed candidate for validation; confirm account permission, liquidity, fees, and data availability before final use."
DIA,US_ETF,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,moomoo_opend,US.DIA,DIA,"Seed candidate for validation; confirm account permission, liquidity, fees, and data availability before final use."
IWM,US_ETF,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,moomoo_opend,US.IWM,IWM,"Seed candidate for validation; confirm account permission, liquidity, fees, and data availability before final use."
VTI,US_ETF,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,moomoo_opend,US.VTI,VTI,"Seed candidate for validation; confirm account permission, liquidity, fees, and data availability before final use."
VOO,US_ETF,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,moomoo_opend,US.VOO,VOO,"Seed candidate for validation; confirm account permission, liquidity, fees, and data availability before final use."
IVV,US_ETF,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,moomoo_opend,US.IVV,IVV,"Seed candidate for validation; confirm account permission, liquidity, fees, and data availability before final use."
RSP,US_ETF,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,moomoo_opend,US.RSP,RSP,"Seed candidate for validation; confirm account permission, liquidity, fees, and data availability before final use."
SCHD,US_ETF,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,moomoo_opend,US.SCHD,SCHD,"Seed candidate for validation; confirm account permission, liquidity, fees, and data availability before final use."
VIG,US_ETF,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,moomoo_opend,US.VIG,VIG,"Seed candidate for validation; confirm account permission, liquidity, fees, and data availability before final use."
VYM,US_ETF,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,moomoo_opend,US.VYM,VYM,"Seed candidate for validation; confirm account permission, liquidity, fees, and data availability before final use."
IWB,US_ETF,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,moomoo_opend,US.IWB,IWB,"Seed candidate for validation; confirm account permission, liquidity, fees, and data availability before final use."
IWF,US_ETF,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,moomoo_opend,US.IWF,IWF,"Seed candidate for validation; confirm account permission, liquidity, fees, and data availability before final use."
IWD,US_ETF,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,moomoo_opend,US.IWD,IWD,"Seed candidate for validation; confirm account permission, liquidity, fees, and data availability before final use."
