date,symbol,name,weight,holding_return_pct,amount
2026-06-03,512620,农业ETF天弘,0,0,0
2026-06-03,300024,机器人,0,0,0
2026-06-03,516570,化工行业ETF易方达,0,0,0
2026-06-03,159819,人工智能ETF易方达,0,0,0
2026-06-03,000001,上证指数,0,0,0
2026-06-03,VOO,标普500ETF-Vanguard,0,0,0
2026-06-03,QQQ,纳指100ETF-Invesco QQQ Trust,0,0,0
2026-06-03,NOBL,ProShares标普500股利贵族ETF,0,0,0
2026-06-03,563020,红利低波ETF易方达,0,0,0
2026-06-03,399986,中证银行,0,0,0
2026-06-03,000688,科创50,0,0,0
2026-06-03,159995,芯片ETF华夏,0,0,0
2026-06-03,518800,黄金ETF国泰,0,0,0
2026-06-03,159742,恒生科技ETF博时,0,0,0
2026-06-03,NDAQ,纳斯达克,0,0,0
