strategy_id,behavior_family,indicator_stack,behavior_logic,anti_waste_status,evidence_level,promotion_tier,base_weight,dip_trigger,sell_trigger,trend_rule,risk_rule,public_samples,public_pass_rate,public_avg_total_gap,public_avg_annualized_gap,public_avg_drawdown_improvement,deep_samples,deep_pass_rate,deep_avg_total_gap,deep_avg_annualized_gap,deep_avg_drawdown_improvement,moomoo_samples,moomoo_pass_rate,moomoo_avg_total_gap,moomoo_avg_annualized_gap,moomoo_avg_drawdown_improvement,moomoo_avg_var_5,moomoo_avg_cvar_5,moomoo_avg_turnover,moomoo_avg_trades
bw92_rsi_35_none_ma_trend_full_atr_96,buy_dip+trend_participation+risk_overlay,RSI+MA+ATR,RSI oversold buy-upweight; no explicit sell trim; MA trend full participation; ATR risk throttle,meaningful_behavior_with_evidence,moomoo_batch100_real_validated,tier_1_real_data_promotion_candidate,0.92,rsi_35,none,ma_trend_full,atr_96,200.0,0.98,-0.0032422806997671,-0.0003335086779288,0.0100942167259558,1000.0,0.939,-0.0088646390609629,-2.1725621679134407e-05,0.0117883251139421,300.0,0.93,-0.0217192413858947,-0.0077862936823474,0.0091080811884249,-0.0243811918691239,-0.0373365419810089,3.5065797964913235,273.9166666666667
bw92_boll_or_rsi_none_ma_trend_full_atr_96,buy_dip+trend_participation+risk_overlay,BOLL+RSI+MA+ATR,BOLL lower-band or RSI oversold buy-upweight; no explicit sell trim; MA trend full participation; ATR risk throttle,meaningful_behavior_with_evidence,moomoo_batch100_real_validated,tier_1_real_data_promotion_candidate,0.92,boll_or_rsi,none,ma_trend_full,atr_96,200.0,0.98,-0.0033505014068257,-0.000452557021452,0.0098137308841568,1000.0,0.937,-0.0091756873752693,-0.0001607714782209,0.0113640933659042,300.0,0.93,-0.0217695572215818,-0.0077624201447112,0.008905982578798,-0.0243899007348624,-0.0373481568307278,3.621430952952621,273.64666666666665
bw92_boll_or_rsi_none_ma_trend_full_none,buy_dip+trend_participation,BOLL+RSI+MA,BOLL lower-band or RSI oversold buy-upweight; no explicit sell trim; MA trend full participation; no risk overlay,meaningful_behavior_with_evidence,moomoo_batch100_real_validated,tier_1_real_data_promotion_candidate,0.92,boll_or_rsi,none,ma_trend_full,none,200.0,0.98,-0.0018413653406828,0.0001042229538772,0.0093070761674181,1000.0,0.946,-0.0042318564837167,0.0008311377727244,0.008446556441695,300.0,0.9266666666666666,-0.0200126775739779,-0.0095994819402326,0.005808369932209,-0.0245809017953838,-0.0379078766432592,3.4298448504920067,215.59333333333333
bw92_rsi_35_none_ma_trend_full_none,buy_dip+trend_participation,RSI+MA,RSI oversold buy-upweight; no explicit sell trim; MA trend full participation; no risk overlay,meaningful_behavior_with_evidence,moomoo_batch100_real_validated,tier_1_real_data_promotion_candidate,0.92,rsi_35,none,ma_trend_full,none,200.0,0.98,-0.0016418330189002,0.0002770484745175,0.0096616504100824,1000.0,0.946,-0.0038851634261574,0.0009904103003061,0.0090173158121155,300.0,0.9133333333333332,-0.0197093133674224,-0.0095737070207108,0.0061619021914411,-0.0245648021038365,-0.0378897605654399,3.2968238702951043,216.22
bw92_none_none_ma_trend_full_none,trend_participation,MA,no dip upweight; no explicit sell trim; MA trend full participation; no risk overlay,meaningful_behavior_with_evidence,moomoo_batch100_real_validated,tier_1_real_data_promotion_candidate,0.92,none,none,ma_trend_full,none,200.0,0.985,0.0019806296595988,0.0023593313265839,0.0160776904523942,1000.0,0.931,-0.0048236642293246,0.0020276087476758,0.0170862607081909,300.0,0.9133333333333332,-0.0221730541672318,-0.0077624745127479,0.0109272353646435,-0.0243144023959158,-0.037075440591039,2.0100568232637395,238.46666666666667
bw92_none_none_ma_trend_full_atr_96,trend_participation+risk_overlay,MA+ATR,no dip upweight; no explicit sell trim; MA trend full participation; ATR risk throttle,meaningful_behavior_with_evidence,moomoo_batch100_real_validated,tier_1_real_data_promotion_candidate,0.92,none,none,ma_trend_full,atr_96,200.0,0.985,0.0013639291410249,0.002181524111789,0.0164009586874341,1000.0,0.92,-0.0081091935249199,0.0014269435196995,0.0182948062574617,300.0,0.9133333333333332,-0.0225000182918418,-0.006655053671922,0.0122442486299087,-0.024209980623485,-0.0368737487617066,2.404273476551433,283.2633333333333
bw92_boll_lower_none_ma_trend_full_atr_96,buy_dip+trend_participation+risk_overlay,BOLL+MA+ATR,BOLL lower-band buy-upweight; no explicit sell trim; MA trend full participation; ATR risk throttle,meaningful_behavior_with_evidence,moomoo_batch100_real_validated,tier_1_real_data_promotion_candidate,0.92,boll_lower,none,ma_trend_full,atr_96,200.0,0.99,-0.0029195650664427,8.052839430617964e-05,0.0144441771199606,1000.0,0.919,-0.0095876608367518,0.000393912650929,0.016051276801379,300.0,0.9133333333333332,-0.0238107991829434,-0.0081521402339145,0.0108500253005101,-0.0242519615868322,-0.037037845608202,3.020011878258572,282.96
bw92_rsi_35_none_macd_trend_full_none,buy_dip+trend_participation,RSI+MA+MACD,RSI oversold buy-upweight; no explicit sell trim; MACD trend full participation; no risk overlay,meaningful_behavior_with_evidence,moomoo_batch100_real_validated,tier_2_real_data_watchlist,0.92,rsi_35,none,macd_trend_full,none,200.0,0.975,0.0005357410481236,0.00139387138985,0.0090679079663889,1000.0,0.901,-0.0131775187956352,-0.0019988069456518,0.0072729485750956,300.0,0.89,-0.0275463804549726,-0.0120854518832349,0.005929700629648,-0.0246650312617408,-0.0379544764738778,7.416101684883274,303.28
bw92_boll_lower_none_ma_trend_full_none,buy_dip+trend_participation,BOLL+MA,BOLL lower-band buy-upweight; no explicit sell trim; MA trend full participation; no risk overlay,meaningful_behavior_with_evidence,moomoo_batch100_real_validated,tier_2_real_data_watchlist,0.92,boll_lower,none,ma_trend_full,none,200.0,0.995,-0.0021201779886103,0.0003481934993549,0.0141118110927415,1000.0,0.927,-0.0062353784304372,0.0009189219532222,0.0135432450885777,300.0,0.8833333333333333,-0.0243966486978093,-0.0106368524532154,0.0085063687979008,-0.0243858606179028,-0.0373851673080984,2.807961433993509,237.74333333333337
bw92_boll_or_rsi_none_macd_trend_full_none,buy_dip+trend_participation,BOLL+RSI+MA+MACD,BOLL lower-band or RSI oversold buy-upweight; no explicit sell trim; MACD trend full participation; no risk overlay,meaningful_behavior_with_evidence,moomoo_batch100_real_validated,tier_2_real_data_watchlist,0.92,boll_or_rsi,none,macd_trend_full,none,200.0,0.975,0.0004128492688944,0.0012827304757092,0.0088052276711811,1000.0,0.898,-0.0136235876960339,-0.0022172607782915,0.0067641119112357,300.0,0.8766666666666667,-0.0279436960778786,-0.0121935856447846,0.0055083743205389,-0.0246928376633958,-0.0379850003115237,7.604293244988876,301.06666666666666
bw92_rsi_35_none_ma_trend_full_drawdown_90,buy_dip+trend_participation+risk_overlay,RSI+MA+Drawdown,RSI oversold buy-upweight; no explicit sell trim; MA trend full participation; drawdown risk throttle,meaningful_behavior_with_evidence,moomoo_batch100_real_validated,tier_2_real_data_watchlist,0.92,rsi_35,none,ma_trend_full,drawdown_90,200.0,0.975,-0.0042208753913958,0.0001568752586699,0.0191785555341183,1000.0,0.902,-0.0111589038789712,0.000449583773243,0.0192189767864443,300.0,0.8766666666666667,-0.0288820994903823,-0.0113278312880296,0.0128862418173222,-0.0240599316360718,-0.0366535160136346,3.29004397844881,259.15
