requirement_id,requirement_title,acceptance_id,task_ids,test,evidence,artifact,pass_gate
RQ-001,对象零误伤边界,AC-001,T0304;T0702,python -m pytest -q tests/acceptance/test_ac_001.py,evidence/acceptance/AC-001-zero-collateral.json,MooMooAU/scope,AC-001 evidence schema valid and threshold satisfied
RQ-002,全部已验证邮件类型覆盖,AC-002,T0401;T0502;T0705,python -m pytest -q tests/acceptance/test_ac_002.py,evidence/acceptance/AC-002-all-types.json,MooMooAU/scope,AC-002 evidence schema valid and threshold satisfied
RQ-003,全邮箱位置覆盖,AC-003,T0003;T0301;T0607,python -m pytest -q tests/acceptance/test_ac_003.py,evidence/acceptance/AC-003-mailbox-coverage.json,MooMooAU/discovery,AC-003 evidence schema valid and threshold satisfied
RQ-004,发件人确定性双重验证,AC-004,T0303;T0304;T0702,python -m pytest -q tests/acceptance/test_ac_004.py,evidence/acceptance/AC-004-double-verification.json,MooMooAU/classification,AC-004 evidence schema valid and threshold satisfied
RQ-005,新发件人安全默认,AC-005,T0303;T0304,python -m pytest -q tests/acceptance/test_ac_005.py,evidence/acceptance/AC-005-unknown-sender.json,MooMooAU/classification,AC-005 evidence schema valid and threshold satisfied
RQ-006,消息级 M3,AC-006,T0002;T0202;T0502;T0703,python -m pytest -q tests/acceptance/test_ac_006.py,evidence/acceptance/AC-006-message-trash.json,MooMooAU/gmail-mutation,AC-006 evidence schema valid and threshold satisfied
RQ-007,M3 远端恢复 Gate,AC-007,T0501;T0602;T0702;T0703,python -m pytest -q tests/acceptance/test_ac_007.py,evidence/acceptance/AC-007-remote-recovery-gate.json,MooMooAU/gmail-mutation,AC-007 evidence schema valid and threshold satisfied
RQ-008,单一公开代码位置,AC-008,T0001;T0005;T0006;T0101;T0106,python -m pytest -q tests/acceptance/test_ac_008.py,evidence/acceptance/AC-008-code-location.json,MooMooAU/repository,AC-008 evidence schema valid and threshold satisfied
RQ-009,单一私有数据仓,AC-009,T0001;T0002;T0101;T0203,python -m pytest -q tests/acceptance/test_ac_009.py,evidence/acceptance/AC-009-single-private-repo.json,MooMooAU/repository,AC-009 evidence schema valid and threshold satisfied
RQ-010,云端临时执行,AC-010,T0102;T0205,python -m pytest -q tests/acceptance/test_ac_010.py,evidence/acceptance/AC-010-cloud-ephemeral.json,MooMooAU/runtime,AC-010 evidence schema valid and threshold satisfied
RQ-011,全部敏感数据 age 加密,AC-011,T0104;T0205;T0307;T0506,python -m pytest -q tests/acceptance/test_ac_011.py,evidence/acceptance/AC-011-age-encryption.json,MooMooAU/encryption,AC-011 evidence schema valid and threshold satisfied
RQ-012,恢复钥匙一次性交付,AC-012,T0007;T0206;T0707,python -m pytest -q tests/acceptance/test_ac_012.py,evidence/acceptance/AC-012-key-delivery.json,MooMooAU/encryption,AC-012 evidence schema valid and threshold satisfied
RQ-013,Canonical Raw 完整邮件,AC-013,T0103;T0104;T0305;T0601,python -m pytest -q tests/acceptance/test_ac_013.py,evidence/acceptance/AC-013-canonical-eml.json,MooMooAU/data,AC-013 evidence schema valid and threshold satisfied
RQ-014,附件 Magic Bytes 识别,AC-014,T0003;T0103;T0306;T0403;T0601,python -m pytest -q tests/acceptance/test_ac_014.py,evidence/acceptance/AC-014-magic-bytes.json,MooMooAU/data,AC-014 evidence schema valid and threshold satisfied
RQ-015,Processed 版本化与血缘,AC-015,T0105;T0402;T0403;T0404;T0406;T0704,python -m pytest -q tests/acceptance/test_ac_015.py,evidence/acceptance/AC-015-versioned-lineage.json,MooMooAU/data,AC-015 evidence schema valid and threshold satisfied
RQ-016,公开面严格脱敏,AC-016,T0407;T0601,python -m pytest -q tests/acceptance/test_ac_016.py,evidence/acceptance/AC-016-public-redaction.json,MooMooAU/privacy,AC-016 evidence schema valid and threshold satisfied
RQ-017,PDF 密码未知不阻塞 Raw/M3,AC-017,T0405;T0501,python -m pytest -q tests/acceptance/test_ac_017.py,evidence/acceptance/AC-017-pdf-password-deferred.json,MooMooAU/processing,AC-017 evidence schema valid and threshold satisfied
RQ-018,单一 Gmail OAuth 与端点守卫,AC-018,T0007;T0201;T0202;T0601;T0604,python -m pytest -q tests/acceptance/test_ac_018.py,evidence/acceptance/AC-018-endpoint-guard.json,MooMooAU/identity,AC-018 evidence schema valid and threshold satisfied
RQ-019,私有仓短时最小权限,AC-019,T0007;T0203;T0204;T0604,python -m pytest -q tests/acceptance/test_ac_019.py,evidence/acceptance/AC-019-github-app-token.json,MooMooAU/identity,AC-019 evidence schema valid and threshold satisfied
RQ-020,不可信内容隔离,AC-020,T0103;T0306;T0603,python -m pytest -q tests/acceptance/test_ac_020.py,evidence/acceptance/AC-020-untrusted-input.json,MooMooAU/security,AC-020 evidence schema valid and threshold satisfied
RQ-021,供应链可复现与治理,AC-021,T0107;T0207;T0604;T0701;T0708,python -m pytest -q tests/acceptance/test_ac_021.py,evidence/acceptance/AC-021-supply-chain.json,MooMooAU/security,AC-021 evidence schema valid and threshold satisfied
RQ-022,明文零持久缓存,AC-022,T0201;T0205;T0506;T0604;T0607,python -m pytest -q tests/acceptance/test_ac_022.py,evidence/acceptance/AC-022-no-persistent-plaintext.json,MooMooAU/runtime,AC-022 evidence schema valid and threshold satisfied
RQ-023,04:30 悉尼时区运行,AC-023,T0002;T0302;T0507;T0705,python -m pytest -q tests/acceptance/test_ac_023.py,evidence/acceptance/AC-023-schedule.json,MooMooAU/operations,AC-023 evidence schema valid and threshold satisfied
RQ-024,Codex 职责简单稳定,AC-024,T0605;T0706,python -m pytest -q tests/acceptance/test_ac_024.py,evidence/acceptance/AC-024-codex-auto-simple.json,MooMooAU/operations,AC-024 evidence schema valid and threshold satisfied
RQ-025,Gmail History 与全量补偿,AC-025,T0301;T0302;T0507;T0608,python -m pytest -q tests/acceptance/test_ac_025.py,evidence/acceptance/AC-025-sync-reconcile.json,MooMooAU/discovery,AC-025 evidence schema valid and threshold satisfied
RQ-026,端到端幂等,AC-026,T0302;T0307;T0502;T0601;T0607;T0703,python -m pytest -q tests/acceptance/test_ac_026.py,evidence/acceptance/AC-026-idempotency.json,MooMooAU/reliability,AC-026 evidence schema valid and threshold satisfied
RQ-027,私有优先跨仓一致性,AC-027,T0104;T0204;T0307;T0501;T0602;T0608,python -m pytest -q tests/acceptance/test_ac_027.py,evidence/acceptance/AC-027-private-first.json,MooMooAU/reliability,AC-027 evidence schema valid and threshold satisfied
RQ-028,单一最新 Timeline,AC-028,T0002;T0505;T0506;T0602;T0704,python -m pytest -q tests/acceptance/test_ac_028.py,evidence/acceptance/AC-028-single-latest-timeline.json,MooMooAU/timeline,AC-028 evidence schema valid and threshold satisfied
