requirement_id,stage,phase,title,baseline,target,acceptance_id,priority
REQ-S00-P01,S00,P01,冻结 Canonical Facts,未实现或旧包存在冲突/缺口,全部事实唯一、无冲突、版本为0.0.0.1。,AC-S00-P01,P0
REQ-S00-P02,S00,P02,冻结权限与自动默认,未实现或旧包存在冲突/缺口,只有明确暂停条件可以阻止自动推进。,AC-S00-P02,P0
REQ-S00-P03,S00,P03,冻结零预算依赖,未实现或旧包存在冲突/缺口,新增现金支出为A$0；付费接口不在关键路径。,AC-S00-P03,P0
REQ-S00-P04,S00,P04,一次性外部授权降级,未实现或旧包存在冲突/缺口,未授权时仅邮件自动化关闭，其他任务全部继续。,AC-S00-P04,P0
REQ-S01-P01,S01,P01,客户新闻稿,未实现或旧包存在冲突/缺口,新闻稿不依赖技术术语且结果可观察。,AC-S01-P01,P1
REQ-S01-P02,S01,P02,客户常见问题,未实现或旧包存在冲突/缺口,关键疑问均有明确默认与证据。,AC-S01-P02,P1
REQ-S01-P03,S01,P03,需求与边界,未实现或旧包存在冲突/缺口,每条需求唯一且可追踪。,AC-S01-P03,P1
REQ-S01-P04,S01,P04,指标与经济性,未实现或旧包存在冲突/缺口,不承诺伪精确收益；30%目标可证伪可验证。,AC-S01-P04,P1
REQ-S02-P01,S02,P01,官方平台与监管调研,未实现或旧包存在冲突/缺口,每个事实有URL、检索日期和来源等级。,AC-S02-P01,P1
REQ-S02-P02,S02,P02,模型与风险论文调研,未实现或旧包存在冲突/缺口,每个模型设计主张可回溯论文。,AC-S02-P02,P1
REQ-S02-P03,S02,P03,开源项目复用审计,未实现或旧包存在冲突/缺口,每个项目有采用/适配/拒绝和许可证裁定。,AC-S02-P03,P1
REQ-S02-P04,S02,P04,调研缺口与反证,未实现或旧包存在冲突/缺口,不宣称穷尽互联网；静默研究缺口为零。,AC-S02-P04,P1
REQ-S03-P01,S03,P01,中文术语字典,未实现或旧包存在冲突/缺口,日常界面不存在未解释缩写。,AC-S03-P01,P1
REQ-S03-P02,S03,P02,唯一建议卡,未实现或旧包存在冲突/缺口,用户10秒内知道做什么、在哪做、金额和最低赔率。,AC-S03-P02,P1
REQ-S03-P03,S03,P03,中文错误与下一步,未实现或旧包存在冲突/缺口,每个失败状态只有一个明确下一步。,AC-S03-P03,P1
REQ-S03-P04,S03,P04,可用性与无障碍,未实现或旧包存在冲突/缺口,核心操作中位数≤10分钟、95分位≤20分钟。,AC-S03-P04,P1
REQ-S04-P01,S04,P01,基础设施即代码,未实现或旧包存在冲突/缺口,一条命令可重建，秘密不进入仓库。,AC-S04-P01,P0
REQ-S04-P02,S04,P02,Cloudflare 全球入口,未实现或旧包存在冲突/缺口,OVH无需公开业务入站端口即可访问。,AC-S04-P02,P0
REQ-S04-P03,S04,P03,单机双环境发布,未实现或旧包存在冲突/缺口,发布不丢账本，失败在15分钟内回旧版。,AC-S04-P03,P0
REQ-S04-P04,S04,P04,容量与资源治理,未实现或旧包存在冲突/缺口,VPS-1在10倍预期负载下不触发失控交换或磁盘耗尽。,AC-S04-P04,P0
REQ-S05-P01,S05,P01,市场本体与范围清单,未实现或旧包存在冲突/缺口,所有发现对象都有唯一类型或明确未知状态。,AC-S05-P01,P1
REQ-S05-P02,S05,P02,来源能力合同,未实现或旧包存在冲突/缺口,任何采集能力必须先通过来源合同。,AC-S05-P02,P1
REQ-S05-P03,S05,P03,自适应采集调度,未实现或旧包存在冲突/缺口,固定时钟测试中刷新偏差≤2秒，过期数据不进入建议。,AC-S05-P03,P1
REQ-S05-P04,S05,P04,覆盖缺口可观测,未实现或旧包存在冲突/缺口,静默缺口=0；每个缺口都有原因和恢复动作。,AC-S05-P04,P1
REQ-S06-P01,S06,P01,最小权限授权与检索,未实现或旧包存在冲突/缺口,无授权不阻塞核心；有授权后重复扫描不重复归档。,AC-S06-P01,P0
REQ-S06-P02,S06,P02,原件与附件双阶段保存,未实现或旧包存在冲突/缺口,任何文件缺失或哈希不一致时邮件不删除。,AC-S06-P02,P0
REQ-S06-P03,S06,P03,附件安全与解析,未实现或旧包存在冲突/缺口,恶意、宏、脚本、公式注入或未知类型全部隔离。,AC-S06-P03,P0
REQ-S06-P04,S06,P04,删除、审计与恢复,未实现或旧包存在冲突/缺口,未知发件人或验证失败不删除；永久删除能力不存在。,AC-S06-P04,P0
REQ-S07-P01,S07,P01,赛事与盘口唯一身份,未实现或旧包存在冲突/缺口,身份置信度<99.5%时不建议。,AC-S07-P01,P0
REQ-S07-P02,S07,P02,时间血缘与防泄漏,未实现或旧包存在冲突/缺口,未来信息容忍度=0。,AC-S07-P02,P0
REQ-S07-P03,S07,P03,不可变建议与资金账本,未实现或旧包存在冲突/缺口,无成交证据时真实资金账本不变化。,AC-S07-P03,P0
REQ-S07-P04,S07,P04,连续证据索引,未实现或旧包存在冲突/缺口,需求→任务→测试→证据→制品无孤儿。,AC-S07-P04,P0
REQ-S08-P01,S08,P01,四种去水方法,未实现或旧包存在冲突/缺口,完整盘口概率和=1±1e-9，四种方法可重放。,AC-S08-P01,P1
REQ-S08-P02,S08,P02,来源独立性与权重,未实现或旧包存在冲突/缺口,同源复制不得被错误计为多条独立证据。,AC-S08-P02,P1
REQ-S08-P03,S08,P03,加权中位共识,未实现或旧包存在冲突/缺口,增加复制来源不改变共识；结果跨实现一致。,AC-S08-P03,P1
REQ-S08-P04,S08,P04,异常值与线动,未实现或旧包存在冲突/缺口,单一异常长赔率不能制造建议。,AC-S08-P04,P1
REQ-S09-P01,S09,P01,通用市场残差基线,未实现或旧包存在冲突/缺口,没有领域增量时残差权重自动为0。,AC-S09-P01,P1
REQ-S09-P02,S09,P02,网球与对抗项目模型,未实现或旧包存在冲突/缺口,只使用建议时已知信息，时间外推通过。,AC-S09-P02,P1
REQ-S09-P03,S09,P03,足球与得分项目模型,未实现或旧包存在冲突/缺口,概率质量、尾部和盘口映射通过。,AC-S09-P03,P1
REQ-S09-P04,S09,P04,赛马、篮球、棒球及小众回退,未实现或旧包存在冲突/缺口,未证明领域模型只能市场基线或不建议。,AC-S09-P04,P1
REQ-S10-P01,S10,P01,时间交叉验证与校准,未实现或旧包存在冲突/缺口,斜率0.90–1.10、截距绝对值≤0.02。,AC-S10-P01,P0
REQ-S10-P02,S10,P02,分块重采样与保守概率,未实现或旧包存在冲突/缺口,固定种子/输入可重放，保守概率单调。,AC-S10-P02,P0
REQ-S10-P03,S10,P03,十进制定点权威计算,未实现或旧包存在冲突/缺口,两套实现差≤1e-12且动作完全一致。,AC-S10-P03,P0
REQ-S10-P04,S10,P04,万分之一扰动门,未实现或旧包存在冲突/缺口,所有硬边界±0.0001用例100%符合预期。,AC-S10-P04,P0
REQ-S11-P01,S11,P01,摩擦与可执行净期望,未实现或旧包存在冲突/缺口,有效摩擦取默认与实测95分位较大者。,AC-S11-P01,P0
REQ-S11-P02,S11,P02,证据层与最低赔率,未实现或旧包存在冲突/缺口,所有阈值边界及万分之一扰动通过。,AC-S11-P02,P0
REQ-S11-P03,S11,P03,动态平台路由,未实现或旧包存在冲突/缺口,只显示一个最高分且全部门通过的平台。,AC-S11-P03,P0
REQ-S11-P04,S11,P04,受限凯利与相关组合,未实现或旧包存在冲突/缺口,任意属性测试不能越过风险上限。,AC-S11-P04,P0
REQ-S12-P01,S12,P01,目标曲线与现金流调整,未实现或旧包存在冲突/缺口,固定时钟下目标曲线与高精度参考一致。,AC-S12-P01,P1
REQ-S12-P02,S12,P02,机会容量与相关校正,未实现或旧包存在冲突/缺口,不把高度相关机会重复计入30%覆盖。,AC-S12-P02,P1
REQ-S12-P03,S12,P03,收益成本敏感性,未实现或旧包存在冲突/缺口,所有收益带区间、置信度和失败概率，不输出保证。,AC-S12-P03,P1
REQ-S12-P04,S12,P04,证伪与验证门,未实现或旧包存在冲突/缺口,目标短缺只报告，不降低阈值、仓位或证据门。,AC-S12-P04,P1
REQ-S13-P01,S13,P01,中文工作台与推送,未实现或旧包存在冲突/缺口,手机/电脑任意地点可访问，界面中文。,AC-S13-P01,P1
REQ-S13-P02,S13,P02,打开平台与即时校验,未实现或旧包存在冲突/缺口,低于最低赔率、身份不符或过期立即红色撤销。,AC-S13-P02,P1
REQ-S13-P03,S13,P03,建议后证据与结算,未实现或旧包存在冲突/缺口,没有确认时不伪造真实收益。,AC-S13-P03,P1
REQ-S13-P04,S13,P04,六类完整路径,未实现或旧包存在冲突/缺口,每类路径有输入、状态、输出、证据和恢复。,AC-S13-P04,P1
REQ-S14-P01,S14,P01,威胁模型与信任边界,未实现或旧包存在冲突/缺口,高风险威胁均有预防、检测、响应和恢复控制。,AC-S14-P01,P0
REQ-S14-P02,S14,P02,安全编码与自动分析,未实现或旧包存在冲突/缺口,未处置严重/高危为0。,AC-S14-P02,P0
REQ-S14-P03,S14,P03,组件与补丁生命周期,未实现或旧包存在冲突/缺口,每个生产组件有来源、版本、许可证和负责人。,AC-S14-P03,P0
REQ-S14-P04,S14,P04,制品来源与安全回滚,未实现或旧包存在冲突/缺口,发布制品可追溯到源代码、依赖和构建环境。,AC-S14-P04,P0
REQ-S15-P01,S15,P01,单元、属性与Schema测试,未实现或旧包存在冲突/缺口,关键模块分支覆盖≥95%，资金/阈值属性测试100%通过。,AC-S15-P01,P0
REQ-S15-P02,S15,P02,来源合同与集成测试,未实现或旧包存在冲突/缺口,真实网络故障不影响测试确定性。,AC-S15-P02,P0
REQ-S15-P03,S15,P03,多端多环境端到端,未实现或旧包存在冲突/缺口,Golden/Black/Degraded/Recovery全通过。,AC-S15-P03,P0
REQ-S15-P04,S15,P04,需求追踪与通过门,未实现或旧包存在冲突/缺口,无孤儿、无循环、无未通过关键验收。,AC-S15-P04,P0
REQ-S16-P01,S16,P01,市场基线与挑战模型,未实现或旧包存在冲突/缺口,模型没有显著增量时权重归零。,AC-S16-P01,P0
REQ-S16-P02,S16,P02,能力、校准与收益评测,未实现或旧包存在冲突/缺口,所有95%置信下界门通过才晋级。,AC-S16-P02,P0
REQ-S16-P03,S16,P03,红队与不同模型互审,未实现或旧包存在冲突/缺口,任何可绕过门的攻击为阻断缺陷。,AC-S16-P03,P0
REQ-S16-P04,S16,P04,模型系统说明卡与阶段门,未实现或旧包存在冲突/缺口,软件通过不能替代模型通过，两条门独立。,AC-S16-P04,P0
REQ-S17-P01,S17,P01,全历史与10倍负载,未实现或旧包存在冲突/缺口,VPS-1资源门内且无静默丢数据。,AC-S17-P01,P0
REQ-S17-P02,S17,P02,并发、重试与幂等极限,未实现或旧包存在冲突/缺口,重复建议/账本事件为0。,AC-S17-P02,P0
REQ-S17-P03,S17,P03,故障注入,未实现或旧包存在冲突/缺口,错误时不使用陈旧数据且自动降级。,AC-S17-P03,P0
REQ-S17-P04,S17,P04,恢复与常态演练,未实现或旧包存在冲突/缺口,账本恢复点≤60秒，建议服务恢复≤15分钟。,AC-S17-P04,P0
REQ-S18-P01,S18,P01,双环境与小流量试运行,未实现或旧包存在冲突/缺口,新版本探针失败自动回旧版。,AC-S18-P01,P0
REQ-S18-P02,S18,P02,可观测、诊断与告警,未实现或旧包存在冲突/缺口,每个高优先级告警有唯一自动或人工动作。,AC-S18-P02,P0
REQ-S18-P03,S18,P03,有限自愈,未实现或旧包存在冲突/缺口,自愈不能修改资金事实或放宽风险门。,AC-S18-P03,P0
REQ-S18-P04,S18,P04,运行手册与值守自动化,未实现或旧包存在冲突/缺口,正常运行无需用户维护；异常仅按暂停合同升级。,AC-S18-P04,P0
REQ-S19-P01,S19,P01,Walking Skeleton 与软件Alpha,未实现或旧包存在冲突/缺口,不使用真实资金即可确定性闭环。,AC-S19-P01,P0
REQ-S19-P02,S19,P02,影子运行与模型Beta,未实现或旧包存在冲突/缺口,校准、净增长、时效、容量和漂移门通过。,AC-S19-P02,P0
REQ-S19-P03,S19,P03,正式可用与小额建议,未实现或旧包存在冲突/缺口,证据完整、对账差异0、终止条件未触发。,AC-S19-P03,P0
REQ-S19-P04,S19,P04,最终验收与长期验证,未实现或旧包存在冲突/缺口,所有验收通过，版本和哈希无歧义无冲突。,AC-S19-P04,P0
