finding_id,source_ids,history_item_ids,domain,summary,current_status,priority,fact_level,priority_basis,prior_evidence_refs,prior_evidence_as_of,current_evidence_refs,current_evidence_as_of,current_evidence_result,roadmap_resolution_tasks,blocks_phase_0_3_candidate,blocks_v025_production_acceptance,rationale
PFI-V025-FND-001,AUD-01,HIST-OLD-CLOSEOUT-CLAIMS,governance,旧 closeout 不证明当前 v0.2.5 完成,StillPresent,P0,VERIFIED,AUDIT-P0-OWNER,NOT_APPLICABLE,NOT_APPLICABLE,CURRENT_OWNER,2026-07-12T01:09:30.659834+10:00,reproduced,S0-P3-T1;S12-P3-T1,false,true,classification=StillPresent;priority_inherited_from=AUDIT-P0-OWNER;current_predicate=reproduced
PFI-V025-FND-002,AUD-12;R-12;SUR-03;P02-RISK-01;PFI-V025-CONFLICT-OWNER-VIEWS,NOT_APPLICABLE,owner_truth,owner views 与 v0.2.5 governance 状态分裂,StillPresent,P0,VERIFIED,R-12,NOT_APPLICABLE,NOT_APPLICABLE,CURRENT_OWNER;P03_TERM,2026-07-12T01:09:30.659834+10:00,reproduced,S0-P3-T1;S12-P3-T1,false,true,classification=StillPresent;priority_inherited_from=R-12;current_predicate=reproduced
PFI-V025-FND-003,AUD-11;P01-RISK-02;P01-CONFLICT:RELEASE_IDENTITY_MIXED_VERSIONS;PFI-V025-CONFLICT-RELEASE-IDENTITY,NOT_APPLICABLE,release_identity,VERSION/page/launcher/App/target identity 混合,StillPresent,P0,VERIFIED,AUDIT-P0-APP,NOT_APPLICABLE,NOT_APPLICABLE,P01_ENTRY;CURRENT_WEB;CURRENT_OWNER;P03_TERM,2026-07-12T01:09:30.659834+10:00,reproduced,S1-P1-T1;S1-P1-T2;S1-P1-T3;S1-P1-T4;S12-P3-T1,false,true,classification=StillPresent;priority_inherited_from=AUDIT-P0-APP;current_predicate=reproduced
PFI-V025-FND-004,AUD-02;R-01;SUR-02;PFI-V025-CONFLICT-APP-IDENTITY,OVERRIDE-PER-STAGE-DELIVERY,app_identity,canonical App/cache/reinstall identity 未闭环,StillPresent,P0,VERIFIED,R-01,NOT_APPLICABLE,NOT_APPLICABLE,P01_ENTRY;CURRENT_RUNTIME_APP,2026-07-12T01:09:30.659834+10:00,reproduced,S1-P1-T2;S1-P2-T1;S1-P2-T2;S1-P2-T3;S1-P2-T4;S12-P2-T1,false,true,classification=StillPresent;priority_inherited_from=R-01;current_predicate=reproduced
PFI-V025-FND-005,P01-RISK-05;P01-CONFLICT:APP_EXECUTABLE_HASH_MISMATCH,NOT_APPLICABLE,app_identity,repo App executable 与用户入口不一致,New,P0,VERIFIED,R-01,NOT_APPLICABLE,NOT_APPLICABLE,P03_TERM,2026-07-12T01:09:30.659834+10:00,new_current_fact,S1-P1-T2;S1-P1-T3;S12-P2-T1,false,true,source_universe_non_match=no_same_predicate_prior_repository_app_full_file_to_user_entry_equality;priority_inherited_from=R-01
PFI-V025-FND-006,P01-RISK-04;P01-CONFLICT:REPOSITORY_APP_CODESIGN_FAILED;P01-CONFLICT:APP_CODESIGN_EXIT_CODES_PARTIALLY_UNAVAILABLE,NOT_APPLICABLE,app_delivery,repo App strict codesign 失败,New,P0,VERIFIED,R-01,NOT_APPLICABLE,NOT_APPLICABLE,P03_TERM,2026-07-12T01:09:30.659834+10:00,new_current_fact,S1-P1-T2;S12-P2-T1,false,true,source_universe_non_match=no_same_predicate_prior_repository_bundle_strict_codesign_fact;priority_inherited_from=R-01
PFI-V025-FND-007,P01-RISK-06;P01-CONFLICT:MULTIPLE_CANONICAL_RUNTIME_SERVICES;PFI-V025-CONFLICT-RUNTIME-LISTENERS,NOT_APPLICABLE,runtime,两个 canonical listeners 同时运行,New,P0,VERIFIED,AUDIT-P0-APP,NOT_APPLICABLE,NOT_APPLICABLE,P03_TERM,2026-07-12T01:09:30.659834+10:00,new_current_fact,S1-P3-T2;S12-P2-T2,false,true,source_universe_non_match=no_same_predicate_prior_simultaneous_healthy_canonical_listener_count;priority_inherited_from=AUDIT-P0-APP
PFI-V025-FND-008,AUD-03;P01-RISK-07,NOT_APPLICABLE,data_roots,PFI_DATA_HOME 未设且 data-root truth 分裂,StillPresent,P0,VERIFIED,AUDIT-P0-DATA,NOT_APPLICABLE,NOT_APPLICABLE,P01_REPO;P03_TERM,2026-07-12T01:09:30.659834+10:00,reproduced,S2-P1-T1;S2-P1-T2;S2-P1-T3,false,true,classification=StillPresent;priority_inherited_from=AUDIT-P0-DATA;current_predicate=reproduced
PFI-V025-FND-009,AUD-04;AUD-05;AUD-06;SUR-01;P01-RISK-08,ARCH-IMMUTABLE-RAW-READMODEL-PROVENANCE,read_model,transaction rows 不能替代 account/holding/net-worth inputs,StillPresent,P0,VERIFIED,R-02,NOT_APPLICABLE,NOT_APPLICABLE,P01_REPO,2026-07-11T08:52:55+10:00,reproduced,S2-P1-T4;S4-P1-T1;S4-P1-T2;S4-P1-T3;S4-P1-T4;S4-P2-T1;S4-P2-T2;S4-P2-T3;S4-P2-T4,false,true,classification=StillPresent;priority_inherited_from=R-02;current_predicate=reproduced
PFI-V025-FND-010,R-02,HIST-FAKE-FINANCIAL-ACCEPTANCE,financial_truth,no-false-zero 缺 fresh production gate,StillPresent,P0,EXTRACTED,R-02,NOT_APPLICABLE,NOT_APPLICABLE,P01_EVID,2026-07-11T08:52:55+10:00,required_production_proof_missing,S4-P3-T1;S12-P1-T4,false,true,classification=StillPresent;priority_inherited_from=R-02;current_predicate=required_production_proof_missing
