acceptance_id,priority,category,criterion,verification,status
A001,P0,planning,"Plan lists scope, files, commands, tests, risks, rollback and acceptance mapping",Review plan artifact,NOT STARTED
A002,P0,planning,"ADRs cover graph budget, URL state, score versioning, append-only logs and 14-day calibration",ADR review,NOT STARTED
A003,P0,planning,Prototype/MVP/robust tracks cannot silently change P0 Definition of Done,Plan review,NOT STARTED
A004,P0,bootstrap,Runtime and dependencies pinned with lockfiles,Clean bootstrap + lock inspection,NOT STARTED
A005,P0,bootstrap,Docker Compose PostgreSQL and health checks work from clean environment,Integration test,NOT STARTED
A006,P0,bootstrap,Makefile exposes required non-interactive commands,Command smoke,NOT STARTED
A007,P0,bootstrap,make verify fails on skipped or failed required suites,Negative test,NOT STARTED
A008,P0,bootstrap,Network is off by default and secrets are absent,Config/secret scan,NOT STARTED
A009,P0,bootstrap,OpenAPI and JSON Schemas parse successfully,Contract validation,NOT STARTED
A010,P0,bootstrap,Repository tree follows target app/api/packages/infra/tests layout,Tree review,NOT STARTED
A011,P0,data,Migrations upgrade and downgrade cleanly,Migration round-trip,DONE
A012,P0,data,Published relationship and event require evidence,Deferred data-quality test,DONE
A013,P0,data,Unknown remains unknown and is never coerced to zero/false,Unit/data tests,DONE
A014,P0,data,Amount requires currency and amount_kind and incompatible kinds are not summed,Constraint + unit tests,DONE
A015,P0,data,"Entity types distinguish legal entity, brand, segment, product, facility, industry and other types",Schema/API assertions,DONE
A016,P0,data,All ten relationship families are represented in taxonomy and fixtures,Data check,DONE
A017,P0,data,P0 seed contains at least 30 unique entities,CSV/data check,DONE
A018,P0,data,Research universe contains 120 U.S. targets and 20 global context nodes,CSV/data check,DONE
A019,P0,data,Industry taxonomy supports parent/child and multi-label membership,Migration/API test,DONE
A020,P0,data,Supply-chain stage taxonomy contains 16 ordered stages,CSV/data check,DONE
A021,P0,data,"Supply-chain attributes preserve tier, materiality, substitutability, capacity, geography and coverage",Schema/unit test,DONE
A022,P0,data,"Temporal fields preserve validity, announcement, filing, report, observation and ingestion times",Schema/golden test,DONE
A023,P0,data,Supersession and conflict preserve history,Repository integration test,DONE
A024,P0,data,Seed and fixture load are idempotent,Run twice and compare,DONE
A025,P0,data,Synthetic fixtures are visibly marked and never presented as live facts,UI/API content test,DONE
A026,P0,data,Entity resolution precision is >=95% on at least 50 cases,Gold evaluation,NOT STARTED
A027,P0,data,Relationship precision is >=90% on at least 100 cases,Gold evaluation,NOT STARTED
A028,P0,data,Research/source/metric/parameter registries load without malformed rows,Static validation,DONE
A029,P0,home,"Home shows global search, industries, Watchlist, recent explorations, changes and freshness",E2E,DONE
A030,P0,home,Home shows active scoring profile and last/next calibration status,E2E,DONE
A031,P0,industry,Industry list is human-readable and versioned,API/UI test,DONE
A032,P0,industry,"Industry page shows chain stages, subindustries, entities, bottlenecks, capital, policy and changes",E2E,DONE
A033,P0,industry,Entities may have primary and secondary industries,API/data test,DONE
A034,P0,industry,Cross-industry navigation is allowed and visibly indicated,E2E,DONE
A035,P0,watchlist,"Local-user Watchlist can create, add, remove, restore and persist items",Integration/E2E,DONE
A036,P0,watchlist,"Watchlist supports entity, industry, theme and facility items",API test,DONE
A037,P0,watchlist,Watchlist shows unread changes and saved view/profile state,E2E,DONE
A038,P0,search,Search distinguishes aliases and entity types,Search integration,DONE
A039,P0,home,New user reaches a company focus page within three primary actions,E2E,DONE
A040,P0,accessibility,Home and industry core controls are keyboard reachable,Playwright/a11y,DONE
A041,P0,explore,"Explore API accepts focus, layers, direction, hops, as-of, profile, filters and budget",Contract/integration,DONE
A042,P0,explore,Default query is one hop and bounded to configured initial budget,Boundary test,DONE
A043,P0,explore,"Hard limits enforce hops<=2, nodes<=500, edges<=2000 and path length<=8",Boundary/negative tests,DONE
A044,P0,explore,Over-budget response is truncated with reason and continuation information,API/UI test,DONE
A045,P0,reroot,Any focusable entity can become a new root,Integration/E2E,DONE
A046,P0,reroot,"Reroot preserves time, layers, filters and scoring profile by default",E2E,DONE
A047,P0,reroot,User can reroot with reset/default state,E2E,DONE
A048,P0,reroot,Three consecutive reroots complete in semiconductor fixture,Critical E2E,DONE
A049,P0,reroot,Breadcrumb contains full focus path and is clickable,E2E,DONE
A050,P0,reroot,Browser back/forward restore the correct focus and state,E2E,DONE
A051,P0,reroot,"URL serializes/restores focus, layers, direction, time, profile and filters",E2E,DONE
A052,P0,explore,Incremental expand loads only selected direction/layers within expand budget,Integration/E2E,DONE
