requirement_id,model_id,assumption_id,formula_id,parameter_id,task_id,acceptance_id,code_ref,config_ref,test_ref,evidence_ref,status
REQ-FIFA-001,MOD-001,ASM-002,FORM-001,PARAM-001..PARAM-004,TASK-FIFA-A-001,ACC-FIFA-001,FIFA/tab-research-pipeline/tab_research/odds.py:12,NOT_APPLICABLE,FIFA/tab-research-pipeline/tests/test_pipeline.py:1013,FIFA/docs/governance/model_registry.yaml,in_progress
REQ-FIFA-002,MOD-002,ASM-003,FORM-002,PARAM-005..PARAM-030,TASK-FIFA-A-001,ACC-FIFA-001,FIFA/tab-research-pipeline/tab_research/model.py:92,NOT_APPLICABLE,FIFA/tab-research-pipeline/tests/test_pipeline.py:1157,FIFA/docs/governance/formula_registry.yaml,in_progress
REQ-FIFA-003,MOD-003,ASM-004,FORM-003,PARAM-031..PARAM-043,TASK-FIFA-A-001,ACC-FIFA-001,FIFA/tab-research-pipeline/tab_research/bankroll.py:28,NOT_APPLICABLE,FIFA/tab-research-pipeline/tests/test_pipeline.py:2371,FIFA/docs/governance/parameter_registry.csv,in_progress
REQ-FIFA-004,MOD-004,ASM-003,FORM-004,PARAM-044..PARAM-051,TASK-FIFA-A-001,ACC-FIFA-001,FIFA/tab-research-pipeline/tab_research/recommendations.py:99,NOT_APPLICABLE,FIFA/tab-research-pipeline/tests/test_pipeline.py:2476,FIFA/docs/governance/MODEL_SPEC.md,in_progress
REQ-FIFA-005,MOD-005,ASM-001,FORM-005,PARAM-052..PARAM-059,TASK-FIFA-C-001,ACC-FIFA-008,FIFA/tab-research-pipeline/tab_research/raw_refresh.py:145,NOT_APPLICABLE,FIFA/tab-research-pipeline/tests/test_pipeline.py:8893,FIFA/README.md,blocked
REQ-FIFA-006,MOD-006,ASM-001,FORM-006,PARAM-060..PARAM-063,TASK-FIFA-C-001,ACC-FIFA-008,FIFA/tab-research-pipeline/tab_research/live_board_discovery.py:45,NOT_APPLICABLE,FIFA/tab-research-pipeline/tests/test_pipeline.py:9005,FIFA/tab-research-pipeline/README.md,blocked
REQ-FIFA-007,MOD-007,ASM-005,FORM-007,PARAM-064..PARAM-068,TASK-FIFA-A-001,ACC-FIFA-003,FIFA/tab-research-pipeline/tab_research/safety.py:128,NOT_APPLICABLE,FIFA/tab-research-pipeline/tests/test_pipeline.py:1517,FIFA/AGENTS.md,in_progress
REQ-FIFA-008,MOD-008,ASM-006,FORM-008,PARAM-069..PARAM-085,TASK-FIFA-B-001,ACC-FIFA-006,FIFA/tab-research-pipeline/tab_research/provider_kpi.py:98,NOT_APPLICABLE,FIFA/tab-research-pipeline/tests/test_pipeline.py:11009,FIFA/docs/HANDOFF.md,planned
REQ-FIFA-009,MOD-009,ASM-006,FORM-009,PARAM-086..PARAM-098,TASK-FIFA-C-002,ACC-FIFA-009,FIFA/tab-research-pipeline/tab_research/provider_manual_verification.py:449,NOT_APPLICABLE,FIFA/tab-research-pipeline/tests/test_pipeline.py:6995,FIFA/docs/HANDOFF.md,blocked
REQ-FIFA-010,MOD-010,ASM-004,FORM-010,PARAM-099..PARAM-108,TASK-FIFA-E-001,ACC-FIFA-012,FIFA/tab-research-pipeline/tab_research/automation_readiness.py:129,FIFA/tab-research-pipeline/config/automation.toml,FIFA/tab-research-pipeline/tests/test_pipeline.py:3774,FIFA/tab-research-pipeline/README.md,blocked
REQ-FIFA-011,MOD-011,ASM-007,FORM-011,PARAM-109..PARAM-117,TASK-FIFA-E-002,ACC-FIFA-013,FIFA/legacy/fifa-analysis-system/app/services.py:82,FIFA/legacy/fifa-analysis-system/app/config.py:9,FIFA/legacy/fifa-analysis-system/README.md:12,FIFA/legacy/fifa-analysis-system/README.md:140,planned
REQ-FIFA-012,MOD-002,ASM-004,FORM-002,PARAM-026,TASK-FIFA-C-001,ACC-FIFA-008,FIFA/tab-research-pipeline/tab_research/model.py:143,NOT_APPLICABLE,FIFA/tab-research-pipeline/tests/test_pipeline.py:11628,FIFA/模型参数文件,blocked
REQ-FIFA-013,MOD-008,ASM-006,FORM-008,PARAM-077..PARAM-085,TASK-FIFA-B-001,ACC-FIFA-006,FIFA/tab-research-pipeline/tab_research/provider_alternate_plan.py:556,NOT_APPLICABLE,FIFA/tab-research-pipeline/tests/test_pipeline.py:11009,FIFA/docs/HANDOFF.md,planned
REQ-FIFA-014,MOD-009,ASM-004,FORM-009,PARAM-096..PARAM-098,TASK-FIFA-D-002,ACC-FIFA-011,FIFA/tab-research-pipeline/tab_research/provider_manual_verification.py:826,NOT_APPLICABLE,FIFA/tab-research-pipeline/tests/test_pipeline.py:7197,FIFA/docs/HANDOFF.md,blocked
REQ-FIFA-015,MOD-010,ASM-005,FORM-010,PARAM-106..PARAM-108,TASK-FIFA-A-001,ACC-FIFA-003,FIFA/tab-research-pipeline/tab_research/automation_readiness.py:550,NOT_APPLICABLE,FIFA/tab-research-pipeline/tests/test_pipeline.py:3632,FIFA/tab-research-pipeline/README.md,in_progress
