event_id,rank,match,commence_time,priority_tier,missing_market,tab_match_name,team_scope,tab_market_name,selection_name,line,decimal_odds,observed_at_aest,operator_initials,evidence_note_or_screenshot_ref,verification_status,entry_slot,direction_hint,manual_instruction
26634922d3f78c146440816023e40de8,1,Qatar v Switzerland,2026-06-13T19:04:00Z,high,Team Total Goals Over/Under,,,,,,,,,,pending,over_leg,Over,填写同一 team_scope 和 line 的 Over 选择、decimal_odds、observed_at_aest；完成后把 verification_status 改为 verified。
26634922d3f78c146440816023e40de8,1,Qatar v Switzerland,2026-06-13T19:04:00Z,high,Team Total Goals Over/Under,,,,,,,,,,pending,under_leg,Under,填写同一 team_scope 和 line 的 Under 选择、decimal_odds、observed_at_aest；完成后把 verification_status 改为 verified。
f6c8748a16516e0998f95de14235432a,2,Brazil v Morocco,2026-06-13T22:00:00Z,high,Team Total Goals Over/Under,,,,,,,,,,pending,over_leg,Over,填写同一 team_scope 和 line 的 Over 选择、decimal_odds、observed_at_aest；完成后把 verification_status 改为 verified。
f6c8748a16516e0998f95de14235432a,2,Brazil v Morocco,2026-06-13T22:00:00Z,high,Team Total Goals Over/Under,,,,,,,,,,pending,under_leg,Under,填写同一 team_scope 和 line 的 Under 选择、decimal_odds、observed_at_aest；完成后把 verification_status 改为 verified。
5ae41a06735c926eeb7f74006933adce,3,Haiti v Scotland,2026-06-14T01:00:00Z,high,Team Total Goals Over/Under,,,,,,,,,,pending,over_leg,Over,填写同一 team_scope 和 line 的 Over 选择、decimal_odds、observed_at_aest；完成后把 verification_status 改为 verified。
5ae41a06735c926eeb7f74006933adce,3,Haiti v Scotland,2026-06-14T01:00:00Z,high,Team Total Goals Over/Under,,,,,,,,,,pending,under_leg,Under,填写同一 team_scope 和 line 的 Under 选择、decimal_odds、observed_at_aest；完成后把 verification_status 改为 verified。
564084f52cc9f1abcc18187c168a7cdc,4,Australia v Turkey,2026-06-14T04:00:00Z,high,Team Total Goals Over/Under,,,,,,,,,,pending,over_leg,Over,填写同一 team_scope 和 line 的 Over 选择、decimal_odds、observed_at_aest；完成后把 verification_status 改为 verified。
564084f52cc9f1abcc18187c168a7cdc,4,Australia v Turkey,2026-06-14T04:00:00Z,high,Team Total Goals Over/Under,,,,,,,,,,pending,under_leg,Under,填写同一 team_scope 和 line 的 Under 选择、decimal_odds、observed_at_aest；完成后把 verification_status 改为 verified。
d79edbd6aaeb578d33e313446b18d333,5,Germany v Curaçao,2026-06-14T17:00:00Z,high,Team Total Goals Over/Under,,,,,,,,,,pending,over_leg,Over,填写同一 team_scope 和 line 的 Over 选择、decimal_odds、observed_at_aest；完成后把 verification_status 改为 verified。
d79edbd6aaeb578d33e313446b18d333,5,Germany v Curaçao,2026-06-14T17:00:00Z,high,Team Total Goals Over/Under,,,,,,,,,,pending,under_leg,Under,填写同一 team_scope 和 line 的 Under 选择、decimal_odds、observed_at_aest；完成后把 verification_status 改为 verified。
32ec06abda2398ac41501c86eb9aa376,6,Netherlands v Japan,2026-06-14T20:00:00Z,high,Team Total Goals Over/Under,,,,,,,,,,pending,over_leg,Over,填写同一 team_scope 和 line 的 Over 选择、decimal_odds、observed_at_aest；完成后把 verification_status 改为 verified。
32ec06abda2398ac41501c86eb9aa376,6,Netherlands v Japan,2026-06-14T20:00:00Z,high,Team Total Goals Over/Under,,,,,,,,,,pending,under_leg,Under,填写同一 team_scope 和 line 的 Under 选择、decimal_odds、observed_at_aest；完成后把 verification_status 改为 verified。
05752bb341e197001387b64f3a06b9b2,7,Ivory Coast v Ecuador,2026-06-14T23:00:00Z,high,Team Total Goals Over/Under,,,,,,,,,,pending,over_leg,Over,填写同一 team_scope 和 line 的 Over 选择、decimal_odds、observed_at_aest；完成后把 verification_status 改为 verified。
05752bb341e197001387b64f3a06b9b2,7,Ivory Coast v Ecuador,2026-06-14T23:00:00Z,high,Team Total Goals Over/Under,,,,,,,,,,pending,under_leg,Under,填写同一 team_scope 和 line 的 Under 选择、decimal_odds、observed_at_aest；完成后把 verification_status 改为 verified。
b55f9569de3f4d731bc5537ff5ff43e4,8,Sweden v Tunisia,2026-06-15T02:00:00Z,high,Team Total Goals Over/Under,,,,,,,,,,pending,over_leg,Over,填写同一 team_scope 和 line 的 Over 选择、decimal_odds、observed_at_aest；完成后把 verification_status 改为 verified。
b55f9569de3f4d731bc5537ff5ff43e4,8,Sweden v Tunisia,2026-06-15T02:00:00Z,high,Team Total Goals Over/Under,,,,,,,,,,pending,under_leg,Under,填写同一 team_scope 和 line 的 Under 选择、decimal_odds、observed_at_aest；完成后把 verification_status 改为 verified。
