------------------------------------------------------------------------------------
导出信息：
姓名：张霖泽
支付宝账户：18627991635
起始时间：[2025-06-04 22:00:00]    终止时间：[2026-06-03 21:59:59]
导出交易类型：[全部]
导出时间：[2026-06-03 18:18:24]
共4127笔记录
收入：128笔 428974.42元
支出：2050笔 1802751.20元
不计收支：1949笔 4511288.15元

特别提示：
1.本回单内容可表明支付宝受理了相应支付交易申请，因系统原因或通讯故障等偶发因素导致本回单与实际交易结果不符时，以实际交易情况为准；
2.请勿将本回单作为收款方发货的凭据使用，请查证账户实际到账情况后再进行发货操作；
3.支付宝快捷支付等非余额支付方式可能既产生支付宝交易也同步产生银行交易，因此请勿使用本回单进行重复记账；
4.本回单如经任何涂改、编造，均立即失去效力；
5.部分账单如：充值提现、账户转存或者个人设置收支等不计入为收入或者支出，记为不计收支类；
6.因统计逻辑不同，明细金额直接累加后，可能会和下方统计金额不一致，请以实际交易金额为准；
7.禁止将本回单用于非法用途；
8.本明细仅供个人对账使用。

------------------------支付宝支付科技有限公司  电子客户回单------------------------
交易时间,交易分类,交易对方,对方账号,商品说明,收/支,金额,收/付款方式,交易状态,交易订单号,商家订单号,备注,
2026-06-03 14:36:05,投资理财,蚂蚁财富-蚂蚁（杭州）基金销售有限公司,/,蚂蚁财富-博时恒生科技ETF联接(QDII)A-买入,不计收支,300.00,余额宝,付款成功，基金份额确认中,20260603001080012204270049579908	,	,,
2026-06-03 14:35:44,投资理财,蚂蚁财富-蚂蚁（杭州）基金销售有限公司,/,蚂蚁财富-天弘中证农业主题ETF联接C-买入,不计收支,200.00,余额宝,付款成功，基金份额确认中,20260603001080012204270049566366	,	,,
2026-06-03 14:35:16,投资理财,蚂蚁财富-蚂蚁（杭州）基金销售有限公司,/,蚂蚁财富-国泰黄金ETF联接A-买入,不计收支,1500.00,余额宝,付款成功，基金份额确认中,20260603001080012204270049633143	,	,,
2026-06-03 14:34:53,投资理财,蚂蚁财富-蚂蚁（杭州）基金销售有限公司,/,蚂蚁财富-博时中证银行ETF联接(LOF)A-买入,不计收支,500.00,余额宝,付款成功，基金份额确认中,20260603001080012204270049610335	,	,,
2026-06-03 14:33:48,投资理财,蚂蚁财富-蚂蚁（杭州）基金销售有限公司,/,蚂蚁财富-博时中证机器人指数A-买入,不计收支,500.00,余额宝,付款成功，基金份额确认中,20260603001080012204270049584406	,	,,
2026-06-03 14:12:15,投资理财,蚂蚁财富-蚂蚁（杭州）基金销售有限公司,/,蚂蚁财富-摩根标普500指数(QDII)C-买入,不计收支,100.00,余额宝,付款成功，基金份额确认中,20260603001080012204270049427777	,	,,
2026-06-03 14:11:15,投资理财,蚂蚁财富-蚂蚁（杭州）基金销售有限公司,/,蚂蚁财富-摩根标普500指数(QDII)A-买入,不计收支,100.00,余额宝,付款成功，基金份额确认中,20260603001080012204270049411538	,	,,
2026-06-03 11:48:23,投资理财,蚂蚁财富-蚂蚁（杭州）基金销售有限公司,/,蚂蚁财富-华安纳斯达克100ETF联接(QDII)C-买入,不计收支,10.00,余额宝,付款成功，基金份额确认中,20260603001080012204270049040588	,	,,
2026-06-03 11:48:20,投资理财,蚂蚁财富-蚂蚁（杭州）基金销售有限公司,/,蚂蚁财富-华安纳斯达克100ETF联接(QDII)A-买入,不计收支,10.00,余额宝,付款成功，基金份额确认中,20260603001080012204270049070982	,	,,
2026-06-03 11:41:45,投资理财,蚂蚁财富-蚂蚁（杭州）基金销售有限公司,/,蚂蚁财富-南方纳斯达克100指数(QDII)A-买入,不计收支,200.00,余额宝,付款成功，基金份额确认中,20260603001080012204270049060362	,	,,
