source_family,source_id,source_title,source_status,disposition,disposition_reason,current_evidence,v1_2_task_ids,v1_2_acceptance_ids,source_ref
V0_1_TASK,ADP-S0-P01-T001,冻结 Owner 最新指令与权威顺序,NOT_STARTED_DEAD_CONFIG_PRESERVED,SUPERSEDED_WITH_REASON,旧任务是 v0.1 包装/治理实施步骤；由 v1.2 七角色合同、追溯和 verifier 双摘要替代。,arxiv-daily-push/docs/pursuing_goal/v1_2/README.md,ADP-V12-S0-T001,ACC-V12-S0-001;ACC-V12-S0-003,INPUT-V01!ADP_V0.1_FINAL_EXECUTION_TASK_PACKAGE_2026-07-15/06_TASK_INDEX.csv#task_id=ADP-S0-P01-T001
V0_1_TASK,ADP-S0-P01-T002,归档旧方向并建立冲突账本,NOT_STARTED_DEAD_CONFIG_PRESERVED,SUPERSEDED_WITH_REASON,旧任务是 v0.1 包装/治理实施步骤；由 v1.2 七角色合同、追溯和 verifier 双摘要替代。,arxiv-daily-push/docs/pursuing_goal/v1_2/README.md,ADP-V12-S0-T001,ACC-V12-S0-001;ACC-V12-S0-003,INPUT-V01!ADP_V0.1_FINAL_EXECUTION_TASK_PACKAGE_2026-07-15/06_TASK_INDEX.csv#task_id=ADP-S0-P01-T002
V0_1_TASK,ADP-S0-P01-T003,落库一句话 Pursuing Goal 与机器合同,NOT_STARTED_DEAD_CONFIG_PRESERVED,SUPERSEDED_WITH_REASON,旧任务是 v0.1 包装/治理实施步骤；由 v1.2 七角色合同、追溯和 verifier 双摘要替代。,arxiv-daily-push/docs/pursuing_goal/v1_2/README.md,ADP-V12-S0-T001,ACC-V12-S0-001;ACC-V12-S0-003,INPUT-V01!ADP_V0.1_FINAL_EXECUTION_TASK_PACKAGE_2026-07-15/06_TASK_INDEX.csv#task_id=ADP-S0-P01-T003
V0_1_TASK,ADP-S0-P02-T004,采集两个线上域名与核心路由基线,NOT_STARTED_DEAD_CONFIG_PRESERVED,INHERITED_PROVEN,迁移闭合验收已证明当前仓位、live/build、治理或机器事实；v1.2 只做回归保护。,arxiv-daily-push/docs/HANDOFF.md;arxiv-daily-push/docs/archive/taskpacks/2026-07-20/ADP_META_MIGRATION_e1af471c_2026-07-20_acceptance_review_taskpack.zip,ADP-V12-S0-T001;ADP-V12-S6-T001,ACC-V12-S0-004;ACC-V12-S6-001,INPUT-V01!ADP_V0.1_FINAL_EXECUTION_TASK_PACKAGE_2026-07-15/06_TASK_INDEX.csv#task_id=ADP-S0-P02-T004
V0_1_TASK,ADP-S0-P02-T005,采集 Git、配置和文档事实,NOT_STARTED_DEAD_CONFIG_PRESERVED,INHERITED_PROVEN,迁移闭合验收已证明当前仓位、live/build、治理或机器事实；v1.2 只做回归保护。,arxiv-daily-push/docs/HANDOFF.md;arxiv-daily-push/docs/archive/taskpacks/2026-07-20/ADP_META_MIGRATION_e1af471c_2026-07-20_acceptance_review_taskpack.zip,ADP-V12-S0-T001;ADP-V12-S6-T001,ACC-V12-S0-004;ACC-V12-S6-001,INPUT-V01!ADP_V0.1_FINAL_EXECUTION_TASK_PACKAGE_2026-07-15/06_TASK_INDEX.csv#task_id=ADP-S0-P02-T005
V0_1_TASK,ADP-S0-P02-T006,采集 Cloudflare/D1/R2/Cron/费用私有基线,NOT_STARTED_DEAD_CONFIG_PRESERVED,INHERITED_PROVEN,迁移闭合验收已证明当前仓位、live/build、治理或机器事实；v1.2 只做回归保护。,arxiv-daily-push/docs/HANDOFF.md;arxiv-daily-push/docs/archive/taskpacks/2026-07-20/ADP_META_MIGRATION_e1af471c_2026-07-20_acceptance_review_taskpack.zip,ADP-V12-S0-T001;ADP-V12-S6-T001,ACC-V12-S0-004;ACC-V12-S6-001,INPUT-V01!ADP_V0.1_FINAL_EXECUTION_TASK_PACKAGE_2026-07-15/06_TASK_INDEX.csv#task_id=ADP-S0-P02-T006
V0_1_TASK,ADP-S0-P02-T007,生成 Verified/Unknown/Assumption Drift Report,NOT_STARTED_DEAD_CONFIG_PRESERVED,INHERITED_PROVEN,迁移闭合验收已证明当前仓位、live/build、治理或机器事实；v1.2 只做回归保护。,arxiv-daily-push/docs/HANDOFF.md;arxiv-daily-push/docs/archive/taskpacks/2026-07-20/ADP_META_MIGRATION_e1af471c_2026-07-20_acceptance_review_taskpack.zip,ADP-V12-S0-T001;ADP-V12-S6-T001,ACC-V12-S0-004;ACC-V12-S6-001,INPUT-V01!ADP_V0.1_FINAL_EXECUTION_TASK_PACKAGE_2026-07-15/06_TASK_INDEX.csv#task_id=ADP-S0-P02-T007
V0_1_TASK,ADP-S0-P03-T008,安装小任务证据、验证和独立复核框架,NOT_STARTED_DEAD_CONFIG_PRESERVED,SUPERSEDED_WITH_REASON,旧任务是 v0.1 包装/治理实施步骤；由 v1.2 七角色合同、追溯和 verifier 双摘要替代。,arxiv-daily-push/docs/pursuing_goal/v1_2/README.md,ADP-V12-S0-T001,ACC-V12-S0-001;ACC-V12-S0-003,INPUT-V01!ADP_V0.1_FINAL_EXECUTION_TASK_PACKAGE_2026-07-15/06_TASK_INDEX.csv#task_id=ADP-S0-P03-T008
V0_1_TASK,ADP-S1-P01-T009,实现 Deployment Manifest Schema,NOT_STARTED_DEAD_CONFIG_PRESERVED,INHERITED_PROVEN,迁移闭合验收已证明当前仓位、live/build、治理或机器事实；v1.2 只做回归保护。,arxiv-daily-push/docs/HANDOFF.md;arxiv-daily-push/docs/archive/taskpacks/2026-07-20/ADP_META_MIGRATION_e1af471c_2026-07-20_acceptance_review_taskpack.zip,ADP-V12-S0-T001;ADP-V12-S6-T001,ACC-V12-S0-004;ACC-V12-S6-001,INPUT-V01!ADP_V0.1_FINAL_EXECUTION_TASK_PACKAGE_2026-07-15/06_TASK_INDEX.csv#task_id=ADP-S1-P01-T009
V0_1_TASK,ADP-S1-P01-T010,发布只读 Build Endpoint 与低干扰版本标识,NOT_STARTED_DEAD_CONFIG_PRESERVED,INHERITED_PROVEN,迁移闭合验收已证明当前仓位、live/build、治理或机器事实；v1.2 只做回归保护。,arxiv-daily-push/docs/HANDOFF.md;arxiv-daily-push/docs/archive/taskpacks/2026-07-20/ADP_META_MIGRATION_e1af471c_2026-07-20_acceptance_review_taskpack.zip,ADP-V12-S0-T001;ADP-V12-S6-T001,ACC-V12-S0-004;ACC-V12-S6-001,INPUT-V01!ADP_V0.1_FINAL_EXECUTION_TASK_PACKAGE_2026-07-15/06_TASK_INDEX.csv#task_id=ADP-S1-P01-T010
