legacy_location,legacy_id,registry_source_id,board,authority_kind,official_evidence,note
worker_cloud.js:REGISTRY,arxiv-all,arxiv-all,board1,preprint,True,1:1 id-preserving; worker REGISTRY is the live source-of-truth
worker_cloud.js:REGISTRY,biorxiv,biorxiv,board1,preprint,True,1:1 id-preserving; worker REGISTRY is the live source-of-truth
worker_cloud.js:REGISTRY,medrxiv,medrxiv,board1,preprint,True,1:1 id-preserving; worker REGISTRY is the live source-of-truth
worker_cloud.js:REGISTRY,nature,nature,board2,journal,True,1:1 id-preserving; worker REGISTRY is the live source-of-truth
worker_cloud.js:REGISTRY,nature-medicine,nature-medicine,board2,journal,True,1:1 id-preserving; worker REGISTRY is the live source-of-truth
worker_cloud.js:REGISTRY,nature-biotech,nature-biotech,board2,journal,True,1:1 id-preserving; worker REGISTRY is the live source-of-truth
worker_cloud.js:REGISTRY,nature-machine-intel,nature-machine-intel,board2,journal,True,1:1 id-preserving; worker REGISTRY is the live source-of-truth
worker_cloud.js:REGISTRY,nature-comms,nature-comms,board2,journal,True,1:1 id-preserving; worker REGISTRY is the live source-of-truth
worker_cloud.js:REGISTRY,science-advances,science-advances,board2,journal,True,1:1 id-preserving; worker REGISTRY is the live source-of-truth
worker_cloud.js:REGISTRY,science-news,science-news,board2,journal,True,1:1 id-preserving; worker REGISTRY is the live source-of-truth
worker_cloud.js:REGISTRY,cell,cell,board2,journal,True,1:1 id-preserving; worker REGISTRY is the live source-of-truth
worker_cloud.js:REGISTRY,cell-neuron,cell-neuron,board2,journal,True,1:1 id-preserving; worker REGISTRY is the live source-of-truth
worker_cloud.js:REGISTRY,pnas,pnas,board2,journal,True,1:1 id-preserving; worker REGISTRY is the live source-of-truth
worker_cloud.js:REGISTRY,lancet,lancet,board2,journal,True,1:1 id-preserving; worker REGISTRY is the live source-of-truth
worker_cloud.js:REGISTRY,nejm,nejm,board2,journal,True,1:1 id-preserving; worker REGISTRY is the live source-of-truth
worker_cloud.js:REGISTRY,jama,jama,board2,journal,True,1:1 id-preserving; worker REGISTRY is the live source-of-truth
worker_cloud.js:REGISTRY,bmj,bmj,board2,journal,True,1:1 id-preserving; worker REGISTRY is the live source-of-truth
worker_cloud.js:REGISTRY,plos-biology,plos-biology,board2,journal,True,1:1 id-preserving; worker REGISTRY is the live source-of-truth
worker_cloud.js:REGISTRY,elife,elife,board2,journal,True,1:1 id-preserving; worker REGISTRY is the live source-of-truth
worker_cloud.js:REGISTRY,ieee-spectrum,ieee-spectrum,board2,journal,True,1:1 id-preserving; worker REGISTRY is the live source-of-truth
worker_cloud.js:REGISTRY,people-politics,people-politics,board3,media,False,1:1 id-preserving; worker REGISTRY is the live source-of-truth
worker_cloud.js:REGISTRY,people-finance,people-finance,board3,media,False,1:1 id-preserving; worker REGISTRY is the live source-of-truth
worker_cloud.js:REGISTRY,chinanews-scroll,chinanews-scroll,board3,media,False,1:1 id-preserving; worker REGISTRY is the live source-of-truth
worker_cloud.js:REGISTRY,sina-china-focus,sina-china-focus,board3,media,False,1:1 id-preserving; worker REGISTRY is the live source-of-truth
worker_cloud.js:REGISTRY,fed-press,fed-press,board4,intl_official,True,1:1 id-preserving; worker REGISTRY is the live source-of-truth
worker_cloud.js:REGISTRY,fed-monetary,fed-monetary,board4,intl_official,True,1:1 id-preserving; worker REGISTRY is the live source-of-truth
worker_cloud.js:REGISTRY,fed-speeches,fed-speeches,board4,intl_official,True,1:1 id-preserving; worker REGISTRY is the live source-of-truth
worker_cloud.js:REGISTRY,sec-press,sec-press,board4,intl_official,True,1:1 id-preserving; worker REGISTRY is the live source-of-truth
worker_cloud.js:REGISTRY,sec-speeches,sec-speeches,board4,intl_official,True,1:1 id-preserving; worker REGISTRY is the live source-of-truth
worker_cloud.js:REGISTRY,ftc-press,ftc-press,board4,intl_official,True,1:1 id-preserving; worker REGISTRY is the live source-of-truth
worker_cloud.js:REGISTRY,nist-news,nist-news,board4,intl_official,True,1:1 id-preserving; worker REGISTRY is the live source-of-truth
worker_cloud.js:REGISTRY,whitehouse-actions,whitehouse-actions,board4,intl_official,True,1:1 id-preserving; worker REGISTRY is the live source-of-truth
worker_cloud.js:REGISTRY,gnews-us-tech,gnews-us-tech,board4,aggregator,False,1:1 id-preserving; worker REGISTRY is the live source-of-truth
