temporary_asset_code,asset_name,production_asset_code_to_confirm,fund_company_hint,special_rule_required,required_rule_fields,source_priority,preferred_sources,default_rule_assumption,alipay_query,official_query,source_evidence_to_attach,prior_as_of,prior_source_file
ALIPAY_NAME_博时标普500ETF联接_QDII_A,博时标普500ETF联接(QDII)A,REPLACE_WITH_OFFICIAL_FUND_CODE_OR_PLATFORM_ID,博时,true,subscription_status; redemption_status; cutoff_time; confirm_lag; redeem_lag; subscription_fee; redemption_fee; management_fee; custody_fee; sales_service_fee; min_purchase_amount; source_url; as_of,moomoo > alipay > official_platform > trade_snapshot > public_aggregation,Alipay fund rule/detail page; fund-company official page/prospectus/announcement,"Do not assume production rules from the generic 15:00/T+1 note; confirm the current product page. QDII/HK/global/special funds may have different confirmation, redemption, and holiday calendars.",博时标普500ETF联接(QDII)A 支付宝 基金 申购 赎回 费率 交易规则,博时标普500ETF联接(QDII)A 基金公司 申购赎回 费率 招募说明书,REPLACE_WITH_ALIPAY_OR_FUND_COMPANY_RULE_EVIDENCE,2026-06-05,external:ScreenRecording_06-05-2026 12-38-58_1.MP4
ALIPAY_NAME_南方纳斯达克100指数_QDII_C,南方纳斯达克100指数(QDII)C,REPLACE_WITH_OFFICIAL_FUND_CODE_OR_PLATFORM_ID,南方,true,subscription_status; redemption_status; cutoff_time; confirm_lag; redeem_lag; subscription_fee; redemption_fee; management_fee; custody_fee; sales_service_fee; min_purchase_amount; source_url; as_of,moomoo > alipay > official_platform > trade_snapshot > public_aggregation,Alipay fund rule/detail page; fund-company official page/prospectus/announcement,"Do not assume production rules from the generic 15:00/T+1 note; confirm the current product page. QDII/HK/global/special funds may have different confirmation, redemption, and holiday calendars.",南方纳斯达克100指数(QDII)C 支付宝 基金 申购 赎回 费率 交易规则,南方纳斯达克100指数(QDII)C 基金公司 申购赎回 费率 招募说明书,REPLACE_WITH_ALIPAY_OR_FUND_COMPANY_RULE_EVIDENCE,2026-06-05,external:ScreenRecording_06-05-2026 12-38-58_1.MP4
ALIPAY_NAME_易方达全球成长精选混合_QDII_C,易方达全球成长精选混合(QDII)C,REPLACE_WITH_OFFICIAL_FUND_CODE_OR_PLATFORM_ID,易方达,true,subscription_status; redemption_status; cutoff_time; confirm_lag; redeem_lag; subscription_fee; redemption_fee; management_fee; custody_fee; sales_service_fee; min_purchase_amount; source_url; as_of,moomoo > alipay > official_platform > trade_snapshot > public_aggregation,Alipay fund rule/detail page; fund-company official page/prospectus/announcement,"Do not assume production rules from the generic 15:00/T+1 note; confirm the current product page. QDII/HK/global/special funds may have different confirmation, redemption, and holiday calendars.",易方达全球成长精选混合(QDII)C 支付宝 基金 申购 赎回 费率 交易规则,易方达全球成长精选混合(QDII)C 基金公司 申购赎回 费率 招募说明书,REPLACE_WITH_ALIPAY_OR_FUND_COMPANY_RULE_EVIDENCE,2026-06-05,external:ScreenRecording_06-05-2026 12-38-58_1.MP4
ALIPAY_NAME_易方达全球成长精选混合_QDII_A,易方达全球成长精选混合(QDII)A,REPLACE_WITH_OFFICIAL_FUND_CODE_OR_PLATFORM_ID,易方达,true,subscription_status; redemption_status; cutoff_time; confirm_lag; redeem_lag; subscription_fee; redemption_fee; management_fee; custody_fee; sales_service_fee; min_purchase_amount; source_url; as_of,moomoo > alipay > official_platform > trade_snapshot > public_aggregation,Alipay fund rule/detail page; fund-company official page/prospectus/announcement,"Do not assume production rules from the generic 15:00/T+1 note; confirm the current product page. QDII/HK/global/special funds may have different confirmation, redemption, and holiday calendars.",易方达全球成长精选混合(QDII)A 支付宝 基金 申购 赎回 费率 交易规则,易方达全球成长精选混合(QDII)A 基金公司 申购赎回 费率 招募说明书,REPLACE_WITH_ALIPAY_OR_FUND_COMPANY_RULE_EVIDENCE,2026-06-05,external:ScreenRecording_06-05-2026 12-38-58_1.MP4
ALIPAY_NAME_前海开源沪港深核心资源灵活配置混合C,前海开源沪港深核心资源灵活配置混合C,REPLACE_WITH_OFFICIAL_FUND_CODE_OR_PLATFORM_ID,前海开源,true,subscription_status; redemption_status; cutoff_time; confirm_lag; redeem_lag; subscription_fee; redemption_fee; management_fee; custody_fee; sales_service_fee; min_purchase_amount; source_url; as_of,moomoo > alipay > official_platform > trade_snapshot > public_aggregation,Alipay fund rule/detail page; fund-company official page/prospectus/announcement,"Do not assume production rules from the generic 15:00/T+1 note; confirm the current product page. QDII/HK/global/special funds may have different confirmation, redemption, and holiday calendars.",前海开源沪港深核心资源灵活配置混合C 支付宝 基金 申购 赎回 费率 交易规则,前海开源沪港深核心资源灵活配置混合C 基金公司 申购赎回 费率 招募说明书,REPLACE_WITH_ALIPAY_OR_FUND_COMPANY_RULE_EVIDENCE,2026-06-05,external:ScreenRecording_06-05-2026 12-38-58_1.MP4
ALIPAY_NAME_华夏国证半导体芯片ETF联接A,华夏国证半导体芯片ETF联接A,REPLACE_WITH_OFFICIAL_FUND_CODE_OR_PLATFORM_ID,华夏,false,subscription_status; redemption_status; cutoff_time; confirm_lag; redeem_lag; subscription_fee; redemption_fee; management_fee; custody_fee; sales_service_fee; min_purchase_amount; source_url; as_of,moomoo > alipay > official_platform > trade_snapshot > public_aggregation,Alipay fund rule/detail page; fund-company official page/prospectus/announcement,"Do not assume production rules from the generic 15:00/T+1 note; confirm the current product page. QDII/HK/global/special funds may have different confirmation, redemption, and holiday calendars.",华夏国证半导体芯片ETF联接A 支付宝 基金 申购 赎回 费率 交易规则,华夏国证半导体芯片ETF联接A 基金公司 申购赎回 费率 招募说明书,REPLACE_WITH_ALIPAY_OR_FUND_COMPANY_RULE_EVIDENCE,2026-06-05,external:ScreenRecording_06-05-2026 12-38-58_1.MP4
ALIPAY_NAME_易方达人工智能ETF联接A,易方达人工智能ETF联接A,REPLACE_WITH_OFFICIAL_FUND_CODE_OR_PLATFORM_ID,易方达,false,subscription_status; redemption_status; cutoff_time; confirm_lag; redeem_lag; subscription_fee; redemption_fee; management_fee; custody_fee; sales_service_fee; min_purchase_amount; source_url; as_of,moomoo > alipay > official_platform > trade_snapshot > public_aggregation,Alipay fund rule/detail page; fund-company official page/prospectus/announcement,"Do not assume production rules from the generic 15:00/T+1 note; confirm the current product page. QDII/HK/global/special funds may have different confirmation, redemption, and holiday calendars.",易方达人工智能ETF联接A 支付宝 基金 申购 赎回 费率 交易规则,易方达人工智能ETF联接A 基金公司 申购赎回 费率 招募说明书,REPLACE_WITH_ALIPAY_OR_FUND_COMPANY_RULE_EVIDENCE,2026-06-05,external:ScreenRecording_06-05-2026 12-38-58_1.MP4
ALIPAY_NAME_中金中证500指数增强A,中金中证500指数增强A,REPLACE_WITH_OFFICIAL_FUND_CODE_OR_PLATFORM_ID,中金,false,subscription_status; redemption_status; cutoff_time; confirm_lag; redeem_lag; subscription_fee; redemption_fee; management_fee; custody_fee; sales_service_fee; min_purchase_amount; source_url; as_of,moomoo > alipay > official_platform > trade_snapshot > public_aggregation,Alipay fund rule/detail page; fund-company official page/prospectus/announcement,"Do not assume production rules from the generic 15:00/T+1 note; confirm the current product page. QDII/HK/global/special funds may have different confirmation, redemption, and holiday calendars.",中金中证500指数增强A 支付宝 基金 申购 赎回 费率 交易规则,中金中证500指数增强A 基金公司 申购赎回 费率 招募说明书,REPLACE_WITH_ALIPAY_OR_FUND_COMPANY_RULE_EVIDENCE,2026-06-05,external:ScreenRecording_06-05-2026 12-38-58_1.MP4
ALIPAY_NAME_摩根标普500指数_QDII_C,摩根标普500指数(QDII)C,REPLACE_WITH_OFFICIAL_FUND_CODE_OR_PLATFORM_ID,摩根,true,subscription_status; redemption_status; cutoff_time; confirm_lag; redeem_lag; subscription_fee; redemption_fee; management_fee; custody_fee; sales_service_fee; min_purchase_amount; source_url; as_of,moomoo > alipay > official_platform > trade_snapshot > public_aggregation,Alipay fund rule/detail page; fund-company official page/prospectus/announcement,"Do not assume production rules from the generic 15:00/T+1 note; confirm the current product page. QDII/HK/global/special funds may have different confirmation, redemption, and holiday calendars.",摩根标普500指数(QDII)C 支付宝 基金 申购 赎回 费率 交易规则,摩根标普500指数(QDII)C 基金公司 申购赎回 费率 招募说明书,REPLACE_WITH_ALIPAY_OR_FUND_COMPANY_RULE_EVIDENCE,2026-06-05,external:ScreenRecording_06-05-2026 12-38-58_1.MP4
ALIPAY_NAME_摩根标普500指数_QDII_A,摩根标普500指数(QDII)A,REPLACE_WITH_OFFICIAL_FUND_CODE_OR_PLATFORM_ID,摩根,true,subscription_status; redemption_status; cutoff_time; confirm_lag; redeem_lag; subscription_fee; redemption_fee; management_fee; custody_fee; sales_service_fee; min_purchase_amount; source_url; as_of,moomoo > alipay > official_platform > trade_snapshot > public_aggregation,Alipay fund rule/detail page; fund-company official page/prospectus/announcement,"Do not assume production rules from the generic 15:00/T+1 note; confirm the current product page. QDII/HK/global/special funds may have different confirmation, redemption, and holiday calendars.",摩根标普500指数(QDII)A 支付宝 基金 申购 赎回 费率 交易规则,摩根标普500指数(QDII)A 基金公司 申购赎回 费率 招募说明书,REPLACE_WITH_ALIPAY_OR_FUND_COMPANY_RULE_EVIDENCE,2026-06-05,external:ScreenRecording_06-05-2026 12-38-58_1.MP4
