requirement_id,model_id,assumption_id,formula_id,parameter_id,task_id,acceptance_id,code_ref,config_ref,test_ref,evidence_ref,status
REQ-PFI-001,MOD-001,ASM-001;ASM-002;ASM-003,FORM-001,PARAM-001..PARAM-036,TASK-PFI-B-001,ACC-PFI-B-001,QBVS/qbvs/strategies.py:13,NOT_APPLICABLE,QBVS/tests/test_core.py:61,QBVS/docs/governance/MODEL_SPEC.md,active
REQ-PFI-002,MOD-002,ASM-002;ASM-003,FORM-002,PARAM-037..PARAM-045,TASK-PFI-B-001,ACC-PFI-B-001,QBVS/qbvs/indicators.py:6,NOT_APPLICABLE,QBVS/tests/test_core.py:65,QBVS/docs/governance/MODEL_SPEC.md,active
REQ-PFI-003,MOD-003,ASM-001;ASM-002,FORM-003,PARAM-046..PARAM-066,TASK-PFI-B-002,ACC-PFI-B-002,QBVS/qbvs/backtest.py:11,NOT_APPLICABLE,QBVS/tests/test_core.py:65,QBVS/docs/governance/MODEL_SPEC.md,active
REQ-PFI-004,MOD-004,ASM-001;ASM-004,FORM-004,PARAM-067..PARAM-069,TASK-PFI-B-002,ACC-PFI-B-002,QBVS/qbvs/backtest.py:122,NOT_APPLICABLE,QBVS/tests/test_core.py:76,QBVS/docs/governance/MODEL_SPEC.md,active
REQ-PFI-005,MOD-005,ASM-002;ASM-004,FORM-005,PARAM-070..PARAM-105,TASK-PFI-B-003,ACC-PFI-B-003,QBVS/qbvs/simulation.py:10,NOT_APPLICABLE,QBVS/tests/test_core.py:76,QBVS/docs/governance/MODEL_SPEC.md,active
REQ-PFI-006,MOD-006,ASM-001;ASM-002;ASM-004,FORM-006,PARAM-056..PARAM-110,TASK-PFI-B-002,ACC-PFI-B-002,QBVS/qbvs/validation.py:33,NOT_APPLICABLE,QBVS/tests/test_core.py:84,QBVS/docs/governance/MODEL_SPEC.md,active
REQ-PFI-007,MOD-007,ASM-001;ASM-002;ASM-005,FORM-007,PARAM-051..PARAM-113,TASK-PFI-B-004,ACC-PFI-B-004,QBVS/qbvs/fast.py:14,NOT_APPLICABLE,QBVS/tests/test_core.py:359,QBVS/docs/governance/MODEL_SPEC.md,active
REQ-PFI-008,MOD-008,ASM-002;ASM-006,FORM-008,PARAM-114..PARAM-133,TASK-PFI-B-005,ACC-PFI-B-005,QBVS/qbvs/quality.py:12,NOT_APPLICABLE,QBVS/tests/test_core.py:219,QBVS/docs/governance/MODEL_SPEC.md,active
REQ-PFI-009,MOD-009,ASM-001;ASM-002,FORM-009,PARAM-134..PARAM-142,TASK-PFI-B-005,ACC-PFI-B-005,QBVS/qbvs/tasks.py:18,NOT_APPLICABLE,QBVS/tests/test_core.py:95,QBVS/docs/governance/MODEL_SPEC.md,active
REQ-PFI-010,MOD-010,ASM-001;ASM-004,FORM-010,PARAM-143..PARAM-157,TASK-PFI-B-006,ACC-PFI-B-006,QBVS/qbvs/campaign.py:18,NOT_APPLICABLE,QBVS/tests/test_core.py:219,QBVS/docs/governance/MODEL_SPEC.md,active
REQ-PFI-011,MOD-011,ASM-001;ASM-004,FORM-011,PARAM-158..PARAM-167,TASK-PFI-B-006,ACC-PFI-B-006,QBVS/qbvs/finalists.py:13,NOT_APPLICABLE,QBVS/tests/test_core.py:912,QBVS/docs/governance/MODEL_SPEC.md,active
REQ-PFI-012,MOD-012,ASM-001;ASM-002,FORM-012,PARAM-168..PARAM-181,TASK-PFI-B-007,ACC-PFI-B-007,QBVS/qbvs/datasources.py:63,QBVS/config/alipay_fund_rule_template.json,QBVS/tests/test_core.py:572,QBVS/docs/governance/MODEL_SPEC.md,active
REQ-PFI-013,MOD-013,ASM-001;ASM-005,FORM-013,PARAM-182..PARAM-190,TASK-PFI-B-008,ACC-PFI-B-008,QBVS/qbvs/quantlab_bundle.py:19,NOT_APPLICABLE,QBVS/tests/test_core.py:307,QBVS/docs/governance/MODEL_SPEC.md,active
REQ-PFI-014,MOD-014,ASM-001;ASM-004;ASM-007,FORM-014,PARAM-191..PARAM-200,TASK-PFI-B-009,ACC-PFI-B-009,QBVS/qbvs/goal_audit.py:17,NOT_APPLICABLE,QBVS/tests/test_core.py:701,QBVS/docs/governance/MODEL_SPEC.md,active
REQ-PFI-015,MOD-015,ASM-001;ASM-006;ASM-007,FORM-015,PARAM-201..PARAM-213,TASK-PFI-B-010,ACC-PFI-B-010,QBVS/qbvs/universe_seed.py:13,NOT_APPLICABLE,QBVS/tests/test_core.py:504,QBVS/docs/governance/MODEL_SPEC.md,active
REQ-PFI-LIFECYCLE-001,MOD-009,ASM-001;ASM-002,FORM-009,NOT_APPLICABLE,S3PCT02,ACC-S3PCT02,QBVS/qbvs/tasks.py;QBVS/qbvs/warehouse.py;QBVS/qbvs/batch.py,QBVS/qbvs/cli.py,QBVS/tests/test_s3pct02_lifecycle.py,governance/stage_gates/s3pc/pfi_lifecycle_matrix.csv;governance/stage_gates/s3pc/pfi_process_cleanup.log;governance/stage_gates/s3pc/pfi_persistence_recovery.log,active
