conflict_id,topic,source_material,old_conclusion,new_ruling,ruling_status,reason,authority_ref,as_of
CL-001,认证/多租户/企业后台,"旧线程 ADP_HANDOFF_SINGLE_PACKAGE_V7 / adp_new_thread_handoff_v0_1","先做登录认证、多租户与企业后台再谈内容","保留历史细节但不进入本轮 Roadmap","本轮只解内容质量与事实漂移，公开入口安全/多租户不在范围",DIR-001,2026-07-16
CL-002,TAM/定价/商业套餐,"ADP_V0.1_CHINA_OFFICIAL_SOURCE_AND_COMMERCIALIZATION_ADDENDUM","以 TAM/定价/套餐分层驱动优先级","从本轮收益成本分析中删除；不作为 ROI 输入","收益成本用真实运行成本量化，不用商业化 TAM 代替",DIR-001+DIR-005,2026-07-16
CL-003,替代式 UI 原型,"ADP_V0.1_Unified_PRD_Rebuild / Frontier_Learning_OS_FINAL_HANDOFF","用新 UI 原型/导航重做替换现有视觉","全部废弃；只保留已上线六主题与高级动效","六主题与 hero 视频/仪表盘/氛围层/自愈是不可破坏基线",DIR-003,2026-07-16
CL-004,中国来源层级体系,"旧来源体系 A0–A4/B/C/D 或 T0–T5","建立多级来源体系并全部纳入 Registry","中国只保留 A0/A1/A2；媒体与搜索在 Registry 外仅作 discovery","覆盖国家中央/省级/重点城市/重要区，收敛权威源",DIR-002,2026-07-16
CL-005,171 源立即全接入,"21_SOURCE_ARCHIVE_INDEX / PRD 源清单","立即接入全部 171 个中国来源","仅为候选 Seed，按 A0→A1→A2 小 cohort 晋级","一次性接 171 源属 big-bang，违反反黑洞纪律",09_ANTI_BLACK_HOLE+S4,2026-07-16
CL-006,D1 保存所有原文,"上一版架构包","D1 数据库直接保存全部文档原文","D1 只存热元数据；原始对象与历史入 R2","分层存储控制 D1 体积与查询延迟和成本",04_PRODUCT_CONTRACT,2026-07-16
CL-007,20TB/10M文档/30M版本立即建设,"容量架构压测包","立即按 20TB/10M/30M 采购并建设","视为容量压测包络，非当前需求；按真实增长逐步扩展","10M/30M/20TB 是压测包络不是采购指令",FACT-016,2026-07-16
CL-008,Workflows 强制编排,"编排方案","必须以 Cloudflare Workflows 作强制依赖","降级为候选；先与 Cron+Queues 基准比较，注意 2026-08-10 后步骤计费","不默认引入新编排框架，先证明必要性与成本",09_ANTI_BLACK_HOLE,2026-07-16
CL-009,向量数据库先上,"检索方案","先上向量检索作为核心检索","延后；精确/结构化/FTS 检索不足后再基准评估","避免过早引入向量库带来的成本与复杂度",09_ANTI_BLACK_HOLE,2026-07-16
CL-010,竞品都有我也有,"竞品对齐材料","复制竞品全部入口/页面/复杂度","对齐等价或更好的用户收益，映射到少量核心对象","按收益缺口优先级，不复制入口与复杂度",02_CANONICAL_SCOPE,2026-07-16
CL-011,最终交付=已开发完成,"交接包命名语义","'最终交付/最终包'即代表产品已开发完成","本包是最终执行基线；产品完成须通过 S8 验收","stage gates 不等于 production acceptance",01_FINAL_READINESS,2026-07-16
CL-012,顺带处理范围外安全/入口,"15_CURRENT_WEB_AUDIT_REFERENCES 旧审计","顺带修复公开入口安全/认证等问题1/4","显式禁止范围外扩张；登记为 OUT_OF_SCOPE","任务合同禁止顺带重构与范围外安全/多租户/计费",DIR-001+任务禁止事项,2026-07-16
CL-013,高级动效与性能取舍,"性能担忧材料","动效损害性能，应削减或移除动效","不冲突；保留视觉语义，通过离屏暂停/懒加载/自适应优化","保留 DIR-003 视觉基线同时满足性能门",DIR-003+S7,2026-07-16
CL-014,A3+ 来源纳入,"扩展来源提案","本轮纳入 A3 及以上层级来源","OUT_OF_SCOPE 本轮；仅 A0/A1/A2","来源层级收敛于 A0-A2，A3+ 留作后续",DIR-002+CURRENT_SCOPE,2026-07-16
