capital_object_id,family,name_zh,slug,amount_semantics,aggregation_rule,evidence_required
CAP-001,equity,普通股/普通权益,common_equity,economic_and_voting,only_same_semantics_currency_period,yes
CAP-002,equity,优先股,preferred_equity,economic_and_special_rights,only_same_semantics_currency_period,yes
CAP-003,equity,期权/限制性股票,options_awards,dilution_and_incentive,only_same_semantics_currency_period,yes
CAP-004,equity,认股权证,warrant,future_equity_right,only_same_semantics_currency_period,yes
CAP-005,equity,SAFE/可转换权益,safe_convertible_equity,future_conversion,only_same_semantics_currency_period,yes
CAP-006,debt,公司债券,bond,principal_interest_maturity,only_same_semantics_currency_period,yes
CAP-007,debt,可转换债券,convertible_note,debt_plus_conversion,only_same_semantics_currency_period,yes
CAP-008,debt,银行贷款/信贷额度,loan_credit_facility,principal_rate_covenant,only_same_semantics_currency_period,yes
CAP-009,debt,项目融资,project_finance,ring_fenced_asset_cashflow,only_same_semantics_currency_period,yes
CAP-010,debt,租赁负债,lease_liability,lease_term_payment,only_same_semantics_currency_period,yes
CAP-011,flow,股权融资,equity_financing,cash_in,only_same_semantics_currency_period,yes
CAP-012,flow,债务融资,debt_financing,cash_in,only_same_semantics_currency_period,yes
CAP-013,flow,战略投资,strategic_investment,cash_out_or_in,only_same_semantics_currency_period,yes
CAP-014,flow,并购对价,mna_consideration,cash_stock_mixed,only_same_semantics_currency_period,yes
CAP-015,flow,资产购买/出售,asset_transaction,cash_out_or_in,only_same_semantics_currency_period,yes
CAP-016,flow,资本开支,capital_expenditure,cash_out,only_same_semantics_currency_period,yes
CAP-017,flow,研发投入,research_development,cash_out,only_same_semantics_currency_period,yes
CAP-018,flow,股票回购,share_repurchase,cash_out,only_same_semantics_currency_period,yes
CAP-019,flow,分红,dividend,cash_out,only_same_semantics_currency_period,yes
CAP-020,flow,债务偿还,debt_repayment,cash_out,only_same_semantics_currency_period,yes
CAP-021,commitment,采购/云承诺,purchase_cloud_commitment,future_obligation,only_same_semantics_currency_period,yes
CAP-022,commitment,产能预付款,capacity_prepayment,cash_out_and_supply_right,only_same_semantics_currency_period,yes
CAP-023,commitment,客户融资/供应商融资,counterparty_financing,credit_support,only_same_semantics_currency_period,yes
CAP-024,government,政府合同,government_contract,revenue_or_backlog,only_same_semantics_currency_period,yes
CAP-025,government,补贴/拨款,grant_subsidy,cash_or_cost_offset,only_same_semantics_currency_period,yes
CAP-026,government,税收抵免,tax_credit,tax_benefit,only_same_semantics_currency_period,yes
CAP-027,valuation,披露交易价值,reported_transaction_value,reported,only_same_semantics_currency_period,yes
CAP-028,valuation,承诺上限,maximum_commitment,ceiling_not_spend,only_same_semantics_currency_period,yes
CAP-029,valuation,估值/隐含价值,valuation_implied_value,estimate,only_same_semantics_currency_period,yes
CAP-030,valuation,未披露金额,undisclosed_amount,unknown_not_zero,only_same_semantics_currency_period,yes
