requirement_id,acceptance_criteria_id,task_ids,test_ids,evidence_id,artifact_ids,stage_id,phase_id
REQ-S00-P01,AC-S00-P01,T-S00-P01-01;T-S00-P01-02;T-S00-P01-03,TEST-S00-P01;TEST-S00-P01-BOUNDARY;TEST-S00-P01-REPLAY,EVD-S00-P01,ART-S00-P01-01;ART-S00-P01-02;ART-S00-P01-03,S00,P01
REQ-S00-P02,AC-S00-P02,T-S00-P02-01;T-S00-P02-02;T-S00-P02-03,TEST-S00-P02;TEST-S00-P02-BOUNDARY;TEST-S00-P02-REPLAY,EVD-S00-P02,ART-S00-P02-01;ART-S00-P02-02;ART-S00-P02-03,S00,P02
REQ-S00-P03,AC-S00-P03,T-S00-P03-01;T-S00-P03-02;T-S00-P03-03,TEST-S00-P03;TEST-S00-P03-BOUNDARY;TEST-S00-P03-REPLAY,EVD-S00-P03,ART-S00-P03-01;ART-S00-P03-02;ART-S00-P03-03,S00,P03
REQ-S00-P04,AC-S00-P04,T-S00-P04-01;T-S00-P04-02;T-S00-P04-03,TEST-S00-P04;TEST-S00-P04-BOUNDARY;TEST-S00-P04-REPLAY,EVD-S00-P04,ART-S00-P04-01;ART-S00-P04-02;ART-S00-P04-03,S00,P04
REQ-S01-P01,AC-S01-P01,T-S01-P01-01;T-S01-P01-02;T-S01-P01-03,TEST-S01-P01;TEST-S01-P01-BOUNDARY;TEST-S01-P01-REPLAY,EVD-S01-P01,ART-S01-P01-01;ART-S01-P01-02,S01,P01
REQ-S01-P02,AC-S01-P02,T-S01-P02-01;T-S01-P02-02;T-S01-P02-03,TEST-S01-P02;TEST-S01-P02-BOUNDARY;TEST-S01-P02-REPLAY,EVD-S01-P02,ART-S01-P02-01;ART-S01-P02-02,S01,P02
REQ-S01-P03,AC-S01-P03,T-S01-P03-01;T-S01-P03-02;T-S01-P03-03,TEST-S01-P03;TEST-S01-P03-BOUNDARY;TEST-S01-P03-REPLAY,EVD-S01-P03,ART-S01-P03-01;ART-S01-P03-02;ART-S01-P03-03,S01,P03
REQ-S01-P04,AC-S01-P04,T-S01-P04-01;T-S01-P04-02;T-S01-P04-03,TEST-S01-P04;TEST-S01-P04-BOUNDARY;TEST-S01-P04-REPLAY,EVD-S01-P04,ART-S01-P04-01;ART-S01-P04-02;ART-S01-P04-03,S01,P04
REQ-S02-P01,AC-S02-P01,T-S02-P01-01;T-S02-P01-02;T-S02-P01-03,TEST-S02-P01;TEST-S02-P01-BOUNDARY;TEST-S02-P01-REPLAY,EVD-S02-P01,ART-S02-P01-01;ART-S02-P01-02;ART-S02-P01-03,S02,P01
REQ-S02-P02,AC-S02-P02,T-S02-P02-01;T-S02-P02-02;T-S02-P02-03,TEST-S02-P02;TEST-S02-P02-BOUNDARY;TEST-S02-P02-REPLAY,EVD-S02-P02,ART-S02-P02-01;ART-S02-P02-02,S02,P02
REQ-S02-P03,AC-S02-P03,T-S02-P03-01;T-S02-P03-02;T-S02-P03-03,TEST-S02-P03;TEST-S02-P03-BOUNDARY;TEST-S02-P03-REPLAY,EVD-S02-P03,ART-S02-P03-01;ART-S02-P03-02,S02,P03
REQ-S02-P04,AC-S02-P04,T-S02-P04-01;T-S02-P04-02;T-S02-P04-03,TEST-S02-P04;TEST-S02-P04-BOUNDARY;TEST-S02-P04-REPLAY,EVD-S02-P04,ART-S02-P04-01;ART-S02-P04-02;ART-S02-P04-03,S02,P04
REQ-S03-P01,AC-S03-P01,T-S03-P01-01;T-S03-P01-02;T-S03-P01-03,TEST-S03-P01;TEST-S03-P01-BOUNDARY;TEST-S03-P01-REPLAY,EVD-S03-P01,ART-S03-P01-01;ART-S03-P01-02,S03,P01
REQ-S03-P02,AC-S03-P02,T-S03-P02-01;T-S03-P02-02;T-S03-P02-03,TEST-S03-P02;TEST-S03-P02-BOUNDARY;TEST-S03-P02-REPLAY,EVD-S03-P02,ART-S03-P02-01;ART-S03-P02-02,S03,P02
REQ-S03-P03,AC-S03-P03,T-S03-P03-01;T-S03-P03-02;T-S03-P03-03,TEST-S03-P03;TEST-S03-P03-BOUNDARY;TEST-S03-P03-REPLAY,EVD-S03-P03,ART-S03-P03-01;ART-S03-P03-02,S03,P03
REQ-S03-P04,AC-S03-P04,T-S03-P04-01;T-S03-P04-02;T-S03-P04-03,TEST-S03-P04;TEST-S03-P04-BOUNDARY;TEST-S03-P04-REPLAY,EVD-S03-P04,ART-S03-P04-01;ART-S03-P04-02,S03,P04
REQ-S04-P01,AC-S04-P01,T-S04-P01-01;T-S04-P01-02;T-S04-P01-03,TEST-S04-P01;TEST-S04-P01-BOUNDARY;TEST-S04-P01-REPLAY,EVD-S04-P01,ART-S04-P01-01;ART-S04-P01-02;ART-S04-P01-03,S04,P01
