parameter_id,model_id,formula_id,symbol,name,category,data_type,unit,default_value,initial_or_prior_value,active_value,weight,weight_group,weight_group_target,weight_group_tolerance,min_value,max_value,formula_or_transform,source_or_rationale,calibration_method,sensitivity,code_ref,config_ref,test_ref,status,fact_level,unknown_task_ids,parameter_version,last_updated,source_selector,extracted_value,last_verified_commit,verified_at,evidence_hash,semantic_status,semantic_review_task_ids
PARAM-001,MOD-001,FORM-001,lookbacks,strategy tournament lookbacks,model_constant,tuple[int],trading rows,5|10|20,NOT_APPLICABLE - function default,5|10|20,NOT_APPLICABLE,,,,5,20,iterate each lookback,EXTRACTED from function default,NOT_APPLICABLE - hard-coded MVP fixture,High - changes candidate set,Alpha/backend/app/services/strategy_iteration.py:28,NOT_APPLICABLE,Alpha/tests/test_strategy_iteration.py:4,active,EXTRACTED,,strategy-tournament-v0,2026-06-20,python_ast_default:Alpha/backend/app/services/strategy_iteration.py::run_strategy_tournament.lookbacks|join=pipe,5|10|20,f7288e9edf09484dd8cf36fe8e6523ccb1780125,2026-06-21T13:51:43Z,sha256:57c59216e012fb3e96e3efc6e065aea9bd84fc1f766f65d6f3dc68415550f2d4,MACHINE_VERIFIED,
PARAM-002,MOD-001,FORM-001,w_oos,oos return coefficient,scoring_weight,float,dimensionless,0.5,NOT_APPLICABLE - code constant,0.5,0.5,,,,0,1,score term multiplier,EXTRACTED from momentum_score expression,NOT_APPLICABLE - no calibration evidence,High - changes ranking score,Alpha/backend/app/services/strategy_iteration.py:43,NOT_APPLICABLE,Alpha/tests/test_strategy_iteration.py:4,active,EXTRACTED,,strategy-tournament-v0,2026-06-20,"text_regex:Alpha/backend/app/services/strategy_iteration.py::\((0\.5) \* walk_forward\[""oos_return""\]\)",0.5,f7288e9edf09484dd8cf36fe8e6523ccb1780125,2026-06-21T13:51:43Z,sha256:1bc8b2a8ca52e98934aebbc1ef3ae1f1ee8436772ea0919419859c208d97e642,MACHINE_VERIFIED,
PARAM-003,MOD-001,FORM-001,w_hit,hit rate coefficient,scoring_weight,float,dimensionless,0.01,NOT_APPLICABLE - code constant,0.01,0.01,,,,0,1,score term multiplier,EXTRACTED from momentum_score expression,NOT_APPLICABLE - no calibration evidence,Medium - changes tie and score behavior,Alpha/backend/app/services/strategy_iteration.py:43,NOT_APPLICABLE,Alpha/tests/test_strategy_iteration.py:13,active,EXTRACTED,,strategy-tournament-v0,2026-06-20,"text_regex:Alpha/backend/app/services/strategy_iteration.py::\((0\.01) \* walk_forward\[""hit_rate""\]\)",0.01,f7288e9edf09484dd8cf36fe8e6523ccb1780125,2026-06-21T13:51:43Z,sha256:ab861b3fd1eb93a17c1b6770ee86abaf8b6f0cf13c686cab1c8649e146e6dc08,MACHINE_VERIFIED,
PARAM-004,MOD-001,FORM-001,w_drawdown,drawdown penalty coefficient,scoring_weight,float,dimensionless,1.0,NOT_APPLICABLE - implicit abs drawdown coefficient,1.0,1.0,,,,0,1,subtract abs(drawdown),EXTRACTED from expression -abs(drawdown),NOT_APPLICABLE - no calibration evidence,High - changes risk preference,Alpha/backend/app/services/strategy_iteration.py:43,NOT_APPLICABLE,Alpha/tests/test_strategy_iteration.py:4,active,EXTRACTED,,strategy-tournament-v0,2026-06-20,,HUMAN_REVIEW_REQUIRED,NOT_APPLICABLE - HUMAN_REVIEW_REQUIRED,NOT_APPLICABLE - HUMAN_REVIEW_REQUIRED,NOT_APPLICABLE - HUMAN_REVIEW_REQUIRED,HUMAN_REVIEW_REQUIRED,GOV-SEMANTIC-ALPHA-001
PARAM-005,MOD-001,FORM-001,min_rows_gt_lookback,min rows greater than lookback,constraint,boolean,rule,true,NOT_APPLICABLE - code branch,true,NOT_APPLICABLE,,,,NOT_APPLICABLE,NOT_APPLICABLE,continue when len(closes)<=lookback,EXTRACTED from skip branch,NOT_APPLICABLE,Medium - controls missing data behavior,Alpha/backend/app/services/strategy_iteration.py:34,NOT_APPLICABLE,Alpha/tests/test_strategy_iteration.py:4,active,EXTRACTED,,strategy-tournament-v0,2026-06-20,,HUMAN_REVIEW_REQUIRED,NOT_APPLICABLE - HUMAN_REVIEW_REQUIRED,NOT_APPLICABLE - HUMAN_REVIEW_REQUIRED,NOT_APPLICABLE - HUMAN_REVIEW_REQUIRED,HUMAN_REVIEW_REQUIRED,GOV-SEMANTIC-ALPHA-001
PARAM-006,MOD-001,FORM-001,rank_decision_priority,promote decision rank priority,ranking_rule,string,enum,promote_to_paper first,NOT_APPLICABLE - code sort key,promote_to_paper first,NOT_APPLICABLE,,,,NOT_APPLICABLE,NOT_APPLICABLE,sort by decision boolean then score,EXTRACTED from sorted key,NOT_APPLICABLE,High - changes winner selection,Alpha/backend/app/services/strategy_iteration.py:59,NOT_APPLICABLE,Alpha/tests/test_strategy_iteration.py:10,active,EXTRACTED,,strategy-tournament-v0,2026-06-20,,HUMAN_REVIEW_REQUIRED,NOT_APPLICABLE - HUMAN_REVIEW_REQUIRED,NOT_APPLICABLE - HUMAN_REVIEW_REQUIRED,NOT_APPLICABLE - HUMAN_REVIEW_REQUIRED,HUMAN_REVIEW_REQUIRED,GOV-SEMANTIC-ALPHA-001
PARAM-007,MOD-001,FORM-001,default_turnover,turnover supplied to risk score,model_constant,float,ratio,1.0,NOT_APPLICABLE - code constant,1.0,NOT_APPLICABLE,,,,0,NOT_APPLICABLE,metrics turnover,EXTRACTED from metrics dict,NOT_APPLICABLE,Low currently below high-turnover threshold,Alpha/backend/app/services/strategy_iteration.py:40,NOT_APPLICABLE,Alpha/tests/test_strategy_iteration.py:4,active,EXTRACTED,,strategy-tournament-v0,2026-06-20,"text_regex:Alpha/backend/app/services/strategy_iteration.py::""turnover"": (1\.0)",1.0,f7288e9edf09484dd8cf36fe8e6523ccb1780125,2026-06-21T13:51:43Z,sha256:52467b81d5453d9be2d844d06169d5fb5a850acd38272cad04279965711a7442,MACHINE_VERIFIED,
PARAM-008,MOD-001,FORM-001,signal_positive_rule,walk-forward positive momentum rule,rule,string,comparison,close_t > close_t_minus_lookback,NOT_APPLICABLE - code expression,close_t > close_t_minus_lookback,NOT_APPLICABLE,,,,NOT_APPLICABLE,NOT_APPLICABLE,include next return only when signal positive,EXTRACTED from _walk_forward_momentum,NOT_APPLICABLE,High - defines validation windows,Alpha/backend/app/services/strategy_iteration.py:88,NOT_APPLICABLE,Alpha/tests/test_strategy_iteration.py:11,active,EXTRACTED,,strategy-tournament-v0,2026-06-20,,HUMAN_REVIEW_REQUIRED,NOT_APPLICABLE - HUMAN_REVIEW_REQUIRED,NOT_APPLICABLE - HUMAN_REVIEW_REQUIRED,NOT_APPLICABLE - HUMAN_REVIEW_REQUIRED,HUMAN_REVIEW_REQUIRED,GOV-SEMANTIC-ALPHA-001
PARAM-009,MOD-002,FORM-002,risk_score_start,start risk score,risk_constant,integer,points,100,NOT_APPLICABLE - code constant,100,NOT_APPLICABLE,,,,0,100,initial score,EXTRACTED from risk_score,NOT_APPLICABLE,High,Alpha/backend/app/services/risk.py:24,NOT_APPLICABLE,Alpha/tests/test_strategy_iteration.py:4,active,EXTRACTED,,risk-score-v0,2026-06-20,python_ast_literal:Alpha/backend/app/services/risk.py:24:1,100,f7288e9edf09484dd8cf36fe8e6523ccb1780125,2026-06-21T13:51:43Z,sha256:009b327dd370972505c9590b97e0717a366bf78b5045cb1821e8b668d448f844,MACHINE_VERIFIED,
PARAM-010,MOD-002,FORM-002,max_drawdown_threshold,drawdown threshold,risk_threshold,float,ratio,0.10,NOT_APPLICABLE - code constant,0.10,NOT_APPLICABLE,,,,0,1,abs(max_drawdown)>threshold,EXTRACTED from risk_score,NOT_APPLICABLE,High,Alpha/backend/app/services/risk.py:25,NOT_APPLICABLE,Alpha/tests/test_strategy_iteration.py:4,active,EXTRACTED,,risk-score-v0,2026-06-20,python_ast_literal:Alpha/backend/app/services/risk.py:25:1,0.1,f7288e9edf09484dd8cf36fe8e6523ccb1780125,2026-06-21T13:51:43Z,sha256:9ef87c879d5a8b2b088748ef650be4729c0721da6457bb3d0e57ae0c330a5318,MACHINE_VERIFIED,
