object_type_id,category,name_zh,slug,definition,scope,temporal,evidence_required
OBJ-001,organization,集团/控股集团,group,集团层级研究主体，可包含多个法律实体和业务单元,global,yes,yes
OBJ-002,organization,法律实体,legal_entity,具有独立法律身份的公司、PBC、LLC、合伙企业等,global,yes,yes
OBJ-003,organization,母公司,parent_company,对下属实体具有所有权或控制关系的公司,corporate,yes,yes
OBJ-004,organization,子公司,subsidiary,由上级实体持有或控制的法律实体,corporate,yes,yes
OBJ-005,organization,合资企业,joint_venture,由两个或更多参与方共同设立或控制,corporate,yes,yes
OBJ-006,organization,特殊目的实体,special_purpose_entity,为融资、持有资产或项目设立的实体,corporate,yes,yes
OBJ-007,business,业务板块,business_segment,管理层或研究口径下的经营板块,business,yes,yes
OBJ-008,business,事业部/业务单元,business_unit,集团内部经营和管理单元，不一定是法人,business,yes,yes
OBJ-009,business,品牌,brand,市场品牌或平台名称,business,yes,yes
OBJ-010,business,产品线,product_line,一组相关产品或服务,business,yes,yes
OBJ-011,business,产品/服务,product_service,具体商业产品、服务、平台或方案,business,yes,yes
OBJ-012,asset,设施,facility,晶圆厂、封装厂、数据中心、工厂、仓库、发射场等,operations,yes,yes
OBJ-013,asset,设备,equipment,生产、测试、网络或计算设备,operations,yes,yes
OBJ-014,asset,原材料/部件,material_component,原材料、化学品、零部件、模块,supply_chain,yes,yes
OBJ-015,asset,知识产权,intellectual_property,专利、许可、EDA/IP 核、软件、数据权利,technology,yes,yes
OBJ-016,person,自然人,person,创始人、高管、董事、关键技术或政策人物,governance,yes,yes
OBJ-017,capital,证券,security,普通股、优先股、债券、可转债、期权、认股权等,capital,yes,yes
OBJ-018,capital,基金/投资载体,fund_vehicle,基金、SPV、投资组合工具,capital,yes,yes
OBJ-019,capital,资本事件,capital_event,融资、投资、回购、分红、债务、资本开支等,capital,yes,yes
OBJ-020,transaction,交易,transaction,并购、资产出售、合资、许可、重大采购等,capital,yes,yes
OBJ-021,commercial,合同/承诺,contract_commitment,销售、采购、云、产能、能源、政府合同或承诺,commercial,yes,yes
OBJ-022,government,政府机构,government_agency,监管、采购、资助或政策制定机构,policy,yes,yes
OBJ-023,government,政策/监管,policy_regulation,法律、法规、行政措施、出口限制、许可,policy,yes,yes
OBJ-024,event,事件,event,具有时间、主体、对象、类型和证据的变化,temporal,yes,yes
OBJ-025,evidence,数据来源,data_source,公开披露、数据库、政府平台、公司材料等,provenance,yes,yes
OBJ-026,evidence,证据项,evidence_item,带定位、时间、权威性和验证状态的最小证据单元,provenance,yes,yes
OBJ-027,analytics,模型定义,model_definition,公式结构、输入、输出与解释规则,model,yes,yes
OBJ-028,analytics,参数配置版本,model_profile_version,权重、阈值、半衰期和显示预算的不可变版本,model,yes,yes
OBJ-029,analytics,分数快照,score_snapshot,特定数据和模型版本下的计算结果,model,yes,yes
OBJ-030,governance,任务,development_task,开发或研究工作单元,governance,yes,yes
OBJ-031,governance,验收标准,acceptance_criterion,可测试、可判定的完成条件,governance,yes,yes
OBJ-032,governance,风险与控制,risk_control,风险、触发器、控制、责任和状态,governance,yes,yes
