task_id,gate,priority,title,depends_on,acceptance_ids,status
T000,G0,P0,Inventory repository and confirm v2.0 canonical inputs,,A001,NOT STARTED
T001,G0,P0,Pin runtime/dependency versions and lockfiles,T000,"A004,A008,A009",NOT STARTED
T002,G0,P0,"Write ADRs for recursion, URL state, scoring, logs and calibration",T001,A002,NOT STARTED
T003,G0,P0,Map every P0 acceptance to tasks and tests,T002,"A001,A003",NOT STARTED
T004,G0,P0,"Record exact file scope, commands, risks and rollback",T003,A001,NOT STARTED
T100,G1,P0,Create pnpm/uv monorepo skeleton,T004,"A004,A010",NOT STARTED
T101,G1,P0,Add Docker Compose PostgreSQL and health checks,T100,A005,NOT STARTED
T102,G1,P0,Add Makefile and deterministic make verify,T100,"A006,A007",NOT STARTED
T103,G1,P0,Create FastAPI and Next.js health shells,T101,A005,NOT STARTED
T104,G1,P0,Add contract/static validation and secret scan,T102,"A008,A009",NOT STARTED
T200,G2,P0,Implement core migrations and entity/time/evidence invariants,T104,"A011,A012,A013,A014,A015,A022",DONE
T201,G2,P0,Implement ten relationship families and supply-chain attributes,T200,"A016,A020,A021",DONE
T202,G2,P0,Implement industry taxonomy and multi-label memberships,T200,A019,DONE
T203,G2,P0,"Implement exploration, Watchlist, scoring, audit and calibration tables",T200,"A011,A090",DONE
T204,G2,P0,Load 30 P0 seeds and 140-node research universe,"T201,T202","A017,A018,A028",DONE
T205,G2,P0,Load synthetic recursive supply-chain fixtures,T204,"A016,A025,A067",DONE
T206,G2,P0,Implement supersession/conflict repositories,T200,A023,DONE
T207,G2,P0,Implement idempotent seed loader and data checks,"T205,T206","A024,A028",DONE
T208,G2,P0,Run migration round-trip and gold quality scaffolding,T207,"A011,A026,A027",DONE
T300,G3,P0,Implement global typed search and aliases,T208,A038,DONE
T301,G3,P0,Implement home aggregation API,T300,"A029,A030",DONE
T302,G3,P0,Implement industry list and landscape API,T300,"A031,A032,A033,A034",DONE
T303,G3,P0,Implement Watchlist CRUD and persistence,T300,"A035,A036,A037",DONE
T304,G3,P0,Build user-oriented home page,"T301,T302,T303","A029,A030,A039,A040",DONE
T305,G3,P0,Build industry landscape page,T302,"A032,A034",DONE
T306,G3,P0,Add home/industry/watchlist E2E,"T304,T305","A029,A035,A037,A039,A040",DONE
T400,G4,P0,Implement bounded graph query service,T208,"A041,A042,A043,A044",DONE
T401,G4,P0,Implement exploration session and URL state,T400,"A041,A051",DONE
T402,G4,P0,Implement reroot with inherited/reset state,T401,"A045,A046,A047",DONE
T403,G4,P0,Implement incremental directional expand,T400,A052,DONE
T404,G4,P0,Implement breadcrumb and browser history synchronization,T402,"A049,A050,A051",DONE
T405,G4,P0,Build graph/table explorer and node actions,"T403,T404","A053,A054,A055,A058",DONE
T406,G4,P0,Implement bounded evidence-bearing path queries,T400,A056,DONE
T407,G4,P0,Add inclusion/truncation explanations,T405,"A044,A057",DONE
T408,G4,P0,Add critical three-reroot E2E,"T405,T407",A048,DONE
