snapshot_hash,record_type,record_id,status,action,horizon,statement_zh,evidence_json,counter_evidence_json,invalidation_conditions_json,risks_json,source_ids_json,model_versions_json,source_analysis_pack_hash
sha256:b12e2796b89d4c60947fd32f0bf5efd1e789f5a254205536d9252dbfb05a9760,report,pfi-v025-net-worth,blocked,,,当前报告只使用已验证的真实来源覆盖，不把缺失输入解释为零。,"{""data_range"": {""end"": ""2026-06-03"", ""start"": ""2022-06-06""}, ""formula_ids"": [""FORM-PFI-016""], ""parameter_ids"": [""PARAM-PFI-081""], ""snapshot_hash"": ""sha256:3b7c826b2f6443eb780cbe5767a01201164eb1389e920a9d33e7acead0770015"", ""transaction_record_count"": 8815}",,,,,,sha256:9bd7c8a32fd25d47c7658d7cbf5ddbc132c1cebab187ab9a500c178a1882c6ae
sha256:b12e2796b89d4c60947fd32f0bf5efd1e789f5a254205536d9252dbfb05a9760,report,pfi-v025-cash,blocked,,,当前报告只使用已验证的真实来源覆盖，不把缺失输入解释为零。,"{""data_range"": {""end"": ""2026-06-03"", ""start"": ""2022-06-06""}, ""formula_ids"": [""FORM-PFI-016"", ""FORM-PFI-019""], ""parameter_ids"": [""PARAM-PFI-081"", ""PARAM-PFI-086""], ""snapshot_hash"": ""sha256:390f4ed9600e5259de130cbb2280ced0ddf77699c4b685d04c557259aef0f93c"", ""transaction_record_count"": 8815}",,,,,,sha256:9bd7c8a32fd25d47c7658d7cbf5ddbc132c1cebab187ab9a500c178a1882c6ae
sha256:b12e2796b89d4c60947fd32f0bf5efd1e789f5a254205536d9252dbfb05a9760,report,pfi-v025-investment,blocked,,,当前报告只使用已验证的真实来源覆盖，不把缺失输入解释为零。,"{""data_range"": {""end"": ""2026-06-03"", ""start"": ""2022-06-06""}, ""formula_ids"": [""FORM-PFI-017"", ""FORM-PFI-018""], ""parameter_ids"": [""PARAM-PFI-081"", ""PARAM-PFI-089"", ""PARAM-PFI-090"", ""PARAM-PFI-091"", ""PARAM-PFI-092""], ""snapshot_hash"": ""sha256:9066b892f7824e239ee7d688d389786f6179ecaa6c53b4b6e2befaea63398df4"", ""transaction_record_count"": 8815}",,,,,,sha256:9bd7c8a32fd25d47c7658d7cbf5ddbc132c1cebab187ab9a500c178a1882c6ae
sha256:b12e2796b89d4c60947fd32f0bf5efd1e789f5a254205536d9252dbfb05a9760,report,pfi-v025-consumption,partial,,,消费总流出是用户定义的 gross activity 口径；生活消费、投资资金流出与投资域内配置必须拆分展示，投资活动不等于净资产损失。,"{""data_range"": {""end"": ""2026-06-03"", ""start"": ""2022-06-06""}, ""formula_ids"": [""FORM-PFI-015"", ""FORM-PFI-020""], ""parameter_ids"": [""PARAM-PFI-081"", ""PARAM-PFI-082"", ""PARAM-PFI-083"", ""PARAM-PFI-084"", ""PARAM-PFI-085"", ""PARAM-PFI-087"", ""PARAM-PFI-088""], ""snapshot_hash"": ""sha256:d4faaf1663ead4cb92774e48791027e75378c342ee13241f0e219e292a58b676"", ""transaction_record_count"": 8815}",,,,,,sha256:9bd7c8a32fd25d47c7658d7cbf5ddbc132c1cebab187ab9a500c178a1882c6ae
sha256:b12e2796b89d4c60947fd32f0bf5efd1e789f5a254205536d9252dbfb05a9760,component,total_consumption_outflow_cny,ready,human_review_only,,消费总流出：gross activity 口径，不等于净资产损失。,"{""contains_private_values"": false, ""financial_values_emitted"": 0, ""formula_id"": ""FORM-PFI-015"", ""label_zh"": ""消费总流出"", ""metric_id"": ""total_consumption_outflow_cny"", ""review_route"": ""/reports?tab=consumption-components"", ""scope_zh"": ""gross activity 口径，不等于净资产损失。"", ""status"": ""ready"", ""status_zh"": ""本机真实快照已验证"", ""value_visibility"": ""private_runtime_only_not_persisted""}",,,,,,sha256:9bd7c8a32fd25d47c7658d7cbf5ddbc132c1cebab187ab9a500c178a1882c6ae
sha256:b12e2796b89d4c60947fd32f0bf5efd1e789f5a254205536d9252dbfb05a9760,component,living_consumption_cny,ready,human_review_only,,生活消费：独立活动组件；与其他组件分开展示和复核。,"{""contains_private_values"": false, ""financial_values_emitted"": 0, ""formula_id"": ""FORM-PFI-015"", ""label_zh"": ""生活消费"", ""metric_id"": ""living_consumption_cny"", ""review_route"": ""/reports?tab=consumption-components"", ""scope_zh"": ""独立活动组件；与其他组件分开展示和复核。"", ""status"": ""ready"", ""status_zh"": ""本机真实快照已验证"", ""value_visibility"": ""private_runtime_only_not_persisted""}",,,,,,sha256:9bd7c8a32fd25d47c7658d7cbf5ddbc132c1cebab187ab9a500c178a1882c6ae
sha256:b12e2796b89d4c60947fd32f0bf5efd1e789f5a254205536d9252dbfb05a9760,component,investment_funding_outflow_cny,ready,human_review_only,,投资资金流出：独立活动组件；与其他组件分开展示和复核。,"{""contains_private_values"": false, ""financial_values_emitted"": 0, ""formula_id"": ""FORM-PFI-015"", ""label_zh"": ""投资资金流出"", ""metric_id"": ""investment_funding_outflow_cny"", ""review_route"": ""/reports?tab=consumption-components"", ""scope_zh"": ""独立活动组件；与其他组件分开展示和复核。"", ""status"": ""ready"", ""status_zh"": ""本机真实快照已验证"", ""value_visibility"": ""private_runtime_only_not_persisted""}",,,,,,sha256:9bd7c8a32fd25d47c7658d7cbf5ddbc132c1cebab187ab9a500c178a1882c6ae
sha256:b12e2796b89d4c60947fd32f0bf5efd1e789f5a254205536d9252dbfb05a9760,component,investment_allocation_amount_cny,ready,human_review_only,,投资域内配置：独立活动组件；与其他组件分开展示和复核。,"{""contains_private_values"": false, ""financial_values_emitted"": 0, ""formula_id"": ""FORM-PFI-015"", ""label_zh"": ""投资域内配置"", ""metric_id"": ""investment_allocation_amount_cny"", ""review_route"": ""/reports?tab=consumption-components"", ""scope_zh"": ""独立活动组件；与其他组件分开展示和复核。"", ""status"": ""ready"", ""status_zh"": ""本机真实快照已验证"", ""value_visibility"": ""private_runtime_only_not_persisted""}",,,,,,sha256:9bd7c8a32fd25d47c7658d7cbf5ddbc132c1cebab187ab9a500c178a1882c6ae
sha256:b12e2796b89d4c60947fd32f0bf5efd1e789f5a254205536d9252dbfb05a9760,report,pfi-v025-cashflow,partial,,,当前报告只使用已验证的真实来源覆盖，不把缺失输入解释为零。,"{""data_range"": {""end"": ""2026-06-03"", ""start"": ""2022-06-06""}, ""formula_ids"": [""FORM-PFI-019"", ""FORM-PFI-015""], ""parameter_ids"": [""PARAM-PFI-081"", ""PARAM-PFI-082"", ""PARAM-PFI-083"", ""PARAM-PFI-084"", ""PARAM-PFI-085"", ""PARAM-PFI-086""], ""snapshot_hash"": ""sha256:883ca42c133033b2e7546df6c556f7ad91fe7e6ec61edb35ddcd55e211ef0292"", ""transaction_record_count"": 8815}",,,,,,sha256:9bd7c8a32fd25d47c7658d7cbf5ddbc132c1cebab187ab9a500c178a1882c6ae
sha256:b12e2796b89d4c60947fd32f0bf5efd1e789f5a254205536d9252dbfb05a9760,decision,DEC-PFI-V025-REVIEW-QUEUE,awaiting_human_review,review_pending_transaction_classification,next_human_review_session,"当前有 1,936 条记录仍在待复核队列；先人工核对分类与退款/转账边界，再解释消费结构。","[{""evidence_id"": ""EVID-QUEUE-PARTITION"", ""kind"": ""real_source_partition"", ""source_refs"": [""pfi-v025-consumption"", ""SRC-TRANSACTIONS-ALIPAY""], ""statement_zh"": ""真实来源分区中待复核记录为 1,936 条，当前财务金额未进入公开决策对象。""}]","[{""counter_evidence_id"": ""COUNTER-QUEUE-CONTEXT"", ""effect"": ""blocks_accuracy_claim"", ""review_route"": ""/reports/metric-drilldown?formula=FORM-PFI-020"", ""statement_zh"": ""队列数量不能证明分类准确性，且未标注 ground truth 时不能声明模型有效率。""}, {""counter_evidence_id"": ""COUNTER-QUEUE-STALE"", ""effect"": ""requires_snapshot_refresh"", ""review_route"": ""/data/sources"", ""statement_zh"": ""新导入、退款识别或人工重分类会改变当前队列与覆盖结论。""}]","[{""condition_id"": ""INVALIDATE-QUEUE-EMPTY"", ""current_state"": ""not_met"", ""predicate"": ""review_queue_record_count_equals_zero"", ""review_route"": ""/ledger?tab=review""}, {""condition_id"": ""INVALIDATE-ANALYSIS-HASH-DRIFT"", ""current_state"": ""not_met"", ""predicate"": ""source_analysis_pack_hash_changes"", ""review_route"": ""/reports""}]","[""待复核记录可能包含转账、退款或投资活动，不能直接解释为生活消费。"", ""缺少分类 labels 与样本外 ground truth，不能声明分类准确率。""]","[""SRC-TRANSACTIONS-ALIPAY""]","[{""model_id"": ""MOD-PFI-010"", ""status"": ""partial_validated_with_blocked_components"", ""version"": ""v0.2.5""}, {""model_id"": ""FORM-PFI-015"", ""status"": ""validated_real_snapshot"", ""version"": ""1.0.0""}, {""model_id"": ""FORM-PFI-020"", ""status"": ""validated_structure_only"", ""version"": ""1.0.0""}]",sha256:9bd7c8a32fd25d47c7658d7cbf5ddbc132c1cebab187ab9a500c178a1882c6ae
sha256:b12e2796b89d4c60947fd32f0bf5efd1e789f5a254205536d9252dbfb05a9760,decision,DEC-PFI-V025-SOURCE-COMPLETENESS,awaiting_human_review,complete_missing_financial_source_review,next_human_review_session,账户余额、负债、持仓、价格、FX 与 Economic Event lineage 未全部 ready；先补齐来源，再解释净资产、现金或投资结果。,"[{""evidence_id"": ""EVID-MISSING-SOURCE-SET"", ""kind"": ""source_dependency_state"", ""source_refs"": [""SRC-ACCOUNT-BALANCES"", ""SRC-FX-SNAPSHOT"", ""SRC-HOLDINGS"", ""SRC-LIABILITIES"", ""SRC-MARKET-PRICES"", ""economic_event_adapter""], ""statement_zh"": ""当前有 6 个关键来源或 lineage 依赖未 ready。""}]","[{""counter_evidence_id"": ""COUNTER-TRANSACTIONS-READY"", ""effect"": ""prevents_all_reports_blocked_claim"", ""review_route"": ""/data/sources"", ""statement_zh"": ""交易来源已有真实覆盖，因此消费与现金流仍可保留 partial 的覆盖结论。""}, {""counter_evidence_id"": ""COUNTER-SOURCE-STATE-DRIFT"", ""effect"": ""requires_snapshot_refresh"", ""review_route"": ""/reports"", ""statement_zh"": ""来源状态可能在新快照中改变，当前建议不得跨 snapshot 延用。""}]","[{""condition_id"": ""INVALIDATE-SOURCES-READY"", ""current_state"": ""not_met"", ""predicate"": ""all_required_sources_and_lineage_ready"", ""review_route"": ""/data/sources""}, {""condition_id"": ""INVALIDATE-ANALYSIS-HASH-DRIFT"", ""current_state"": ""not_met"", ""predicate"": ""source_analysis_pack_hash_changes"", ""review_route"": ""/reports""}]","[""来源未 ready 时强行解释净资产、现金或投资会制造假结论。"", ""持仓、价格与 FX 时间不一致会破坏估值和收益解释。""]","[""SRC-ACCOUNT-BALANCES"", ""SRC-FX-SNAPSHOT"", ""SRC-HOLDINGS"", ""SRC-LIABILITIES"", ""SRC-MARKET-PRICES"", ""economic_event_adapter""]","[{""model_id"": ""MOD-PFI-010"", ""status"": ""partial_validated_with_blocked_components"", ""version"": ""v0.2.5""}, {""model_id"": ""FORM-PFI-016"", ""status"": ""blocked_missing_required_sources"", ""version"": ""1.0.0""}, {""model_id"": ""FORM-PFI-017"", ""status"": ""blocked_missing_required_sources"", ""version"": ""1.0.0""}, {""model_id"": ""FORM-PFI-018"", ""status"": ""blocked_insufficient_chain"", ""version"": ""1.0.0""}]",sha256:9bd7c8a32fd25d47c7658d7cbf5ddbc132c1cebab187ab9a500c178a1882c6ae
