asset_code,asset_name,special_reason,required_confirmations,preferred_source,prior_as_of,prior_source_file
ALIPAY_NAME_博时标普500ETF联接_QDII_A,博时标普500ETF联接(QDII)A,QDII/global/HK/special fund timing may differ from default 15:00/T+1 rule,Alipay current holding page; subscription_status; redemption_status; cutoff_time; confirm_lag; redeem_lag; subscription_fee; redemption_fee; special holiday calendar,Alipay fund detail/rule page or fund-company official announcement/prospectus,2026-06-05,external:ScreenRecording_06-05-2026 12-38-58_1.MP4
ALIPAY_NAME_南方纳斯达克100指数_QDII_C,南方纳斯达克100指数(QDII)C,QDII/global/HK/special fund timing may differ from default 15:00/T+1 rule,Alipay current holding page; subscription_status; redemption_status; cutoff_time; confirm_lag; redeem_lag; subscription_fee; redemption_fee; special holiday calendar,Alipay fund detail/rule page or fund-company official announcement/prospectus,2026-06-05,external:ScreenRecording_06-05-2026 12-38-58_1.MP4
ALIPAY_NAME_易方达全球成长精选混合_QDII_C,易方达全球成长精选混合(QDII)C,QDII/global/HK/special fund timing may differ from default 15:00/T+1 rule,Alipay current holding page; subscription_status; redemption_status; cutoff_time; confirm_lag; redeem_lag; subscription_fee; redemption_fee; special holiday calendar,Alipay fund detail/rule page or fund-company official announcement/prospectus,2026-06-05,external:ScreenRecording_06-05-2026 12-38-58_1.MP4
ALIPAY_NAME_易方达全球成长精选混合_QDII_A,易方达全球成长精选混合(QDII)A,QDII/global/HK/special fund timing may differ from default 15:00/T+1 rule,Alipay current holding page; subscription_status; redemption_status; cutoff_time; confirm_lag; redeem_lag; subscription_fee; redemption_fee; special holiday calendar,Alipay fund detail/rule page or fund-company official announcement/prospectus,2026-06-05,external:ScreenRecording_06-05-2026 12-38-58_1.MP4
ALIPAY_NAME_前海开源沪港深核心资源灵活配置混合C,前海开源沪港深核心资源灵活配置混合C,QDII/global/HK/special fund timing may differ from default 15:00/T+1 rule,Alipay current holding page; subscription_status; redemption_status; cutoff_time; confirm_lag; redeem_lag; subscription_fee; redemption_fee; special holiday calendar,Alipay fund detail/rule page or fund-company official announcement/prospectus,2026-06-05,external:ScreenRecording_06-05-2026 12-38-58_1.MP4
ALIPAY_NAME_摩根标普500指数_QDII_C,摩根标普500指数(QDII)C,QDII/global/HK/special fund timing may differ from default 15:00/T+1 rule,Alipay current holding page; subscription_status; redemption_status; cutoff_time; confirm_lag; redeem_lag; subscription_fee; redemption_fee; special holiday calendar,Alipay fund detail/rule page or fund-company official announcement/prospectus,2026-06-05,external:ScreenRecording_06-05-2026 12-38-58_1.MP4
ALIPAY_NAME_摩根标普500指数_QDII_A,摩根标普500指数(QDII)A,QDII/global/HK/special fund timing may differ from default 15:00/T+1 rule,Alipay current holding page; subscription_status; redemption_status; cutoff_time; confirm_lag; redeem_lag; subscription_fee; redemption_fee; special holiday calendar,Alipay fund detail/rule page or fund-company official announcement/prospectus,2026-06-05,external:ScreenRecording_06-05-2026 12-38-58_1.MP4
ALIPAY_NAME_南方纳斯达克100指数_QDII_A,南方纳斯达克100指数(QDII)A,QDII/global/HK/special fund timing may differ from default 15:00/T+1 rule,Alipay current holding page; subscription_status; redemption_status; cutoff_time; confirm_lag; redeem_lag; subscription_fee; redemption_fee; special holiday calendar,Alipay fund detail/rule page or fund-company official announcement/prospectus,2026-06-05,external:ScreenRecording_06-05-2026 12-38-58_1.MP4
ALIPAY_NAME_华安纳斯达克100ETF联接_QDII_C,华安纳斯达克100ETF联接(QDII)C,QDII/global/HK/special fund timing may differ from default 15:00/T+1 rule,Alipay current holding page; subscription_status; redemption_status; cutoff_time; confirm_lag; redeem_lag; subscription_fee; redemption_fee; special holiday calendar,Alipay fund detail/rule page or fund-company official announcement/prospectus,2026-06-05,external:ScreenRecording_06-05-2026 12-38-58_1.MP4
ALIPAY_NAME_华安纳斯达克100ETF联接_QDII_A,华安纳斯达克100ETF联接(QDII)A,QDII/global/HK/special fund timing may differ from default 15:00/T+1 rule,Alipay current holding page; subscription_status; redemption_status; cutoff_time; confirm_lag; redeem_lag; subscription_fee; redemption_fee; special holiday calendar,Alipay fund detail/rule page or fund-company official announcement/prospectus,2026-06-05,external:ScreenRecording_06-05-2026 12-38-58_1.MP4
ALIPAY_NAME_富国蓝筹精选股票_QDII_,富国蓝筹精选股票(QDII),QDII/global/HK/special fund timing may differ from default 15:00/T+1 rule,Alipay current holding page; subscription_status; redemption_status; cutoff_time; confirm_lag; redeem_lag; subscription_fee; redemption_fee; special holiday calendar,Alipay fund detail/rule page or fund-company official announcement/prospectus,2026-06-05,external:ScreenRecording_06-05-2026 12-38-58_1.MP4
ALIPAY_NAME_博时恒生科技ETF联接_QDII_A,博时恒生科技ETF联接(QDII)A,QDII/global/HK/special fund timing may differ from default 15:00/T+1 rule,Alipay current holding page; subscription_status; redemption_status; cutoff_time; confirm_lag; redeem_lag; subscription_fee; redemption_fee; special holiday calendar,Alipay fund detail/rule page or fund-company official announcement/prospectus,2026-06-05,external:ScreenRecording_06-05-2026 12-38-58_1.MP4
