category,product,vendor,primary_job,mature_pattern,lesson_for_project,official_url,checked_date
供应链可见性/风险,Altana Atlas,Altana,全球价值链地图、贸易与供应链网络,动态多层价值链图、合规与国家安全,与本项目名称和价值主张高度直接冲突；学习多层图、证据和工作流,https://altana.ai/atlas,2026-06-19
供应链可见性/风险,Interos,Interos,多层供应商风险与韧性,持续监测、网络级风险建模,学习多层供应网络、风险信号与行动闭环,https://www.interos.ai/,2026-06-19
供应链可见性/风险,Everstream Analytics,Everstream Analytics,端到端供应链风险分析,预测风险、物流与天气/地缘信号,学习事件到节点/路径影响传播,https://www.everstream.ai/,2026-06-19
供应链可见性/风险,Supply Chain Explorer,Exiger,供应链可视化、第三方与合规风险,AI 辅助多层映射、政府/企业合规,学习证据驱动关系、供应商审核和解释性,https://www.exiger.com/solutions/supply-chain-explorer/,2026-06-19
供应链可见性/风险,Resilinc,Resilinc,供应链事件监控与多层映射,事件响应、BOM/地点级风险,学习事件室、替代方案和连续性工作流,https://www.resilinc.com/,2026-06-19
供应链可见性/风险,Prewave,Prewave,供应链风险与可持续性监控,多语言新闻信号、供应商风险,学习信号置信度、去重和告警解释,https://www.prewave.com/,2026-06-19
供应链可见性/风险,Sourcemap,Sourcemap,供应链映射与尽职调查,原产地、多层供应商、ESG/法规,学习供应链层级、证据包和披露工作流,https://sourcemap.com/,2026-06-19
供应链可见性/风险,Craft Intelligence Portal,Craft,公司与供应链情报,企业档案、供应商监测与风险,学习公司 dossier 与关系浏览的结合,https://craft.co/,2026-06-19
供应链可见性/风险,Sayari Graph,Sayari,企业/贸易/所有权图谱与风险调查,全球实体解析、贸易与控制关系,学习实体解析、证据图和调查路径,https://sayari.com/solutions/sayari-graph/,2026-06-19
电子供应链/元器件,Z2Data,Z2Data,电子元器件与供应链风险,BOM、生命周期、合规和供应商风险,学习产品/BOM/元器件层级的可钻取体验,https://www.z2data.com/,2026-06-19
供应链可见性/风险,Sphera Supply Chain Risk Management,Sphera,供应商风险和事件监控,riskmethods 能力整合,学习风险评分、供应商行动与审计,https://sphera.com/solutions/supply-chain-risk-management/,2026-06-19
供应链可见性/风险,IntegrityNext,IntegrityNext,供应商 ESG/尽调与法规合规,大规模供应商问卷与风险数据,学习供应商证据状态和合规任务,https://www.integritynext.com/,2026-06-19
供应链可见性/风险,Assent,Assent,产品合规与供应链可持续性,复杂制造业供应商数据,学习法规-产品-供应商证据链,https://www.assent.com/,2026-06-19
第三方风险,Aravo,Aravo,第三方生命周期与风险管理,供应商准入、持续监控、工作流,学习关系审核、Owner 和补救闭环,https://www.aravo.com/,2026-06-19
物流可见性,project44,project44,运输可见性与供应链事件,多式联运实时状态,学习实时事件时间轴与异常反馈,https://www.project44.com/,2026-06-19
物流可见性,FourKites,FourKites,端到端物流与库存可见性,数字孪生、ETA 与网络协作,学习空间/时间状态和异常导航,https://www.fourkites.com/,2026-06-19
