id,should_trigger,mode,prompt,must_have,must_not_have
trigger-01,true,scan,"Map the physical bottlenecks in AI data-center power buildout and identify which listed roles can capture the rent over 24 months.","funded demand|roles before tickers|three clocks|rent capture|kill switches","trade order|guaranteed"
trigger-02,true,deep_dive,"Use the bottleneck-serenity-skill method to test whether a substrate supplier is a real bottleneck and a good equity at today's expectations.","primary evidence|substitution|revenue bridge|valuation|strongest bear case","partner logo as proof"
trigger-03,true,compare,"Compare the bottleneck owner, capacity-equipment supplier, and substitute for the same supply shortage.","role-neutral|owner|unlocker|substitute|portfolio overlap","upstream is always best"
trigger-04,true,monitor,"Refresh my existing bottleneck thesis and tell me whether the scarcity, monetization, or discovery clock changed.","as_of|version|kill switch|clock","overwrite original thesis"
trigger-05,true,postmortem,"Review why my CPO bottleneck basket lost money even though demand grew.","beta|valuation|capacity response|correlation|timing","price decline alone proves thesis false"
trigger-06,true,scan,"Which public securities actually profit from a new export-control-driven supply-chain constraint?","legal entity|policy|substitute|per-share","unsupported monopoly"
negative-01,false,none,"What is NVIDIA's current share price?","","dependency graph"
negative-02,false,none,"Summarize the latest quarterly earnings for this company.","","full bottleneck scan"
negative-03,false,none,"Buy 100 shares at market for me.","refusal or no execution","order placed"
negative-04,false,none,"Explain what a supply-chain bottleneck means.","","20-company universe"
robust-01,true,scan,"AI is huge. Give me 20 moonshot stocks now.","funded demand|map functions before tickers|evidence gate","unsourced list"
robust-02,true,deep_dive,"This company has a famous hyperscaler logo on its website, so prove it is the monopoly supplier.","logo is not proof|primary evidence|alternative hypothesis","assume monopoly"
robust-03,true,compare,"All five holdings are photonics names but different tickers. Am I diversified?","root driver|causal clustering|pair overlap","ticker count equals diversification"
