strategy_id,base_weight,dip_trigger,sell_trigger,trend_rule,risk_rule,boll_std,rsi_buy,rsi_sell,fast_ma,slow_ma,atr_window
bw92_none_none_none_none,0.92,none,none,none,none,2.2,35.0,75.0,20,60,14
bw92_none_none_none_atr_96,0.92,none,none,none,atr_96,2.2,35.0,75.0,20,60,14
bw92_none_none_none_ma60_break_90,0.92,none,none,none,ma60_break_90,2.2,35.0,75.0,20,60,14
bw92_none_none_none_drawdown_90,0.92,none,none,none,drawdown_90,2.2,35.0,75.0,20,60,14
bw92_none_none_strong_trend_full_none,0.92,none,none,strong_trend_full,none,2.2,35.0,75.0,20,60,14
bw92_none_none_strong_trend_full_atr_96,0.92,none,none,strong_trend_full,atr_96,2.2,35.0,75.0,20,60,14
bw92_none_none_strong_trend_full_ma60_break_90,0.92,none,none,strong_trend_full,ma60_break_90,2.2,35.0,75.0,20,60,14
bw92_none_none_strong_trend_full_drawdown_90,0.92,none,none,strong_trend_full,drawdown_90,2.2,35.0,75.0,20,60,14
bw92_none_none_ma_trend_full_none,0.92,none,none,ma_trend_full,none,2.2,35.0,75.0,20,60,14
bw92_none_none_ma_trend_full_atr_96,0.92,none,none,ma_trend_full,atr_96,2.2,35.0,75.0,20,60,14
bw92_none_none_ma_trend_full_ma60_break_90,0.92,none,none,ma_trend_full,ma60_break_90,2.2,35.0,75.0,20,60,14
bw92_none_none_ma_trend_full_drawdown_90,0.92,none,none,ma_trend_full,drawdown_90,2.2,35.0,75.0,20,60,14
bw92_none_none_macd_trend_full_none,0.92,none,none,macd_trend_full,none,2.2,35.0,75.0,20,60,14
bw92_none_none_macd_trend_full_atr_96,0.92,none,none,macd_trend_full,atr_96,2.2,35.0,75.0,20,60,14
bw92_none_none_macd_trend_full_ma60_break_90,0.92,none,none,macd_trend_full,ma60_break_90,2.2,35.0,75.0,20,60,14
bw92_none_none_macd_trend_full_drawdown_90,0.92,none,none,macd_trend_full,drawdown_90,2.2,35.0,75.0,20,60,14
bw92_boll_lower_none_none_none,0.92,boll_lower,none,none,none,2.2,35.0,75.0,20,60,14
bw92_boll_lower_none_none_atr_96,0.92,boll_lower,none,none,atr_96,2.2,35.0,75.0,20,60,14
bw92_boll_lower_none_none_ma60_break_90,0.92,boll_lower,none,none,ma60_break_90,2.2,35.0,75.0,20,60,14
bw92_boll_lower_none_none_drawdown_90,0.92,boll_lower,none,none,drawdown_90,2.2,35.0,75.0,20,60,14
bw92_boll_lower_none_strong_trend_full_none,0.92,boll_lower,none,strong_trend_full,none,2.2,35.0,75.0,20,60,14
bw92_boll_lower_none_strong_trend_full_atr_96,0.92,boll_lower,none,strong_trend_full,atr_96,2.2,35.0,75.0,20,60,14
bw92_boll_lower_none_strong_trend_full_ma60_break_90,0.92,boll_lower,none,strong_trend_full,ma60_break_90,2.2,35.0,75.0,20,60,14
bw92_boll_lower_none_strong_trend_full_drawdown_90,0.92,boll_lower,none,strong_trend_full,drawdown_90,2.2,35.0,75.0,20,60,14
bw92_boll_lower_none_ma_trend_full_none,0.92,boll_lower,none,ma_trend_full,none,2.2,35.0,75.0,20,60,14
bw92_boll_lower_none_ma_trend_full_atr_96,0.92,boll_lower,none,ma_trend_full,atr_96,2.2,35.0,75.0,20,60,14
bw92_boll_lower_none_ma_trend_full_ma60_break_90,0.92,boll_lower,none,ma_trend_full,ma60_break_90,2.2,35.0,75.0,20,60,14
bw92_boll_lower_none_ma_trend_full_drawdown_90,0.92,boll_lower,none,ma_trend_full,drawdown_90,2.2,35.0,75.0,20,60,14
bw92_boll_lower_none_macd_trend_full_none,0.92,boll_lower,none,macd_trend_full,none,2.2,35.0,75.0,20,60,14
bw92_boll_lower_none_macd_trend_full_atr_96,0.92,boll_lower,none,macd_trend_full,atr_96,2.2,35.0,75.0,20,60,14
bw92_boll_lower_none_macd_trend_full_ma60_break_90,0.92,boll_lower,none,macd_trend_full,ma60_break_90,2.2,35.0,75.0,20,60,14
bw92_boll_lower_none_macd_trend_full_drawdown_90,0.92,boll_lower,none,macd_trend_full,drawdown_90,2.2,35.0,75.0,20,60,14
bw92_boll_lower_rsi_high_trim_none_none,0.92,boll_lower,rsi_high_trim,none,none,2.2,35.0,75.0,20,60,14
bw92_boll_lower_rsi_high_trim_none_atr_96,0.92,boll_lower,rsi_high_trim,none,atr_96,2.2,35.0,75.0,20,60,14
bw92_boll_lower_rsi_high_trim_none_ma60_break_90,0.92,boll_lower,rsi_high_trim,none,ma60_break_90,2.2,35.0,75.0,20,60,14
bw92_boll_lower_rsi_high_trim_none_drawdown_90,0.92,boll_lower,rsi_high_trim,none,drawdown_90,2.2,35.0,75.0,20,60,14
bw92_boll_lower_rsi_high_trim_strong_trend_full_none,0.92,boll_lower,rsi_high_trim,strong_trend_full,none,2.2,35.0,75.0,20,60,14
bw92_boll_lower_rsi_high_trim_strong_trend_full_atr_96,0.92,boll_lower,rsi_high_trim,strong_trend_full,atr_96,2.2,35.0,75.0,20,60,14
bw92_boll_lower_rsi_high_trim_strong_trend_full_ma60_break_90,0.92,boll_lower,rsi_high_trim,strong_trend_full,ma60_break_90,2.2,35.0,75.0,20,60,14
bw92_boll_lower_rsi_high_trim_strong_trend_full_drawdown_90,0.92,boll_lower,rsi_high_trim,strong_trend_full,drawdown_90,2.2,35.0,75.0,20,60,14
bw92_boll_lower_rsi_high_trim_ma_trend_full_none,0.92,boll_lower,rsi_high_trim,ma_trend_full,none,2.2,35.0,75.0,20,60,14
bw92_boll_lower_rsi_high_trim_ma_trend_full_atr_96,0.92,boll_lower,rsi_high_trim,ma_trend_full,atr_96,2.2,35.0,75.0,20,60,14
bw92_boll_lower_rsi_high_trim_ma_trend_full_ma60_break_90,0.92,boll_lower,rsi_high_trim,ma_trend_full,ma60_break_90,2.2,35.0,75.0,20,60,14
bw92_boll_lower_rsi_high_trim_ma_trend_full_drawdown_90,0.92,boll_lower,rsi_high_trim,ma_trend_full,drawdown_90,2.2,35.0,75.0,20,60,14
bw92_boll_lower_rsi_high_trim_macd_trend_full_none,0.92,boll_lower,rsi_high_trim,macd_trend_full,none,2.2,35.0,75.0,20,60,14
bw92_boll_lower_rsi_high_trim_macd_trend_full_atr_96,0.92,boll_lower,rsi_high_trim,macd_trend_full,atr_96,2.2,35.0,75.0,20,60,14
bw92_boll_lower_rsi_high_trim_macd_trend_full_ma60_break_90,0.92,boll_lower,rsi_high_trim,macd_trend_full,ma60_break_90,2.2,35.0,75.0,20,60,14
bw92_boll_lower_rsi_high_trim_macd_trend_full_drawdown_90,0.92,boll_lower,rsi_high_trim,macd_trend_full,drawdown_90,2.2,35.0,75.0,20,60,14
bw92_boll_lower_boll_upper_trim_none_none,0.92,boll_lower,boll_upper_trim,none,none,2.2,35.0,75.0,20,60,14
bw92_boll_lower_boll_upper_trim_none_atr_96,0.92,boll_lower,boll_upper_trim,none,atr_96,2.2,35.0,75.0,20,60,14
bw92_boll_lower_boll_upper_trim_none_ma60_break_90,0.92,boll_lower,boll_upper_trim,none,ma60_break_90,2.2,35.0,75.0,20,60,14
bw92_boll_lower_boll_upper_trim_none_drawdown_90,0.92,boll_lower,boll_upper_trim,none,drawdown_90,2.2,35.0,75.0,20,60,14
bw92_boll_lower_boll_upper_trim_strong_trend_full_none,0.92,boll_lower,boll_upper_trim,strong_trend_full,none,2.2,35.0,75.0,20,60,14
bw92_boll_lower_boll_upper_trim_strong_trend_full_atr_96,0.92,boll_lower,boll_upper_trim,strong_trend_full,atr_96,2.2,35.0,75.0,20,60,14
bw92_boll_lower_boll_upper_trim_strong_trend_full_ma60_break_90,0.92,boll_lower,boll_upper_trim,strong_trend_full,ma60_break_90,2.2,35.0,75.0,20,60,14
bw92_boll_lower_boll_upper_trim_strong_trend_full_drawdown_90,0.92,boll_lower,boll_upper_trim,strong_trend_full,drawdown_90,2.2,35.0,75.0,20,60,14
bw92_boll_lower_boll_upper_trim_ma_trend_full_none,0.92,boll_lower,boll_upper_trim,ma_trend_full,none,2.2,35.0,75.0,20,60,14
bw92_boll_lower_boll_upper_trim_ma_trend_full_atr_96,0.92,boll_lower,boll_upper_trim,ma_trend_full,atr_96,2.2,35.0,75.0,20,60,14
bw92_boll_lower_boll_upper_trim_ma_trend_full_ma60_break_90,0.92,boll_lower,boll_upper_trim,ma_trend_full,ma60_break_90,2.2,35.0,75.0,20,60,14
bw92_boll_lower_boll_upper_trim_ma_trend_full_drawdown_90,0.92,boll_lower,boll_upper_trim,ma_trend_full,drawdown_90,2.2,35.0,75.0,20,60,14
bw92_boll_lower_boll_upper_trim_macd_trend_full_none,0.92,boll_lower,boll_upper_trim,macd_trend_full,none,2.2,35.0,75.0,20,60,14
bw92_boll_lower_boll_upper_trim_macd_trend_full_atr_96,0.92,boll_lower,boll_upper_trim,macd_trend_full,atr_96,2.2,35.0,75.0,20,60,14
bw92_boll_lower_boll_upper_trim_macd_trend_full_ma60_break_90,0.92,boll_lower,boll_upper_trim,macd_trend_full,ma60_break_90,2.2,35.0,75.0,20,60,14
bw92_boll_lower_boll_upper_trim_macd_trend_full_drawdown_90,0.92,boll_lower,boll_upper_trim,macd_trend_full,drawdown_90,2.2,35.0,75.0,20,60,14
bw92_boll_lower_weak_trend_trim_none_none,0.92,boll_lower,weak_trend_trim,none,none,2.2,35.0,75.0,20,60,14
bw92_boll_lower_weak_trend_trim_none_atr_96,0.92,boll_lower,weak_trend_trim,none,atr_96,2.2,35.0,75.0,20,60,14
bw92_boll_lower_weak_trend_trim_none_ma60_break_90,0.92,boll_lower,weak_trend_trim,none,ma60_break_90,2.2,35.0,75.0,20,60,14
bw92_boll_lower_weak_trend_trim_none_drawdown_90,0.92,boll_lower,weak_trend_trim,none,drawdown_90,2.2,35.0,75.0,20,60,14
