acceptance_id,owning_nodes,recorded_results,outstanding,evidence
AC-001,CB-600|CB-840,CB-600=PASS,no,docs/evidence/CB-600/acceptance.json;docs/evidence/CB-840/acceptance.json
AC-002,CB-600|CB-840,CB-600=PASS,no,docs/evidence/CB-600/acceptance.json;docs/evidence/CB-840/acceptance.json
AC-003,CB-610|CB-640,CB-610=PASS;CB-640=PASS,no,docs/evidence/CB-610/acceptance.json;docs/evidence/CB-640/acceptance.json
AC-004,CB-620|CB-730,CB-620=PASS;CB-730=PASS,no,docs/evidence/CB-620/acceptance.json;docs/evidence/CB-730/acceptance.json
AC-005,CB-610,CB-610=PASS,no,docs/evidence/CB-610/acceptance.json
AC-006,CB-630|CB-820,CB-630=PASS;CB-820=PASS,no,docs/evidence/CB-630/acceptance.json;docs/evidence/CB-820/acceptance.json
AC-007,CB-630|CB-640,CB-630=PASS;CB-640=PASS,no,docs/evidence/CB-630/acceptance.json;docs/evidence/CB-640/acceptance.json
AC-008,CB-630,CB-630=PASS,no,docs/evidence/CB-630/acceptance.json
AC-009,CB-630,CB-630=PASS,no,docs/evidence/CB-630/acceptance.json
AC-010,CB-620|CB-730,CB-620=PASS;CB-730=PASS,no,docs/evidence/CB-620/acceptance.json;docs/evidence/CB-730/acceptance.json
AC-011,CB-620,CB-620=PASS,no,docs/evidence/CB-620/acceptance.json
AC-012,CB-700|CB-820,CB-700=PASS;CB-820=PASS,no,docs/evidence/CB-700/acceptance.json;docs/evidence/CB-820/acceptance.json
AC-013,CB-640,CB-700=PASS,no,docs/evidence/CB-640/acceptance.json
AC-014,CB-700,CB-700=PASS,no,docs/evidence/CB-700/acceptance.json
AC-015,CB-700,CB-700=PASS,no,docs/evidence/CB-700/acceptance.json
AC-016,CB-700,CB-700=PASS,no,docs/evidence/CB-700/acceptance.json
AC-017,CB-700,CB-700=PASS,no,docs/evidence/CB-700/acceptance.json
AC-018,CB-710,CB-710=PASS,no,docs/evidence/CB-710/acceptance.json
AC-019,CB-710,CB-710=PASS,no,docs/evidence/CB-710/acceptance.json
AC-020,CB-710,CB-710=PASS,no,docs/evidence/CB-710/acceptance.json
AC-021,CB-710,CB-710=PASS,no,docs/evidence/CB-710/acceptance.json
AC-022,CB-710,CB-710=PASS,no,docs/evidence/CB-710/acceptance.json
AC-023,CB-710,CB-710=PASS,no,docs/evidence/CB-710/acceptance.json
AC-024,CB-720,CB-720=PASS,no,docs/evidence/CB-720/acceptance.json
AC-025,CB-720,CB-720=PASS,no,docs/evidence/CB-720/acceptance.json
AC-026,CB-720|CB-820,CB-720=PASS;CB-820=PASS,no,docs/evidence/CB-720/acceptance.json;docs/evidence/CB-820/acceptance.json
AC-027,CB-720,CB-720=PASS,no,docs/evidence/CB-720/acceptance.json
AC-028,CB-620|CB-740,CB-620=PASS;CB-740=PASS,no,docs/evidence/CB-620/acceptance.json;docs/evidence/CB-740/acceptance.json
AC-029,CB-800,CB-800=PASS,no,docs/evidence/CB-800/acceptance.json
AC-030,CB-610|CB-800,CB-610=PASS;CB-800=PASS,no,docs/evidence/CB-610/acceptance.json;docs/evidence/CB-800/acceptance.json
AC-031,CB-740,CB-740=PASS,no,docs/evidence/CB-740/acceptance.json
AC-032,CB-810|CB-840,CB-810=PASS,no,docs/evidence/CB-810/acceptance.json;docs/evidence/CB-840/acceptance.json
AC-033,CB-810,CB-810=PASS,no,docs/evidence/CB-810/acceptance.json
AC-034,CB-810,CB-810=PASS,no,docs/evidence/CB-810/acceptance.json
AC-035,CB-800,CB-800=PASS,yes,docs/evidence/CB-800/acceptance.json
AC-036,CB-830,CB-830=PASS,no,docs/evidence/CB-830/acceptance.json
AC-037,CB-730,CB-730=PASS,no,docs/evidence/CB-730/acceptance.json
AC-038,CB-600|CB-820,CB-600=PASS;CB-820=PASS,no,docs/evidence/CB-600/acceptance.json;docs/evidence/CB-820/acceptance.json
AC-039,CB-830,CB-640=ACTIVATION_PENDING;CB-830=ACTIVATION_PENDING,yes,docs/evidence/CB-830/acceptance.json
AC-040,CB-830|CB-840,CB-830=CONDITIONAL_PASS,yes,docs/evidence/CB-830/acceptance.json;docs/evidence/CB-840/acceptance.json
AC-041,CB-620,CB-620=PASS,no,docs/evidence/CB-620/acceptance.json
AC-042,CB-630,CB-630=PASS,no,docs/evidence/CB-630/acceptance.json
AC-043,CB-740,CB-740=PASS,no,docs/evidence/CB-740/acceptance.json
AC-044,CB-640,CB-630=PASS,no,docs/evidence/CB-640/acceptance.json
AC-045,CB-700,CB-700=PASS,no,docs/evidence/CB-700/acceptance.json
AC-046,CB-700,CB-700=PASS,no,docs/evidence/CB-700/acceptance.json
AC-047,CB-700,CB-700=PASS,no,docs/evidence/CB-700/acceptance.json
AC-048,CB-810,CB-810=PASS,no,docs/evidence/CB-810/acceptance.json
AC-049,CB-730,CB-730=PASS,no,docs/evidence/CB-730/acceptance.json
AC-050,CB-830,CB-830=CONDITIONAL_PASS,yes,docs/evidence/CB-830/acceptance.json
