market_id,country_iso3,country_name_zh,index_name,instrument_type,return_type,currency,timezone,latitude,longitude,session_date,open_ts_utc,close_ts_utc,close,source,source_symbol,source_retrieved_at
SYN_A,AAA,合成市场A,合成指数A,cash_index,price,AAA,Etc/UTC,35.0,-95.0,2024-01-02,2024-01-02T00:00:00Z,2024-01-02T06:00:00Z,101.32836518,GELA_SYNTHETIC_FIXTURE,SYN_A,2026-07-26T00:00:00Z
SYN_B,BBB,合成市场B,合成指数B,cash_index,price,BBB,Etc/UTC,37.0,127.0,2024-01-02,2024-01-02T08:00:00Z,2024-01-02T14:00:00Z,100.58041533,GELA_SYNTHETIC_FIXTURE,SYN_B,2026-07-26T00:00:00Z
SYN_C,CCC,合成市场C,合成指数C,cash_index,price,CCC,Etc/UTC,51.0,10.0,2024-01-02,2024-01-02T15:00:00Z,2024-01-02T21:00:00Z,98.32828784,GELA_SYNTHETIC_FIXTURE,SYN_C,2026-07-26T00:00:00Z
SYN_A,AAA,合成市场A,合成指数A,cash_index,price,AAA,Etc/UTC,35.0,-95.0,2024-01-03,2024-01-03T00:00:00Z,2024-01-03T06:00:00Z,101.06295256,GELA_SYNTHETIC_FIXTURE,SYN_A,2026-07-26T00:00:00Z
SYN_B,BBB,合成市场B,合成指数B,cash_index,price,BBB,Etc/UTC,37.0,127.0,2024-01-03,2024-01-03T08:00:00Z,2024-01-03T14:00:00Z,100.35031939,GELA_SYNTHETIC_FIXTURE,SYN_B,2026-07-26T00:00:00Z
SYN_C,CCC,合成市场C,合成指数C,cash_index,price,CCC,Etc/UTC,51.0,10.0,2024-01-03,2024-01-03T15:00:00Z,2024-01-03T21:00:00Z,98.69300332,GELA_SYNTHETIC_FIXTURE,SYN_C,2026-07-26T00:00:00Z
SYN_A,AAA,合成市场A,合成指数A,cash_index,price,AAA,Etc/UTC,35.0,-95.0,2024-01-04,2024-01-04T00:00:00Z,2024-01-04T06:00:00Z,99.80746823,GELA_SYNTHETIC_FIXTURE,SYN_A,2026-07-26T00:00:00Z
SYN_B,BBB,合成市场B,合成指数B,cash_index,price,BBB,Etc/UTC,37.0,127.0,2024-01-04,2024-01-04T08:00:00Z,2024-01-04T14:00:00Z,100.15685035,GELA_SYNTHETIC_FIXTURE,SYN_B,2026-07-26T00:00:00Z
SYN_C,CCC,合成市场C,合成指数C,cash_index,price,CCC,Etc/UTC,51.0,10.0,2024-01-04,2024-01-04T15:00:00Z,2024-01-04T21:00:00Z,98.57484094,GELA_SYNTHETIC_FIXTURE,SYN_C,2026-07-26T00:00:00Z
SYN_A,AAA,合成市场A,合成指数A,cash_index,price,AAA,Etc/UTC,35.0,-95.0,2024-01-05,2024-01-05T00:00:00Z,2024-01-05T06:00:00Z,99.62025209,GELA_SYNTHETIC_FIXTURE,SYN_A,2026-07-26T00:00:00Z
SYN_B,BBB,合成市场B,合成指数B,cash_index,price,BBB,Etc/UTC,37.0,127.0,2024-01-05,2024-01-05T08:00:00Z,2024-01-05T14:00:00Z,99.80544429,GELA_SYNTHETIC_FIXTURE,SYN_B,2026-07-26T00:00:00Z
SYN_C,CCC,合成市场C,合成指数C,cash_index,price,CCC,Etc/UTC,51.0,10.0,2024-01-05,2024-01-05T15:00:00Z,2024-01-05T21:00:00Z,98.50419555,GELA_SYNTHETIC_FIXTURE,SYN_C,2026-07-26T00:00:00Z
SYN_A,AAA,合成市场A,合成指数A,cash_index,price,AAA,Etc/UTC,35.0,-95.0,2024-01-08,2024-01-08T00:00:00Z,2024-01-08T06:00:00Z,99.97552986,GELA_SYNTHETIC_FIXTURE,SYN_A,2026-07-26T00:00:00Z
SYN_B,BBB,合成市场B,合成指数B,cash_index,price,BBB,Etc/UTC,37.0,127.0,2024-01-08,2024-01-08T08:00:00Z,2024-01-08T14:00:00Z,100.21278926,GELA_SYNTHETIC_FIXTURE,SYN_B,2026-07-26T00:00:00Z
SYN_C,CCC,合成市场C,合成指数C,cash_index,price,CCC,Etc/UTC,51.0,10.0,2024-01-08,2024-01-08T15:00:00Z,2024-01-08T21:00:00Z,99.08429331,GELA_SYNTHETIC_FIXTURE,SYN_C,2026-07-26T00:00:00Z
SYN_A,AAA,合成市场A,合成指数A,cash_index,price,AAA,Etc/UTC,35.0,-95.0,2024-01-09,2024-01-09T00:00:00Z,2024-01-09T06:00:00Z,100.10701531,GELA_SYNTHETIC_FIXTURE,SYN_A,2026-07-26T00:00:00Z
SYN_B,BBB,合成市场B,合成指数B,cash_index,price,BBB,Etc/UTC,37.0,127.0,2024-01-09,2024-01-09T08:00:00Z,2024-01-09T14:00:00Z,99.97421265,GELA_SYNTHETIC_FIXTURE,SYN_B,2026-07-26T00:00:00Z
SYN_C,CCC,合成市场C,合成指数C,cash_index,price,CCC,Etc/UTC,51.0,10.0,2024-01-09,2024-01-09T15:00:00Z,2024-01-09T21:00:00Z,100.02395247,GELA_SYNTHETIC_FIXTURE,SYN_C,2026-07-26T00:00:00Z
SYN_A,AAA,合成市场A,合成指数A,cash_index,price,AAA,Etc/UTC,35.0,-95.0,2024-01-10,2024-01-10T00:00:00Z,2024-01-10T06:00:00Z,101.11270141,GELA_SYNTHETIC_FIXTURE,SYN_A,2026-07-26T00:00:00Z
SYN_B,BBB,合成市场B,合成指数B,cash_index,price,BBB,Etc/UTC,37.0,127.0,2024-01-10,2024-01-10T08:00:00Z,2024-01-10T14:00:00Z,100.99899676,GELA_SYNTHETIC_FIXTURE,SYN_B,2026-07-26T00:00:00Z
SYN_C,CCC,合成市场C,合成指数C,cash_index,price,CCC,Etc/UTC,51.0,10.0,2024-01-10,2024-01-10T15:00:00Z,2024-01-10T21:00:00Z,100.92737378,GELA_SYNTHETIC_FIXTURE,SYN_C,2026-07-26T00:00:00Z
SYN_A,AAA,合成市场A,合成指数A,cash_index,price,AAA,Etc/UTC,35.0,-95.0,2024-01-11,2024-01-11T00:00:00Z,2024-01-11T06:00:00Z,102.39276978,GELA_SYNTHETIC_FIXTURE,SYN_A,2026-07-26T00:00:00Z
SYN_B,BBB,合成市场B,合成指数B,cash_index,price,BBB,Etc/UTC,37.0,127.0,2024-01-11,2024-01-11T08:00:00Z,2024-01-11T14:00:00Z,101.66179312,GELA_SYNTHETIC_FIXTURE,SYN_B,2026-07-26T00:00:00Z
SYN_C,CCC,合成市场C,合成指数C,cash_index,price,CCC,Etc/UTC,51.0,10.0,2024-01-11,2024-01-11T15:00:00Z,2024-01-11T21:00:00Z,100.48839458,GELA_SYNTHETIC_FIXTURE,SYN_C,2026-07-26T00:00:00Z
SYN_A,AAA,合成市场A,合成指数A,cash_index,price,AAA,Etc/UTC,35.0,-95.0,2024-01-12,2024-01-12T00:00:00Z,2024-01-12T06:00:00Z,101.71189798,GELA_SYNTHETIC_FIXTURE,SYN_A,2026-07-26T00:00:00Z
SYN_B,BBB,合成市场B,合成指数B,cash_index,price,BBB,Etc/UTC,37.0,127.0,2024-01-12,2024-01-12T08:00:00Z,2024-01-12T14:00:00Z,101.39458095,GELA_SYNTHETIC_FIXTURE,SYN_B,2026-07-26T00:00:00Z
SYN_C,CCC,合成市场C,合成指数C,cash_index,price,CCC,Etc/UTC,51.0,10.0,2024-01-12,2024-01-12T15:00:00Z,2024-01-12T21:00:00Z,100.68363470,GELA_SYNTHETIC_FIXTURE,SYN_C,2026-07-26T00:00:00Z
SYN_A,AAA,合成市场A,合成指数A,cash_index,price,AAA,Etc/UTC,35.0,-95.0,2024-01-15,2024-01-15T00:00:00Z,2024-01-15T06:00:00Z,102.06368655,GELA_SYNTHETIC_FIXTURE,SYN_A,2026-07-26T00:00:00Z
SYN_B,BBB,合成市场B,合成指数B,cash_index,price,BBB,Etc/UTC,37.0,127.0,2024-01-15,2024-01-15T08:00:00Z,2024-01-15T14:00:00Z,102.35297357,GELA_SYNTHETIC_FIXTURE,SYN_B,2026-07-26T00:00:00Z
SYN_C,CCC,合成市场C,合成指数C,cash_index,price,CCC,Etc/UTC,51.0,10.0,2024-01-15,2024-01-15T15:00:00Z,2024-01-15T21:00:00Z,101.19802154,GELA_SYNTHETIC_FIXTURE,SYN_C,2026-07-26T00:00:00Z
SYN_A,AAA,合成市场A,合成指数A,cash_index,price,AAA,Etc/UTC,35.0,-95.0,2024-01-16,2024-01-16T00:00:00Z,2024-01-16T06:00:00Z,103.22896766,GELA_SYNTHETIC_FIXTURE,SYN_A,2026-07-26T00:00:00Z
SYN_B,BBB,合成市场B,合成指数B,cash_index,price,BBB,Etc/UTC,37.0,127.0,2024-01-16,2024-01-16T08:00:00Z,2024-01-16T14:00:00Z,102.91935873,GELA_SYNTHETIC_FIXTURE,SYN_B,2026-07-26T00:00:00Z
SYN_C,CCC,合成市场C,合成指数C,cash_index,price,CCC,Etc/UTC,51.0,10.0,2024-01-16,2024-01-16T15:00:00Z,2024-01-16T21:00:00Z,101.49465411,GELA_SYNTHETIC_FIXTURE,SYN_C,2026-07-26T00:00:00Z
SYN_A,AAA,合成市场A,合成指数A,cash_index,price,AAA,Etc/UTC,35.0,-95.0,2024-01-17,2024-01-17T00:00:00Z,2024-01-17T06:00:00Z,102.51230544,GELA_SYNTHETIC_FIXTURE,SYN_A,2026-07-26T00:00:00Z
SYN_B,BBB,合成市场B,合成指数B,cash_index,price,BBB,Etc/UTC,37.0,127.0,2024-01-17,2024-01-17T08:00:00Z,2024-01-17T14:00:00Z,102.46821248,GELA_SYNTHETIC_FIXTURE,SYN_B,2026-07-26T00:00:00Z
SYN_C,CCC,合成市场C,合成指数C,cash_index,price,CCC,Etc/UTC,51.0,10.0,2024-01-17,2024-01-17T15:00:00Z,2024-01-17T21:00:00Z,100.08565804,GELA_SYNTHETIC_FIXTURE,SYN_C,2026-07-26T00:00:00Z
SYN_A,AAA,合成市场A,合成指数A,cash_index,price,AAA,Etc/UTC,35.0,-95.0,2024-01-18,2024-01-18T00:00:00Z,2024-01-18T06:00:00Z,102.66502460,GELA_SYNTHETIC_FIXTURE,SYN_A,2026-07-26T00:00:00Z
SYN_B,BBB,合成市场B,合成指数B,cash_index,price,BBB,Etc/UTC,37.0,127.0,2024-01-18,2024-01-18T08:00:00Z,2024-01-18T14:00:00Z,102.55398666,GELA_SYNTHETIC_FIXTURE,SYN_B,2026-07-26T00:00:00Z
