temporary_asset_code,asset_name,production_asset_code_to_confirm,asset_type,market_hint,fund_company_hint,risk_level_target,theme_hint,filter_review_hint,is_off_platform_fund,is_excluded_to_confirm,official_source_count_required,evidence_level_target,source_1_required,source_2_required,moomoo_query,alipay_query,official_query,missing_nav_days_required,missing_holding_days_required,conflict_flag_required,as_of_to_confirm,prior_as_of,prior_source_file,copy_target
ALIPAY_NAME_博时标普500ETF联接_QDII_A,博时标普500ETF联接(QDII)A,REPLACE_WITH_OFFICIAL_FUND_CODE_OR_PLATFORM_ID,off_platform_fund,US/QDII,博时,high_or_very_high_after_current_page_confirmation,US broad equity,growth_candidate_review_required,true,false,>=2,Strong,REPLACE_WITH_MOOMOO_OR_ALIPAY_CURRENT_SOURCE,REPLACE_WITH_FUND_COMPANY_OR_OFFICIAL_SOURCE,博时标普500ETF联接(QDII)A fund quote holdings nav,博时标普500ETF联接(QDII)A 支付宝 基金 净值 持仓 费率,博时标普500ETF联接(QDII)A 基金公司 定期报告 持仓 净值,<=2,<=2,false,YYYY-MM-DD,2026-06-05,external:ScreenRecording_06-05-2026 12-38-58_1.MP4,"After verification, map into 03_candidates_to_fill.csv; do not copy this helper directly."
ALIPAY_NAME_南方纳斯达克100指数_QDII_C,南方纳斯达克100指数(QDII)C,REPLACE_WITH_OFFICIAL_FUND_CODE_OR_PLATFORM_ID,off_platform_fund,US/QDII,南方,high_or_very_high_after_current_page_confirmation,US technology growth,growth_candidate_review_required,true,false,>=2,Strong,REPLACE_WITH_MOOMOO_OR_ALIPAY_CURRENT_SOURCE,REPLACE_WITH_FUND_COMPANY_OR_OFFICIAL_SOURCE,南方纳斯达克100指数(QDII)C fund quote holdings nav,南方纳斯达克100指数(QDII)C 支付宝 基金 净值 持仓 费率,南方纳斯达克100指数(QDII)C 基金公司 定期报告 持仓 净值,<=2,<=2,false,YYYY-MM-DD,2026-06-05,external:ScreenRecording_06-05-2026 12-38-58_1.MP4,"After verification, map into 03_candidates_to_fill.csv; do not copy this helper directly."
ALIPAY_NAME_易方达全球成长精选混合_QDII_C,易方达全球成长精选混合(QDII)C,REPLACE_WITH_OFFICIAL_FUND_CODE_OR_PLATFORM_ID,off_platform_fund,Global/QDII,易方达,high_or_very_high_after_current_page_confirmation,global equity growth,growth_candidate_review_required,true,false,>=2,Strong,REPLACE_WITH_MOOMOO_OR_ALIPAY_CURRENT_SOURCE,REPLACE_WITH_FUND_COMPANY_OR_OFFICIAL_SOURCE,易方达全球成长精选混合(QDII)C fund quote holdings nav,易方达全球成长精选混合(QDII)C 支付宝 基金 净值 持仓 费率,易方达全球成长精选混合(QDII)C 基金公司 定期报告 持仓 净值,<=2,<=2,false,YYYY-MM-DD,2026-06-05,external:ScreenRecording_06-05-2026 12-38-58_1.MP4,"After verification, map into 03_candidates_to_fill.csv; do not copy this helper directly."
ALIPAY_NAME_易方达全球成长精选混合_QDII_A,易方达全球成长精选混合(QDII)A,REPLACE_WITH_OFFICIAL_FUND_CODE_OR_PLATFORM_ID,off_platform_fund,Global/QDII,易方达,high_or_very_high_after_current_page_confirmation,global equity growth,growth_candidate_review_required,true,false,>=2,Strong,REPLACE_WITH_MOOMOO_OR_ALIPAY_CURRENT_SOURCE,REPLACE_WITH_FUND_COMPANY_OR_OFFICIAL_SOURCE,易方达全球成长精选混合(QDII)A fund quote holdings nav,易方达全球成长精选混合(QDII)A 支付宝 基金 净值 持仓 费率,易方达全球成长精选混合(QDII)A 基金公司 定期报告 持仓 净值,<=2,<=2,false,YYYY-MM-DD,2026-06-05,external:ScreenRecording_06-05-2026 12-38-58_1.MP4,"After verification, map into 03_candidates_to_fill.csv; do not copy this helper directly."
ALIPAY_NAME_前海开源沪港深核心资源灵活配置混合C,前海开源沪港深核心资源灵活配置混合C,REPLACE_WITH_OFFICIAL_FUND_CODE_OR_PLATFORM_ID,off_platform_fund,CN/HK,前海开源,high_or_very_high_after_current_page_confirmation,China-Hong Kong equity,growth_candidate_review_required,true,false,>=2,Strong,REPLACE_WITH_MOOMOO_OR_ALIPAY_CURRENT_SOURCE,REPLACE_WITH_FUND_COMPANY_OR_OFFICIAL_SOURCE,前海开源沪港深核心资源灵活配置混合C fund quote holdings nav,前海开源沪港深核心资源灵活配置混合C 支付宝 基金 净值 持仓 费率,前海开源沪港深核心资源灵活配置混合C 基金公司 定期报告 持仓 净值,<=2,<=2,false,YYYY-MM-DD,2026-06-05,external:ScreenRecording_06-05-2026 12-38-58_1.MP4,"After verification, map into 03_candidates_to_fill.csv; do not copy this helper directly."
ALIPAY_NAME_华夏国证半导体芯片ETF联接A,华夏国证半导体芯片ETF联接A,REPLACE_WITH_OFFICIAL_FUND_CODE_OR_PLATFORM_ID,off_platform_fund,CN,华夏,high_or_very_high_after_current_page_confirmation,semiconductor,growth_candidate_review_required,true,false,>=2,Strong,REPLACE_WITH_MOOMOO_OR_ALIPAY_CURRENT_SOURCE,REPLACE_WITH_FUND_COMPANY_OR_OFFICIAL_SOURCE,华夏国证半导体芯片ETF联接A fund quote holdings nav,华夏国证半导体芯片ETF联接A 支付宝 基金 净值 持仓 费率,华夏国证半导体芯片ETF联接A 基金公司 定期报告 持仓 净值,<=2,<=2,false,YYYY-MM-DD,2026-06-05,external:ScreenRecording_06-05-2026 12-38-58_1.MP4,"After verification, map into 03_candidates_to_fill.csv; do not copy this helper directly."
ALIPAY_NAME_易方达人工智能ETF联接A,易方达人工智能ETF联接A,REPLACE_WITH_OFFICIAL_FUND_CODE_OR_PLATFORM_ID,off_platform_fund,CN,易方达,high_or_very_high_after_current_page_confirmation,AI,growth_candidate_review_required,true,false,>=2,Strong,REPLACE_WITH_MOOMOO_OR_ALIPAY_CURRENT_SOURCE,REPLACE_WITH_FUND_COMPANY_OR_OFFICIAL_SOURCE,易方达人工智能ETF联接A fund quote holdings nav,易方达人工智能ETF联接A 支付宝 基金 净值 持仓 费率,易方达人工智能ETF联接A 基金公司 定期报告 持仓 净值,<=2,<=2,false,YYYY-MM-DD,2026-06-05,external:ScreenRecording_06-05-2026 12-38-58_1.MP4,"After verification, map into 03_candidates_to_fill.csv; do not copy this helper directly."
ALIPAY_NAME_中金中证500指数增强A,中金中证500指数增强A,REPLACE_WITH_OFFICIAL_FUND_CODE_OR_PLATFORM_ID,off_platform_fund,REPLACE_WITH_MARKET_SCOPE,中金,high_or_very_high_after_current_page_confirmation,REPLACE_WITH_THEME_CLASSIFICATION,growth_candidate_review_required,true,false,>=2,Strong,REPLACE_WITH_MOOMOO_OR_ALIPAY_CURRENT_SOURCE,REPLACE_WITH_FUND_COMPANY_OR_OFFICIAL_SOURCE,中金中证500指数增强A fund quote holdings nav,中金中证500指数增强A 支付宝 基金 净值 持仓 费率,中金中证500指数增强A 基金公司 定期报告 持仓 净值,<=2,<=2,false,YYYY-MM-DD,2026-06-05,external:ScreenRecording_06-05-2026 12-38-58_1.MP4,"After verification, map into 03_candidates_to_fill.csv; do not copy this helper directly."
ALIPAY_NAME_摩根标普500指数_QDII_C,摩根标普500指数(QDII)C,REPLACE_WITH_OFFICIAL_FUND_CODE_OR_PLATFORM_ID,off_platform_fund,US/QDII,摩根,high_or_very_high_after_current_page_confirmation,US broad equity,growth_candidate_review_required,true,false,>=2,Strong,REPLACE_WITH_MOOMOO_OR_ALIPAY_CURRENT_SOURCE,REPLACE_WITH_FUND_COMPANY_OR_OFFICIAL_SOURCE,摩根标普500指数(QDII)C fund quote holdings nav,摩根标普500指数(QDII)C 支付宝 基金 净值 持仓 费率,摩根标普500指数(QDII)C 基金公司 定期报告 持仓 净值,<=2,<=2,false,YYYY-MM-DD,2026-06-05,external:ScreenRecording_06-05-2026 12-38-58_1.MP4,"After verification, map into 03_candidates_to_fill.csv; do not copy this helper directly."
ALIPAY_NAME_摩根标普500指数_QDII_A,摩根标普500指数(QDII)A,REPLACE_WITH_OFFICIAL_FUND_CODE_OR_PLATFORM_ID,off_platform_fund,US/QDII,摩根,high_or_very_high_after_current_page_confirmation,US broad equity,growth_candidate_review_required,true,false,>=2,Strong,REPLACE_WITH_MOOMOO_OR_ALIPAY_CURRENT_SOURCE,REPLACE_WITH_FUND_COMPANY_OR_OFFICIAL_SOURCE,摩根标普500指数(QDII)A fund quote holdings nav,摩根标普500指数(QDII)A 支付宝 基金 净值 持仓 费率,摩根标普500指数(QDII)A 基金公司 定期报告 持仓 净值,<=2,<=2,false,YYYY-MM-DD,2026-06-05,external:ScreenRecording_06-05-2026 12-38-58_1.MP4,"After verification, map into 03_candidates_to_fill.csv; do not copy this helper directly."
