path,category,canonical,update_trigger,owner,backup,status
.codex/config.toml.example,codex-config,false,Codex execution policy change,repository owner,git+release-zip,ACTIVE
.github/CODEOWNERS,github-governance,true,governance or workflow change,repository owner,git+release-zip,ACTIVE
.github/branch_protection.md,github-governance,true,governance or workflow change,repository owner,git+release-zip,ACTIVE
.github/ISSUE_TEMPLATE/bug.yml,github-governance,false,governance or workflow change,repository owner,git+release-zip,ACTIVE
.github/ISSUE_TEMPLATE/config.yml,github-governance,false,governance or workflow change,repository owner,git+release-zip,ACTIVE
.github/ISSUE_TEMPLATE/data_relationship.yml,github-governance,false,governance or workflow change,repository owner,git+release-zip,ACTIVE
.github/ISSUE_TEMPLATE/data_scope_change.yml,github-governance,false,governance or workflow change,repository owner,git+release-zip,ACTIVE
.github/ISSUE_TEMPLATE/feature.yml,github-governance,false,governance or workflow change,repository owner,git+release-zip,ACTIVE
.github/ISSUE_TEMPLATE/model_change.yml,github-governance,false,governance or workflow change,repository owner,git+release-zip,ACTIVE
.github/ISSUE_TEMPLATE/risk_control.yml,github-governance,false,governance or workflow change,repository owner,git+release-zip,ACTIVE
.github/pull_request_template.md,github-governance,true,governance or workflow change,repository owner,git+release-zip,ACTIVE
.github/release.yml,github-governance,false,governance or workflow change,repository owner,git+release-zip,ACTIVE
.github/release_checklist.md,github-governance,true,governance or workflow change,repository owner,git+release-zip,ACTIVE
.github/workflows/governance-validation.yml,github-governance,true,governance or workflow change,repository owner,git+release-zip,ACTIVE
.gitignore,repository-config,false,repository tooling change,repository owner,git+release-zip,ACTIVE
AGENTS.md,root-governance,true,semantic or release change,repository owner,git+release-zip,ACTIVE
CHANGELOG.md,root-governance,false,semantic or release change,repository owner,git+release-zip,ACTIVE
CHECKSUMS.sha256,package-integrity-metadata,false,any package file change,release owner,release-zip+git,GENERATED
CODEX_MASTER_TASK.md,root-governance,true,semantic or release change,repository owner,git+release-zip,ACTIVE
CONTRIBUTING.md,root-governance,true,semantic or release change,repository owner,git+release-zip,ACTIVE
DELIVERY_INDEX.md,root-governance,false,semantic or release change,repository owner,git+release-zip,ACTIVE
DEVELOPMENT_STATUS.md,root-governance,true,semantic or release change,repository owner,git+release-zip,ACTIVE
DIRECTORY_TREE.txt,package-integrity-metadata,false,any package file change,release owner,release-zip+git,GENERATED
DOMAIN_DATA_CATALOG.md,root-governance,true,semantic or release change,repository owner,git+release-zip,ACTIVE
FUNCTION_CATALOG.md,root-governance,true,semantic or release change,repository owner,git+release-zip,ACTIVE
GITHUB_REPOSITORY_BACKUP_INDEX.md,root-governance,true,semantic or release change,repository owner,git+release-zip,ACTIVE
GOVERNANCE_INDEX.md,root-governance,true,semantic or release change,repository owner,git+release-zip,ACTIVE
MODEL_MANAGEMENT.md,root-governance,true,semantic or release change,repository owner,git+release-zip,ACTIVE
PLANS.md,root-governance,true,semantic or release change,repository owner,git+release-zip,ACTIVE
README.md,root-governance,false,semantic or release change,repository owner,git+release-zip,ACTIVE
REPORT.md,root-governance,false,semantic or release change,repository owner,git+release-zip,ACTIVE
RISK_AND_ACCEPTANCE.md,root-governance,true,semantic or release change,repository owner,git+release-zip,ACTIVE
RUN_CODEX.md,root-governance,true,semantic or release change,repository owner,git+release-zip,ACTIVE
