id,track,title,severity,merge_block,evidence_type,evidence,impact,fix,tests,task
A-001,A_安全代码并发,恢复清单允许路径穿越读取备份根目录外文件,P0,global,dynamic_reproduced,Probe P04；stage1_runtime.py:302-337,恶意或损坏的 manifest 可让 restore 读取 ../ 指向的任意本地文件并复制到目标数据库。,对 manifest path 做 PurePosixPath 规范化；拒绝绝对路径、..、空路径、符号链接逃逸；resolve 后必须 is_relative_to(backup_root)。,路径 ../、绝对路径、符号链接、TOCTOU 交换均必须拒绝 | 合法 database 相对路径恢复通过,S2PMT02
A-002,A_安全代码并发,恢复先覆盖现有数据库、后验证，失败会破坏在线目标,P0,global,dynamic_reproduced,Probe P05；stage1_runtime.py:348-367,恢复结果 blocked 时原库已被无效数据覆盖，存在直接数据丢失。,同目录临时文件复制→SHA/SQLite quick_check/Schema 校验→fsync→原库预备份→os.replace 原子切换；任何失败删除临时文件且保留原库。,无效备份不得改变原库字节 | 断电/异常注入后只能存在旧库或完整新库，不得半文件,S2PMT02
A-003,A_安全代码并发,SMTP 发送与持久状态之间没有事务发件箱,P0,global,static_confirmed,smtp_delivery.py:64-99；发送完成后才返回内存报告,进程在 SMTP 接受邮件后、数据库提交前崩溃，重试会重复发送；无法做到可恢复的外部副作用。,实现 transactional outbox：业务事务写 outbox(PENDING)+唯一 mail_key；独立 sender claim/lease；发送后记录 provider result；重启 reconciliation；明确 at-least-once + 幂等 Message-ID。,SMTP 接受后立即 kill -9，再启动不得产生不可控重复 | 双 sender 抢占同一 outbox 只允许一个有效发送,S2PMT03
A-004,A_安全代码并发,邮件前台结论/机制/映射/行动绕过 Claim Ledger,P0,scope,dynamic_reproduced,Probe P14；lesson.py:126-156；validate_lesson_against_ledger 仅验证 sections,用户最先看到的关键判断可能是关键词模板推断，却被邮件描述为“关键事实已全部绑定证据”。,Frontstage 每个字段使用 typed statement：fact/inference/hypothesis/action；fact 必须 claim_ids+evidence_ids；inference 必须 premise_claim_ids+reasoning_version+confidence；禁止无标签推断。,删除任一 frontstage 绑定后质量门失败 | 摘要级推断必须显示“推断/待验证”而非事实,S2PMT01
A-005,A_安全代码并发,缺少不可信论文/网页内容的 Prompt Injection 与工具边界,P0,scope,design_gap,V7.0 合同未定义 untrusted-content trust boundary,Stage2 引入全文、网页和报告后，源内容可能诱导模型泄漏提示、调用工具、改写规则或产生错误操作。,将来源内容标记 UNTRUSTED_DATA；系统指令与数据分离；模型无仓库写权限/无密钥；工具 allowlist；输出 Schema；引用定位；注入检测只作信号，不能替代隔离。,恶意论文含“忽略规则/发送密钥/运行命令”时仍只作为引文数据 | 模型输出越权工具调用被执行层拒绝,S2PMT01
A-006,A_安全代码并发,tick 写入异常时 runtime.lock 永久残留,P1,scope,dynamic_reproduced,Probe P01；stage1_runtime.py:103-151,一次磁盘/权限错误即可阻塞后续自动运行，watchdog 只报告不恢复。,锁封装为 context manager + finally；锁中加入 owner_id/host/pid/lease_until/fencing_token；续租与安全接管。,heartbeat/checkpoint 任一步异常后无残锁 | 模拟死进程后仅新 fencing token 可接管,S2PMT03
A-007,A_安全代码并发,状态历史不验证声明的 from_state,P1,scope,dynamic_reproduced,Probe P09；state_machine.py:146-162,被篡改的历史记录仍可通过，审计链不可信。,每条 history.from_state 必须等于上一条 to_state；首条严格固定；所有字段完整。,篡改 from_state 必须失败 | 缺 reason/at 或时间倒序必须失败,S2PMT03
A-008,A_安全代码并发,current_state 与 state_history 末态可不一致,P1,scope,dynamic_reproduced,Probe P10；state_machine.py:77-103,控制台、恢复逻辑和审计可能读取不同状态。,验证 last(history).to_state == current_state；status 与状态映射一致；记录 schema_version/row_version。,末态不一致和 status 不一致均失败,S2PMT03
A-009,A_安全代码并发,状态转换缺少乐观并发控制与 fencing token,P1,scope,static_confirmed,state_machine.py:106-122 只对内存副本转换,两个 worker 可同时从同一旧状态成功，后写覆盖先写，造成重复处理或丢状态。,数据库 UPDATE ... WHERE id=? AND row_version=?；受影响行必须为 1；作业 claim 使用 lease + fencing token；事件 append-only。,100 个并发 claimant 仅一个获得同一任务 | 过期 worker 的写入被 fencing token 拒绝,S2PMT03
A-010,A_安全代码并发,报告文件在质量验证前写入正式目录,P1,scope,dynamic_reproduced,Probe P16；stage1_b1_report.py:161-167,最终返回 blocked，正式目录仍残留 5 个看似有效产物，后续发送/索引可能误用。,先纯内存构建与验证；通过后写 staging 目录；逐文件 fsync；manifest 完整后原子发布目录/指针；失败清理。,强制验证失败时正式目录 0 新文件 | 中途异常后无半发布 package,S2PMT02
