risk_id,severity,likelihood,risk,related_function_ids,control,trigger,owner,task_ids,acceptance_ids,release_gates,status
R001,critical,high,Public evidence mistaken for complete hidden truth,FUN-EXP-03;FUN-DM-01,"Show provenance, unknown, coverage and disclosure lag",UI/claim uses true hidden current without evidence,product+data,T1214,A185,G0;G9,OPEN
R002,critical,high,13F or filing data presented as real-time money flow,FUN-EXP-02;FUN-DM-01,"Separate report period, filed, observed and amount kind",UI drops period or calls snapshot flow,data+ux,T1214,A185,G0;G9,OPEN
R003,critical,medium,Commercial empire view interpreted as legal control,FUN-EXP-03;FUN-EXP-05,"Separate structure, dependency and influence layers",Business partner shown as parent/controller,product+ux,T1214,A185,G0;G9,OPEN
R004,high,high,Recursive exploration produces graph explosion and unusable hairball,FUN-EXP-01,"Hard budgets, lazy expand, grouping and truncation explanation",nodes/edges exceed limits or browser freezes,engineering+ux,T1214,A185,G0;G9,OPEN
R005,high,medium,Supply-chain Tier-2/Tier-3 relationships are speculative,FUN-EXP-02;FUN-EXP-06,"Evidence thresholds, derived labels, coverage and review",low-source edge published as reported,research+data,T1214,A185,G0;G9,OPEN
R006,high,medium,Product/brand/facility/legal entity are merged,FUN-EXP-01;FUN-EXP-08,Typed entities and resolution tests,contract or ownership attached to brand only,data,T1214,A185,G0;G9,OPEN
R007,high,medium,Different amount semantics are summed,FUN-EXP-04,amount_kind buckets and unit tests,commitment/ceiling/outlay combined,data+ux,T1214,A185,G0;G9,OPEN
R008,high,high,Private-company facts rapidly stale,FUN-EXP-05,"Observed date, reverify queue and no current hardcode",freshness threshold exceeded,research,T1214,A185,G0;G9,OPEN
R009,high,medium,Scoring creates false precision or is read as return probability,FUN-EXP-01,Raw/quality/adjusted/coverage and language guardrails,UI says probability or guaranteed outcome,product+model,T1214,A185,G0;G9,OPEN
R010,high,high,User custom weights reinforce confirmation bias,FUN-EXP-02,"Frozen default, preview, counter-evidence, audit and reset",custom profile hides contradictory evidence,model+ux,T1214,A185,G0;G9,OPEN
