metric_code,metric_name,definition_or_formula,primary_sources,research_question,default_enabled
C-01,经济所有权比例,持有人经济权益 / 对应证券完全稀释基数,13D/G、proxy、S-1/S-4、公司公告,控制者实际经济暴露,true
C-02,投票权比例,可控制票数 / 总投票权,proxy、章程、并购文件,控制权而非单纯持股,true
C-03,控制权楔子,投票权% - 经济所有权%,C-01、C-02,识别双重股权和少量资本高控制,true
C-04,5%受益所有权事件,跨越/跌破5%及13D/G修订,13D/G,重要股东与控制意图变化,true
C-05,内部人持股比例,董事、高管及10%持有人持仓 / 基数,proxy、Forms 3/4/5,内部人利益绑定,true
C-06,前十大机构持股比例,前10名报告机构持仓合计 / 流通基数,13F、N-PORT、公司披露,机构集中度；注意时滞,true
C-07,所有权HHI,Σ(持有人比例²),13F、13D/G、proxy,所有权集中程度,true
C-08,董事席位控制,被特定股东/基金/创始人提名或控制的席位数,proxy、投资协议、章程,治理权的直接表现,true
C-09,董事交叉任职数,同一人在两个实体的同期董事/高管连接数,proxy、官方履历,集团间软控制与信息通道,true
C-10,关联交易强度,关联交易金额 / 收入或资产,proxy、10-K、8-K,内部资本转移与利益冲突,true
F-01,股权融资额,期间内已交割股权/可转证券融资总额,S-1、8-K、Form D、官方公告,外部资本输入,true
F-02,债务发行额,期间内新发债券、贷款和信贷工具本金,10-K/Q、8-K、债券文件,杠杆扩张,true
F-03,债务偿还额,期间内到期、回购或提前偿还本金,现金流量表、债务注释,去杠杆和再融资,true
F-04,净外部融资,股权融资 + 债务发行 - 债务偿还 - 回购 - 股息,F-01至F-03、财务报表,集团净吸收/返还资本,true
F-05,股票回购,期间回购现金支出及授权余额,10-Q/K、8-K,资本返还与每股收益工程,true
F-06,股息支出,现金股息与特别股息,现金流量表、公告,资本返还,true
F-07,并购资本部署,已完成交易对价；现金/股票/债务分拆,S-4、8-K、10-K、官方公告,外部扩张方向,true
F-08,战略少数股权投资,非控制投资金额与权利,10-K、8-K、Form D、公告,联盟、供应保障和未来控制期权,true
F-09,资本开支,购置物业设备及资本化项目支出,现金流量表、XBRL、指引,真实资源投入,true
F-10,研发支出,期间研发费用,10-K/Q、XBRL,技术投资强度,true
F-11,资本开支强度,资本开支 / 收入,F-09、收入,基础设施扩张速度,true
F-12,研发强度,研发 / 收入,F-10、收入,技术路线下注,true
F-13,自由现金流,经营现金流 - 资本开支；保留公司自定义口径,财务报表,内部融资能力,true
F-14,13F持仓变化,本季报告股数/价值 - 上季报告股数/价值,13F,仅表示报告持仓变化，不等同买入卖出现金流,true
F-15,内部人净交易,公开市场购买金额 - 公开市场出售金额；排除授予/税款扣缴后另列,Form 4,内部人行为信号,true
D-01,客户集中度,最大客户或前N客户收入占比,10-K、招股书,议价与需求依赖,true
D-02,供应商集中度,关键供应商、代工、GPU/云/能源依赖比例或等级,10-K、合同、公告,供应瓶颈和议价风险,true
D-03,云/算力依赖指数,按计算、托管、芯片、云承诺加权的供应商集中度,合同、10-K、合作公告,AI公司的真实基础设施依赖,true
D-04,数据中心/电力承诺,已披露MW、长期购电、租赁和最低采购承诺,合同、10-K、能源公告,未来AI基础设施扩张,true
D-05,采购义务,不可取消采购和服务承诺,10-K/Q注释,未来现金流锁定,true
D-06,积压订单/合同收入,backlog、remaining performance obligations、政府合同积压,10-K/Q、投资者材料,未来收入可见度,true
S-01,专利簇增长,技术分类簇近3年授权/申请增长率,USPTO,研发方向而非单纯专利数量,true
