parameter_id,model_id,formula_id,symbol,name,category,data_type,unit,default_value,initial_or_prior_value,active_value,weight,weight_group,weight_group_target,weight_group_tolerance,min_value,max_value,formula_or_transform,source_or_rationale,calibration_method,sensitivity,code_ref,config_ref,test_ref,status,fact_level,unknown_task_ids,parameter_version,last_updated
PARAM-PFI-023,MOD-PFI-001,FORM-PFI-001,cloudflare_compatibility_level,Cloudflare public adapter compatibility level,deployment,string,level,L2,L2,L2,,,,,,,identity,EXTRACTED from the public-surface contract; this deployment label does not alter PFI financial models or data.,NOT_APPLICABLE deployment contract,validation=public surface declares L2 and no financial account or execution,PFI/web/cloudflare-public/public/index.html,PFI/web/cloudflare-public/public/public-surface.json; PFI/web/cloudflare-public/wrangler.jsonc,tests/cloudflare/test_compatibility_envelope.py; scripts/cloudflare/scan_public_dist.py,active,EXTRACTED,,cloudflare-l2@1,2026-07-10
PARAM-PFI-001,MOD-PFI-001,FORM-PFI-001,stage1_entry_count,Stage 1 first-level entry count,scope,integer,count,8,8,8,,,,,8,8,read from Stage 1 IA contract,PFI Stage 1 record,manual contract extraction,low,PFI/src/pfi_v02/stage1_ia.py,NOT_APPLICABLE,PFI/tests/test_stage1_ia_contract.py,active,EXTRACTED,,pfi-v0.2-root-contract,2026-06-27
PARAM-PFI-002,MOD-PFI-001,FORM-PFI-001,source_contract_count,Stage 2 source contract count,scope,integer,count,8,8,8,,,,,8,8,read from Stage 2 registry,PFI Stage 2 record,manual contract extraction,medium,PFI/src/pfi_v02/stage2_registry.py,NOT_APPLICABLE,PFI/tests/test_stage2_data_source_registry.py,active,EXTRACTED,,pfi-v0.2-root-contract,2026-06-27
PARAM-PFI-003,MOD-PFI-001,FORM-PFI-001,execution_mode,Execution safety mode,policy,string,mode,local-first review-first,local-first review-first,local-first review-first,,,,,NOT_APPLICABLE,NOT_APPLICABLE,blocked production execution,PFI v0.2.5 Phase 0.2 freezes execution policy; Phase 0.3 adds gap-evidence provenance; Stage 1 whole review adds release/cache/isolated-entry provenance; Stage 6 Phase 6.1 adds navigation-only provenance; Stage 6 Phase 6.2 adds page-contract-only provenance; Stage 6 whole review verifies the unchanged local-first review-first value with no Finder/push/install/data mutation; Stage 8 Phase 8.2 adds motion/feedback/job UI only; Stage 8 Phase 8.3 adds accessibility/contrast/keyboard/AX/visual evidence only and preserves execution policy plus every active parameter value; Stage 12 Phase 12.1 adds read-only real E2E and no-Finder release-regression provenance while preserving execution policy and every active parameter value; no value/version/status/date change,manual contract extraction,high,PFI/README.md,PFI/config/pfi_v025_active_requirements.json,PFI/tests/test_stage2_non_csv_contracts.py; PFI/tests/test_v025_stage6_whole_review.py; PFI/tests/test_v025_stage8_phase82_motion_feedback.py; PFI/tests/test_v025_stage8_phase83_accessibility_uat.py; PFI/tests/test_v025_stage12_release_gates.py,active,EXTRACTED,,pfi-v0.2-root-contract,2026-06-27
PARAM-PFI-004,MOD-PFI-001,FORM-PFI-001,stage3_account_source_count,Stage 3 required account-map source count,scope,integer,count,7,7,7,,,,,7,7,read from Stage 3 read-model,PFI Stage 3 record,manual contract extraction,medium,PFI/src/pfi_v02/stage3_read_mvp.py,NOT_APPLICABLE,PFI/tests/test_stage3_readable_mvp.py,active,EXTRACTED,,pfi-v0.2-stage3-readable-mvp,2026-06-27
PARAM-PFI-005,MOD-PFI-001,FORM-PFI-001,stage3_fx_currency_count,Stage 3 FX fixture currency count,scope,integer,count,4,4,4,,,,,4,4,local fixture not live FX,PFI Stage 3 record,manual contract extraction,medium,PFI/src/pfi_v02/stage3_read_mvp.py,NOT_APPLICABLE,PFI/tests/test_stage3_readable_mvp.py,active,EXTRACTED,,pfi-v0.2-stage3-readable-mvp,2026-06-27
PARAM-PFI-006,MOD-PFI-001,FORM-PFI-001,stage3_status_language_count,Stage 3 owner status language count,ux,integer,count,5,5,5,,,,,5,5,owner-readable status mapping,PFI Stage 3 record,manual contract extraction,medium,PFI/src/pfi_v02/stage3_read_mvp.py,NOT_APPLICABLE,PFI/tests/test_stage3_readable_mvp.py,active,EXTRACTED,,pfi-v0.2-stage3-readable-mvp,2026-06-27
PARAM-PFI-007,MOD-PFI-001,FORM-PFI-001,stage3_sync_plan_execute_flag,Stage 3 sync-all execution flag,safety,boolean,flag,false,false,false,,,,,false,false,sync plan never executes external actions,PFI Stage 3 boundary,manual contract extraction,high,PFI/src/pfi_v02/stage3_read_mvp.py,NOT_APPLICABLE,PFI/tests/test_stage3_readable_mvp.py,active,EXTRACTED,,pfi-v0.2-stage3-readable-mvp,2026-06-27
PARAM-PFI-008,MOD-PFI-001,FORM-PFI-001,stage4_attribution_component_count,Stage 4 investment attribution component count,analysis,integer,count,5,5,5,,,,,5,5,market active fees fx cash_drag,PFI Stage 4 record,manual contract extraction,medium,PFI/src/pfi_v02/stage4_analysis_mvp.py,NOT_APPLICABLE,PFI/tests/test_stage4_analysis_mvp.py,active,EXTRACTED,,pfi-v0.2-stage4-analysis-mvp,2026-06-27
PARAM-PFI-009,MOD-PFI-001,FORM-PFI-001,stage4_consumption_source_count,Stage 4 consumption source count,analysis,integer,count,3,3,3,,,,,3,3,alipay cba wechat consumption sources,PFI Stage 4 record,manual contract extraction,medium,PFI/src/pfi_v02/stage4_analysis_mvp.py,NOT_APPLICABLE,PFI/tests/test_stage4_analysis_mvp.py,active,EXTRACTED,,pfi-v0.2-stage4-analysis-mvp,2026-06-27
