batch_index,universe_index,symbol,source_symbol,market,asset_class,tradability,returncode,classification,recommended_action,retry_priority,suggested_retry_mode,cache_path,error,note
1,80,ASHR,US.ASHR,US_ETF,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,0,success_cached,already_cached,0,none,data_cache_moomoo_batch81_140/US_ETF/US.ASHR.csv,,Do not retry; included in current cache lineage.
2,81,CQQQ,US.CQQQ,US_ETF,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,0,success_cached,already_cached,0,none,data_cache_moomoo_batch81_140/US_ETF/US.CQQQ.csv,,Do not retry; included in current cache lineage.
3,82,AAPL,US.AAPL,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,0,success_cached,already_cached,0,none,data_cache_moomoo_batch81_140/US_STOCK/US.AAPL.csv,,Do not retry; included in current cache lineage.
4,83,MSFT,US.MSFT,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,0,success_cached,already_cached,0,none,data_cache_moomoo_batch81_140/US_STOCK/US.MSFT.csv,,Do not retry; included in current cache lineage.
5,84,NVDA,US.NVDA,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,0,success_cached,already_cached,0,none,data_cache_moomoo_batch81_140/US_STOCK/US.NVDA.csv,,Do not retry; included in current cache lineage.
6,85,AMZN,US.AMZN,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,0,success_cached,already_cached,0,none,data_cache_moomoo_batch81_140/US_STOCK/US.AMZN.csv,,Do not retry; included in current cache lineage.
7,86,META,US.META,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,0,success_cached,already_cached,0,none,data_cache_moomoo_batch81_140/US_STOCK/US.META.csv,,Do not retry; included in current cache lineage.
8,87,GOOGL,US.GOOGL,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,0,success_cached,already_cached,0,none,data_cache_moomoo_batch81_140/US_STOCK/US.GOOGL.csv,,Do not retry; included in current cache lineage.
9,88,GOOG,US.GOOG,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,0,success_cached,already_cached,0,none,data_cache_moomoo_batch81_140/US_STOCK/US.GOOG.csv,,Do not retry; included in current cache lineage.
10,89,TSLA,US.TSLA,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,0,success_cached,already_cached,0,none,data_cache_moomoo_batch81_140/US_STOCK/US.TSLA.csv,,Do not retry; included in current cache lineage.
12,91,JPM,US.JPM,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,0,success_cached,already_cached,0,none,data_cache_moomoo_batch81_140/US_STOCK/US.JPM.csv,,Do not retry; included in current cache lineage.
13,92,V,US.V,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,0,success_cached,already_cached,0,none,data_cache_moomoo_batch81_140/US_STOCK/US.V.csv,,Do not retry; included in current cache lineage.
14,93,MA,US.MA,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,0,success_cached,already_cached,0,none,data_cache_moomoo_batch81_140/US_STOCK/US.MA.csv,,Do not retry; included in current cache lineage.
15,94,UNH,US.UNH,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,0,success_cached,already_cached,0,none,data_cache_moomoo_batch81_140/US_STOCK/US.UNH.csv,,Do not retry; included in current cache lineage.
16,95,HD,US.HD,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,0,success_cached,already_cached,0,none,data_cache_moomoo_batch81_140/US_STOCK/US.HD.csv,,Do not retry; included in current cache lineage.
