role_id,direction,name_zh,slug,relationship_mode,default_graph_zone,recursive_pivot
ROLE-001,upstream,原材料供应商,raw_material_supplier,direct,left,yes
ROLE-002,upstream,化学品/气体供应商,chemical_gas_supplier,direct,left,yes
ROLE-003,upstream,IP/EDA/设计工具,ip_eda_tool_provider,direct,left,yes
ROLE-004,upstream,制造设备供应商,manufacturing_equipment_supplier,direct,left,yes
ROLE-005,upstream,晶圆制造,wafer_fabrication,direct,left,yes
ROLE-006,upstream,封装与测试,packaging_testing,direct,left,yes
ROLE-007,upstream,存储/关键部件,memory_component_supplier,direct,left,yes
ROLE-008,upstream,模组/板卡/系统制造,module_system_manufacturer,direct,left,yes
ROLE-009,upstream,物流与分销,logistics_distributor,direct,left,yes
ROLE-010,upstream,能源/电网/水,energy_utility_provider,enabling,left,yes
ROLE-011,enabling,云与数据中心平台,cloud_data_center_platform,two_sided,top_or_bottom,yes
ROLE-012,enabling,金融与保险,finance_insurance_provider,enabling,top_or_bottom,yes
ROLE-013,enabling,政府/许可/补贴,government_policy_enabler,enabling,top_or_bottom,yes
ROLE-014,downstream,渠道与分销,channel_distributor,direct,right,yes
ROLE-015,downstream,OEM/系统集成商,oem_system_integrator,direct,right,yes
ROLE-016,downstream,云服务商,cloud_service_customer,direct,right,yes
ROLE-017,downstream,企业客户,enterprise_customer,direct,right,yes
ROLE-018,downstream,消费者平台,consumer_platform,direct,right,yes
ROLE-019,downstream,政府客户,government_customer,direct,right,yes
ROLE-020,downstream,终端行业,end_market_vertical,market,right,yes
ROLE-021,cross,竞争者/替代者,competitor_substitute,competitive,top_or_bottom,yes
ROLE-022,cross,战略合作方,strategic_partner,bidirectional,top_or_bottom,yes
ROLE-023,cross,投资/控制方,capital_control_counterparty,governance,top_or_bottom,yes
ROLE-024,cross,技术/数据依赖方,technology_data_dependency,bidirectional,top_or_bottom,yes
